															
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	Shape	Equip X	Equip Y	Notes
134	amulet5	Ruby Star Amulet	1500	Amulet	Misc	0	0	4	10	Amulet	33	0	0	0	"A perfect ruby cut in a star shape and bracketed by a golden clasp give this amulet its name.  When viewed in dim light, a fiery spark can be seen dancing in the center of the gem."
135	wand1	Wand of Flame	1000	WeaponW	Misc	S2	50	3	5	Wand	34	0	516	56	"A rod of blue metal and wood capped with a blue headstone.  To use this wand, you must equip it as though you were equipping a weapon."
136	wand1	Wand of Static	1000	WeaponW	Misc	S13	50	3	5	Wand	34	0	516	56	"A rod of blue metal and wood capped with a blue headstone.  To use this wand, you must equip it as though you were equipping a weapon."
137	wand1	Wand of Cold	1000	WeaponW	Misc	S24	50	3	5	Wand	34	0	516	56	"A rod of blue metal and wood capped with a blue headstone.  To use this wand, you must equip it as though you were equipping a weapon."
138	wand1	Wand of Stunning	1000	WeaponW	Misc	S34	50	3	5	Wand	34	0	516	56	"A rod of blue metal and wood capped with a blue headstone.  To use this wand, you must equip it as though you were equipping a weapon."
139	wand1	Wand of Arrows	1000	WeaponW	Misc	S35	50	3	5	Wand	34	0	516	56	"A rod of blue metal and wood capped with a blue headstone.  To use this wand, you must equip it as though you were equipping a weapon."
140	wand2	Fairy Wand of Fire	1500	WeaponW	Misc	S4	40	3	7	Wand	34	0	504	33	"More a staff than a wand, this fairy wand is inexplicably alive, even though it was cut from its parent tree many years ago.  To use this wand, you must equip it as though you were equipping a weapon."
141	wand2	Fairy Wand of Sparks	1500	WeaponW	Misc	S15	40	3	7	Wand	34	0	504	33	"More a staff than a wand, this fairy wand is inexplicably alive, even though it was cut from its parent tree many years ago.  To use this wand, you must equip it as though you were equipping a weapon."
142	wand2	Fairy Wand of Poison	1500	WeaponW	Misc	S26	40	3	7	Wand	34	0	504	33	"More a staff than a wand, this fairy wand is inexplicably alive, even though it was cut from its parent tree many years ago.  To use this wand, you must equip it as though you were equipping a weapon."
143	wand2	Fairy Wand of Mind	1500	WeaponW	Misc	S58	40	3	7	Wand	34	0	504	33	"More a staff than a wand, this fairy wand is inexplicably alive, even though it was cut from its parent tree many years ago.  To use this wand, you must equip it as though you were equipping a weapon."
144	wand2	Fairy Wand of Harm	1500	WeaponW	Misc	S70	40	3	7	Wand	34	0	504	33	"More a staff than a wand, this fairy wand is inexplicably alive, even though it was cut from its parent tree many years ago.  To use this wand, you must equip it as though you were equipping a weapon."
145	wand3	Alacorn Wand of Fireballs	2000	WeaponW	Misc	S6	30	3	9	Wand	34	0	519	56	"Made from the hollowed out horn of a unicorn and spitted on a piece of polished wood, wands like these are born of cruelty and evil.  The enchantment it holds is useful;  the only real question is whether you believe your cause justifies the use of an item so wickedly created.  To use this wand, you must equip it as though you were equipping a weapon."
146	wand3	Alacorn Wand of Ice	2000	WeaponW	Misc	S28	30	3	9	Wand	34	0	519	56	"Made from the hollowed out horn of a unicorn and spitted on a piece of polished wood, wands like these are born of cruelty and evil.  The enchantment it holds is useful;  the only real question is whether you believe your cause justifies the use of an item so wickedly created.  To use this wand, you must equip it as though you were equipping a weapon."
147	wand3	Alacorn Wand of Swarms	2000	WeaponW	Misc	S37	30	3	9	Wand	34	0	519	56	"Made from the hollowed out horn of a unicorn and spitted on a piece of polished wood, wands like these are born of cruelty and evil.  The enchantment it holds is useful;  the only real question is whether you believe your cause justifies the use of an item so wickedly created.  To use this wand, you must equip it as though you were equipping a weapon."
148	wand3	Alacorn Wand of Blades	2000	WeaponW	Misc	S39	30	3	9	Wand	34	0	519	56	"Made from the hollowed out horn of a unicorn and spitted on a piece of polished wood, wands like these are born of cruelty and evil.  The enchantment it holds is useful;  the only real question is whether you believe your cause justifies the use of an item so wickedly created.  To use this wand, you must equip it as though you were equipping a weapon."
149	wand3	Alacorn Wand of Charms	2000	WeaponW	Misc	S61	30	3	9	Wand	34	0	519	56	"Made from the hollowed out horn of a unicorn and spitted on a piece of polished wood, wands like these are born of cruelty and evil.  The enchantment it holds is useful;  the only real question is whether you believe your cause justifies the use of an item so wickedly created.  To use this wand, you must equip it as though you were equipping a weapon."
150	wand4	Arcane Wand of Blasting	2500	WeaponW	Misc	S8	25	3	11	Wand	34	0	514	45	"Made of a reddish metal, the egg of a cockatrice fixed to the business end caps a wand containing a mighty enchantment.  To use this wand, you must equip it as though you were equipping a weapon."
151	wand4	Arcane Wand of Lightning	2500	WeaponW	Misc	S18	25	3	11	Wand	34	0	514	45	"Made of a reddish metal, the egg of a cockatrice fixed to the business end caps a wand containing a mighty enchantment.  To use this wand, you must equip it as though you were equipping a weapon."
152	wand4	Arcane Wand of Rocks	2500	WeaponW	Misc	S41	25	3	11	Wand	34	0	514	45	"Made of a reddish metal, the egg of a cockatrice fixed to the business end caps a wand containing a mighty enchantment.  To use this wand, you must equip it as though you were equipping a weapon."
153	wand4	Arcane Wand of Paralyzing	2500	WeaponW	Misc	S81	25	3	11	Wand	34	0	514	45	"Made of a reddish metal, the egg of a cockatrice fixed to the business end caps a wand containing a mighty enchantment.  To use this wand, you must equip it as though you were equipping a weapon."
154	wand4	Arcane Wand of Clouds	2500	WeaponW	Misc	S09	25	3	11	Wand	34	0	514	45	"Made of a reddish metal, the egg of a cockatrice fixed to the business end caps a wand containing a mighty enchantment.  To use this wand, you must equip it as though you were equipping a weapon."
155	wand5	Mystic Wand of Implosion	3000	WeaponW	Misc	S20	15	3	13	Wand	34	0	500	59	"Formed of the clawed forepaw of a baby dragon, wands like this one can hold the strongest of spells.  To use this wand, you must equip it as though you were equipping a weapon."
156	wand5	Mystic Wand of Distortion	3000	WeaponW	Misc	S44	15	3	13	Wand	34	0	500	59	"Formed of the clawed forepaw of a baby dragon, wands like this one can hold the strongest of spells.  To use this wand, you must equip it as though you were equipping a weapon."
157	wand5	Mystic Wand of Shrapmetal	3000	WeaponW	Misc	S92	15	3	13	Wand	34	0	500	59	"Formed of the clawed forepaw of a baby dragon, wands like this one can hold the strongest of spells.  To use this wand, you must equip it as though you were equipping a weapon."
158	wand5	Mystic Wand of Shrinking	3000	WeaponW	Misc	S93	15	3	13	Wand	34	0	500	59	"Formed of the clawed forepaw of a baby dragon, wands like this one can hold the strongest of spells.  To use this wand, you must equip it as though you were equipping a weapon."
159	wand5	Mystic Wand of Death	3000	WeaponW	Misc	S95	15	3	13	Wand	34	0	500	59	"Formed of the clawed forepaw of a baby dragon, wands like this one can hold the strongest of spells.  To use this wand, you must equip it as though you were equipping a weapon."
160	herb01	Poppysnaps	2	Herb	Misc	0	0	1	0	Herb	128	0	0	0	"A magical herb of unusual properties.  Popppysnaps can be used to make potions.  (To use, pick the herb up and right-click over an empty potion bottle.)"
161	herb02	Phirna Root	3	Herb	Misc	0	0	1	0	Herb	127	0	0	0	"A magical herb of unusual properties.  Phirna Root can be used to make potions.  (To use, pick the herb up and right-click over an empty potion bottle.)"
162	herb03	Widoweeps Berries	4	Herb	Misc	0	0	1	0	Herb	126	0	0	0	"A magical herb of unusual properties.  Widoweeps Berries can be used to make potions.  (To use, pick the herb up and right-click over an empty potion bottle.)"
163	bottle30	Potion Bottle	5	Bottle	Misc	0	0	1	0	Potion Bottle	45	0	0	0	An empty potion bottle.
164	bottle26	Cure Wounds	10	Bottle	Misc	P1	1	1	0	Red Potion	41	0	0	0	"Restores 10 hit points.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
165	bottle23	Magic Potion	10	Bottle	Misc	P2	1	1	0	Blue Potion	38	0	0	0	"Restores 10 spell points.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
166	bottle28	Energy	10	Bottle	Misc	P3	1	1	0	Yellow Potion	43	0	0	0	"Adds 10 to primary statistics temporarily.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
167	bottle25	Protection	25	Bottle	Misc	P4	1	1	0	Orange Potion	40	0	0	0	"Adds 10 to armor class temporarily.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
168	bottle24	Resistance	25	Bottle	Misc	P5	1	1	0	Green Potion	39	0	0	0	"Adds 10 to resistances temporarily.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
169	bottle29	Cure Poison	25	Bottle	Misc	P6	1	1	0	Purple Potion	44	0	0	0	"Cures Poison.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
170	bottle27	Supreme Protection	50	Bottle	Misc	P7	1	1	0	White Potion	42	0	0	0	"Adds 20 to armor class temporarily.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
171	bottle27	Restoration	50	Bottle	Misc	P8	1	1	0	White Potion	42	0	0	0	"Cures all conditions except dead or stoned.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
172	bottle27	Extreme Energy	50	Bottle	Misc	P9	1	1	0	White Potion	42	0	0	0	"Adds 20 to primary statistics temporarily.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
173	bottle27	Super Resistance	50	Bottle	Misc	P10	1	1	0	White Potion	42	0	0	0	"Adds 20 to resistances temporarily.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
174	bottle27	Heroism	50	Bottle	Misc	P11	1	1	0	White Potion	42	0	0	0	"Grants Heroism (as the spell) for 6 hours.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
175	bottle27	Haste	50	Bottle	Misc	P12	1	1	0	White Potion	42	0	0	0	"Grants Haste (as the spell) for 6 hours.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
176	bottle27	Stone Skin	50	Bottle	Misc	P13	1	1	0	White Potion	42	0	0	0	"Grants Stone Skin (as the spell) for 6 hours.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
177	bottle27	Bless	50	Bottle	Misc	P14	1	1	0	White Potion	42	0	0	0	"Grants Bless (as the spell) for 6 hours.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
178	bottle22	Divine Power	100	Bottle	Misc	P15	1	1	0	Black Potion	37	0	0	0	"Adds 20 to level temporarily and adds 1 year of age.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
179	bottle22	Divine Cure	100	Bottle	Misc	P16	1	1	0	Black Potion	37	0	0	0	"Adds 100 hit points if at or below maximum and adds 1 year of age.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
180	bottle22	Divine Magic	100	Bottle	Misc	P17	1	1	0	Black Potion	37	0	0	0	"Adds 100 spell points if at or below maximum and adds 1 year of age.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
181	bottle22	Essence of Might	100	Bottle	Misc	P18	1	1	0	Black Potion	37	0	0	0	"Once only:  Adds 15 to Might and subtracts 5 from Intellect permanently.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
182	bottle22	Essence of Intellect	100	Bottle	Misc	P19	1	1	0	Black Potion	37	0	0	0	"Once only:  Adds 15 to Intellect and subtracts 5 from Might permanently.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
183	bottle22	Essence of Personality	100	Bottle	Misc	P20	1	1	0	Black Potion	37	0	0	0	"Once only:  Adds 15 to Personality and subtracts 5 from Speed permanently.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
184	bottle22	Essence of Endurance	100	Bottle	Misc	P21	1	1	0	Black Potion	37	0	0	0	"Once only:  Adds 15 to Endurance and subtracts 1 from all other statistics permanently.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
185	bottle22	Essence of Accuracy	100	Bottle	Misc	P22	1	1	0	Black Potion	37	0	0	0	"Once only:  Adds 15 to Accuracy and subtracts 5 from Luck permanently.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
186	bottle22	Essence of Speed	100	Bottle	Misc	P23	1	1	0	Black Potion	37	0	0	0	"Once only:  Adds 15 to Speed and subtracts 5 from Personality permanently.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
187	bottle22	Essence of Luck	100	Bottle	Misc	P24	1	1	0	Black Potion	37	0	0	0	"Once only:  Adds 15 to Luck and subtracts 5 from Accuracy permanently.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
188	bottle22	Rejuvenation	100	Bottle	Misc	P25	1	1	0	Black Potion	37	0	0	0	"Removes all magical aging effects and subtracts 1 from all 7 primary statistics.  To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
189	bottle30	Potion Bottle	5	Bottle	Misc	0	0	1	0	Potion Bottle	45	0	0	0	"To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
190	bottle30	Potion Bottle	5	Bottle	Misc	0	0	1	0	Potion Bottle	45	0	0	0	"To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
191	bottle30	Potion Bottle	5	Bottle	Misc	0	0	1	0	Potion Bottle	45	0	0	0	"To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
192	bottle30	Potion Bottle	5	Bottle	Misc	0	0	1	0	Potion Bottle	45	0	0	0	"To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
193	bottle30	Potion Bottle	5	Bottle	Misc	0	0	1	0	Potion Bottle	45	0	0	0	"To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
194	bottle30	Potion Bottle	5	Bottle	Misc	0	0	1	0	Potion Bottle	45	0	0	0	"To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
195	bottle30	Potion Bottle	5	Bottle	Misc	0	0	1	0	Potion Bottle	45	0	0	0	"To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
196	bottle30	Potion Bottle	5	Bottle	Misc	0	0	1	0	Potion Bottle	45	0	0	0	"To drink, pick the potion up and right-click over a character's portrait.  To mix, pick the potion up and right-click over another potion."
197	coinsm	Gold	0	Gold	Misc	0	0	1	0	Gold	129	0	0	0	A small pile of gold coins.
198	coinmid	Gold	0	Gold	Misc	0	0	1	0	Gold	130	0	0	0	A pile of gold coins.
199	coinlg	Gold	0	Gold	Misc	0	0	1	0	Gold	131	0	0	0	A large pile of gold coins.
200	scroll1	Torch Light	10	Sscroll	Misc	S1	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
201	scroll1	Flame Arrow	20	Sscroll	Misc	S2	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
202	scroll2	Protection from Fire	30	Sscroll	Misc	S3	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
203	scroll2	Fire Bolt	40	Sscroll	Misc	S4	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
204	scroll3	Haste	50	Sscroll	Misc	S5	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
205	scroll3	Fireball	75	Sscroll	Misc	S6	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
206	scroll3	Ring of Fire	100	Sscroll	Misc	S7	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
207	scroll4	Fire Blast	150	Sscroll	Misc	S8	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
208	scroll4	Meteor Shower	200	Sscroll	Misc	S9	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
209	scroll4	Inferno	300	Sscroll	Misc	S10	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
210	scroll4	Incinerate	500	Sscroll	Misc	S11	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
211	scroll1	Wizard Eye	10	Sscroll	Misc	S12	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
212	scroll1	Static Charge	20	Sscroll	Misc	S13	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
213	scroll2	Protection from Elec	30	Sscroll	Misc	S14	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
214	scroll2	Sparks	40	Sscroll	Misc	S15	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
215	scroll3	Feather Fall	50	Sscroll	Misc	S16	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
216	scroll3	Shield	75	Sscroll	Misc	S17	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
217	scroll3	Lightning Bolt	100	Sscroll	Misc	S18	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
218	scroll4	Jump	150	Sscroll	Misc	S19	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
219	scroll4	Implosion	200	Sscroll	Misc	S20	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
220	scroll4	Fly	300	Sscroll	Misc	S21	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
221	scroll4	Starburst	500	Sscroll	Misc	S22	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
222	scroll1	Awaken	10	Sscroll	Misc	S23	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
223	scroll1	Cold Beam	20	Sscroll	Misc	S24	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
224	scroll2	Protection from Cold	30	Sscroll	Misc	S25	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
225	scroll2	Poison Spray	40	Sscroll	Misc	S26	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
226	scroll3	Water Walk	50	Sscroll	Misc	S27	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
227	scroll3	Ice Bolt	75	Sscroll	Misc	S28	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
228	scroll3	Enchant Item	100	Sscroll	Misc	S29	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
229	scroll4	Acid Burst	150	Sscroll	Misc	S30	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
230	scroll4	Town Portal	200	Sscroll	Misc	S31	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
231	scroll4	Ice Blast	300	Sscroll	Misc	S32	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
232	scroll4	Lloyd's Beacon	500	Sscroll	Misc	S33	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
233	scroll1	Stun	10	Sscroll	Misc	S34	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
234	scroll1	Magic Arrow	20	Sscroll	Misc	S35	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
235	scroll2	Protection from Magic	30	Sscroll	Misc	S36	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
236	scroll2	Deadly Swarm	40	Sscroll	Misc	S37	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
237	scroll3	Stone Skin	50	Sscroll	Misc	S38	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
238	scroll3	Blades	75	Sscroll	Misc	S39	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
239	scroll3	Stone to Flesh	100	Sscroll	Misc	S40	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
240	scroll4	Rock Blast	150	Sscroll	Misc	S41	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
241	scroll4	Turn to Stone	200	Sscroll	Misc	S42	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
242	scroll4	Death Blossom	300	Sscroll	Misc	S43	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
243	scroll4	Mass Distortion	500	Sscroll	Misc	S44	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
244	scroll1	Spirit Arrow	10	Sscroll	Misc	S45	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
245	scroll1	Bless	20	Sscroll	Misc	S46	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
246	scroll2	Healing Touch	30	Sscroll	Misc	S47	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
247	scroll2	Lucky Day	40	Sscroll	Misc	S48	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
248	scroll3	Remove Curse	50	Sscroll	Misc	S49	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
249	scroll3	Guardian Angel	75	Sscroll	Misc	S50	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
250	scroll3	Heroism	100	Sscroll	Misc	S51	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
251	scroll4	Turn Undead	150	Sscroll	Misc	S52	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
252	scroll4	Raise Dead	200	Sscroll	Misc	S53	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
253	scroll4	Shared Life	300	Sscroll	Misc	S54	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
254	scroll4	Resurrection	500	Sscroll	Misc	S55	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
255	scroll1	Meditation	10	Sscroll	Misc	S56	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
256	scroll1	Remove Fear	20	Sscroll	Misc	S57	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
257	scroll2	Mind Blast	30	Sscroll	Misc	S58	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
258	scroll2	Precision	40	Sscroll	Misc	S59	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
259	scroll3	Cure Paralysis	50	Sscroll	Misc	S60	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
260	scroll3	Charm	75	Sscroll	Misc	S61	1	2	3	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
261	scroll3	Mass Fear	100	Sscroll	Misc	S62	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
262	scroll4	Feeblemind	150	Sscroll	Misc	S63	1	2	4	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
263	scroll4	Cure Insanity	200	Sscroll	Misc	S64	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
264	scroll4	Psychic Shock	300	Sscroll	Misc	S65	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
265	scroll4	Telekinesis	500	Sscroll	Misc	S66	1	2	5	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
266	scroll1	Cure Weakness	10	Sscroll	Misc	S67	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
267	scroll1	First Aid	20	Sscroll	Misc	S68	1	2	1	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
268	scroll2	Protection from Poison	30	Sscroll	Misc	S69	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
269	scroll2	Harm	40	Sscroll	Misc	S70	1	2	2	Spell Scroll	35	0	0	0	"A spell scroll.  To cast this spell, pick the scroll up and left-click over the picture of your character in the inventory screen."
