Day of Week Profession Text															
#		Sunday topic	Sunday text	Monday topic	Monday text	Tuesday topic	Tuesday text	Wednesday topic	Wednesday text	Thursday topic	Thursday text	Friday topic	Friday text	Saturday topic	Saturday text
26	Locksmith	Chests	Most of the great treasure you'll find will be locked away in a chest or box.  It only makes sense to protect your valuables.	Magical Locks 	"Some locks are bound by magical enchantments.  You won't be able to open them, no matter how fine a locksmith you are, unless you have the magical key necessary."	Thief	"Hey!  I'm a legitimate locksmith, not some shady burglar or thief.  I help protect peoples' belongings, not steal them."	Jerrad	"I've heard rumors that Zoltan Phelps lost a valuable possession to a group of bandits.  If he had taken proper precautions and had used my services, that wouldn't have happened."	Danger	"With all the troubles that have been going on, business has been great for me.  People have found the need to lock up their possessions to try and protect them from marauders or looters.  It's good to know I can give people at least a small sense of security in these dark times."	Thieves' Guild	Apparently there's a new Thieves' Guild called the Shadow Guild that's competing with the established guilds across the lands.	Traps	"You must be careful when opening some locks.  Many people don't consider a lock enough of a deterrent, so they will trap their doors or chests to try and frighten off or kill a would-be thief."
27	Fool	Talking	It is better to talk and let them think you a fool than to keep silent and prove it!	Temple of Baa	Have you heard of the Temple of Baa?  They're wonderful!  My family was hungry and they fed us when no one else would.  All we had to do was promise to come back!	Wise Men	A pipe gives a wise man something to think about and a fool something to stick in his mouth.	A Fool's services	"I know I charge a lot to travel with, but I'm worth it!  If you keep me around, I'll tell you words of wisdom you'll not soon hear from anyone else.  For instance, did you know that a fool and his money are soon parted?"	Treasure Map	I bought a treasure map from this treasure map salesman I met awhile ago and it says the dread pirate captain Silveka buried his treasure under a tree on one of the  islands east of Free Haven.	Bridge Deed	I just bought the deed to a bridge spanning the White Forest River.  It's a toll bridge!  Soon I'll be rich as my professional bridge managers make money from the tolls they charge and put it in my bank account!	Shooting Stars	"All of the really bad disasters started happening after the Night of the Shooting Stars two years ago.  Not much has gone right since then, except the Temple of Baa.  They really help people.  They also say that King Roland must have done something awful, 'cause the stars were avenging angels falling from Heaven to punish the wicked."
28	Chimney Sweep	Eric Von Stromgard	"Poor Eric's temper matches the weather in his kingdom.  Seeing a smile on his face is about as rare as seeing the sun in White Cap.  He's got the wrong way of looking at things, ol' Eric does."	Positive Thinking	"People often remark at how lucky I am.  It's not so much that I'm lucky, it's that I look on the bright side of everything.  You'd be amazed at how trivial some of your worst problems are if you look at them from the right angle."	King Roland	"Speaking of dooming yourself, poor Roland should never have bitten off as much as he did.  I'm sure he met his end courageously, but it was far too early in his life."	Temple in Free Haven	"It's a pity the Temple in Free Haven was destroyed in the fire.  That temple had the most magnificent altar.  The clerics there could raise people from the dead, even from just ashes!"	Loretta Fleise	"Loretta is my kind of person.  She makes her own luck, and it's almost always good.  She's got confidence, and that's something you can't just buy.  I'm sure that's the reason she's so successful: a confident, positive outlook."	Castle Ironfist 	I can never get work in Castle Ironfist.  I don't understand why.  It's almost as though they don't want people crawling around the castle.  Are they hiding something?	Luck	"Let me tell you a secret.  There is no such thing as luck.  You make your own luck based on your outlook.  If you expect the worst to happen, it probably will, and you'll have a horrible time.  If, however, you look on the bright side and expect the best, you'll usually find it."
29	Porter	Loretta Fleise	"Lady Fleise is the most difficult mistress to work for in all Enroth, you can be sure of that!  Penny pinching, heart of stone she has!  "	Kriegspire	"Every now and then there's someone who needs to go to a strange place, like Castle Kriegspire.  Like this one fellow the other day, he paid me well to help him and his servants carry stuff over the lip of Kriegspire Mountain and into its center.  His servants didn't look too healthy, either, but they never got tired.  Smelled bad, too."	Packing your Goods	"Don't be careless with the way you pack your goods in your backpack!  A little organization can save a lot of space, and let you carry more.  No one's going to do it for you, you know!"	Pack Rats	"The people who hire me often ask me to carry all kinds of junk I know they can do without.  Sorcerers have got to be the worst.  Pipes, tubes, glassware, junk– the works.  Just keep the best stuff with you and sell all that old junk!  But remember that selling to a general store will always get the worst prices."	Obelisks	"I'm sure you've seen the obelisks scattered around the Kingdom.  They say there's a riddle in them just waiting to be solved that shows where to find a great horde of buried treasure.  No one's ever done it, though.  At least, no one I've ever heard of."	Roads	"I travel with all kinds of people, carrying heavy loads from one place to the other.  I tell you though, unless you're powerful, your load will be lightened for you by all the bandits on the roads.  Stay off the roads between cities if you know what's good for you."	Snow	It's hard to travel through the snow.  Good thing you have people like me around!
30	Quarter Master	Food Supply	"Different terrains are easier to forage and hunt in.  You don't need to use quite as much food in grasslands, for example, as you do in the desert.  Keep this in mind when you choose a place to camp."	Wastelands	"Paradise Valley is no more.  All that's left from the Night of the Shooting Stars is a barren wasteland.  I've seen it, but I didn't have the courage to venture into it.  I'm not sure what sort of acts the people of Paradise Valley did to justify that sort of Heavenly retribution, but they must have been foul indeed."	Resting Safety	Some places it is simply too dangerous to rest.  Never assume you can rest in a difficult area.  Try and save enough strength to be able to retreat to a safer area.	Resting	Resting while poisoned or diseased is not advisable.  You stand a good chance of never waking from a rest while under these conditions.  You should get yourself healed of the poison or disease before resting.	Osric Temper	"Aye, I've worked in Osric's army before, tending camp and preparing food and cataloguing supplies.  He's a fair man, and an excellent leader.  He knows how to keep his troops motivated, let me tell you."	Inns	"Many inns are scattered across Enroth, and I believe there are even a few that eke out a meager existence in the western reaches.  These provide the easiest way to get food and the safest rest."	Benefit of Rest	"Resting allows you to approach the new day with vigor and zest.  Resting will heal your wounds and recharge your magic.  Nothing finishes a hard day like a good camp, good dinner, and a good fire."
31	Factor	Time	"Times are tough, and the banks have stopped giving interest payments on deposits recently.  Don't expect anything but security when you put your money in the bank– interest is a thing of the past!"	Accountancy	"Ah!  There's nothing like sitting next to the fire at home with a glass of wine, my dog at my feet, and a good balance sheet to work on.  That's the life!"	Shady Dealings	"You know, it really makes me uncomfortable to have to do business with or hear accounts from criminals.  I know they've stolen money, but what am I to do about that?  Jail is reserved for only the most violent or persistent of criminals.  Bring back Archibald and the good old fashioned execution, that's what I say!  King Roland's too soft, and so is his regent."	Pirates	"The 'Imperial Regnan Navy' has been on a taxation spree recently, and this has raised the cost of sea travel and transportation tremendously.  Many businessmen simply cannot afford to pay insurance on their goods any longer.  Somebody has to do something about the troublesome Regnans."	Death and Taxes	There are only three certainties in life:  The first is death.  The second is taxes.  And the third is the fact that you'll hear that joke sooner or later.	Resurrection Bills	Ever notice how the cost of Resurrection at a temple is exactly equal to all the gold you had with you when you died?	Fortune	Ever fantasize about discovering a huge horde of treasure?  I do.  They say there are three really big ones:  The first is the knowledge contained in the Royal Library.  The second is the treasure the obelisks lead to.  And the third is in Loretta Fleise's basement!
32	Banker	Loretta Fleise	Loretta's managed to make money by creating and exploiting her lead position in the shipping industry.  She's able to manipulate shipping prices all over the kingdom which brings in quite a bit of money.  I only wish I handled her accounts.	Gold	There's no two ways about it– you always need gold.  Everything has a price; hopefully you can pay it.	Expenses	"One of the best ways to make money is to curb your expenses.  Find the cheapest places to get supplies, healing, and training.  Don't hire people you don't need, don't pay for travel unless you need to, and don't buy items you don't intend to use.  Saving money is as important as making it."	Economy	"Due to the recent problems, people aren't spending as much money as they used to.  I'm afraid the economy is going to suffer quite a bit from this, and everyone will soon feel it."	Banks	"Banks are a safe place to store money.  Unless you personally own a secure, guarded vault, your best bet is to put your money in a bank.  You don't collect interest on your money, but because the banks don't lend out money, you don't have to worry about losing it."	Investing	"If you find a great piece of equipment for a low price, by all means buy it.  You'll be able to sell it later for a profit, and maybe even get some use out of it until then.  "	Western Areas	"I'm not sure the towns to the west even exist anymore.  Merchants don't travel to there, and no one has come back from those areas yet.  I believe civilization ends at Blackshire, and even the people there are strange at times."
33	Cook	Cost of Food	Better and fresher food that keeps longer is also more expensive.  People out west have figured out the trick of making food that keeps for a long time.	Evil Tidings	"Terrible things have been happening lately.  I heard about a village that was washed away in the recent heavy rains when their local creek overflowed its banks, and the news from Sweet Water is so bad there's been no news– people are saying the entire town was wiped out!"	Potions	"There's a way to make a powerful potion by mixing common herbs into water and the simple potions that process makes into more complex potions.  I know that if you mix an orange potion with a green potion you'll end up with a white potion of extreme protection.  There's a lot of other combinations you could try, but experimenting is dangerous!"	Evil Temples	"Wise men are saying they think the Temple of Baa is behind all the disasters that have been happening recently.  I think they're probably right.  The temple offers free healing, but you should think twice before using it– people are suspicious of the temple, and you'll get a bad reputation for having anything to do with them."	Herbs from Regna	"One of the few exports the Islands of Regna have going for them, besides piracy, is sugar, cocoa, and cinnamon.  If it weren't for those, I'd say we should ship the Temple of Baa over to Regna and let them sink all those islands!"	Fish	"I've cooked a lot of fish in my day, but never have I cooked one of the deadly eels that infest the waters north of Silver Cove.  I'd love a chance to do it, but not many people tangle with the eels and live.  But, oh, for a taste!  They say the eels are the best delicacy the world has to offer!"	Fruit Trees	"It may not seem like a big deal, but I like to supplement my cooking with fresh fruit.  You can find it most places just growing on trees, if you look.  Fruit trees have helped me out when I was hungry and had no money, and they could help you, too."
34	Chef	Alchemy	"Herbs can be used to create magical potions.  I don't know the procedure, but I know it's possible.  I wonder how those taste?"	Roland's Last Supper	I've heard the tales of the supper served to Roland's expedition the night before they left.  I wonder if any of them expected to return based on the accounts I've heard of that feast.  The luxury afforded to those men certainly sounded to me like some sort of last meal.	Favorite Dishes	"I love a well prepared steak, seasoned with a few herbs, and served with onions and mushrooms.  Add some steamed vegetables, maybe a potato, and some good ale… now that's a meal!"	Fountains	I've heard of fountains with magical waters that are supposed to exist in the lands.  I wish I could find one of these fountains; I'd love to prepare a meal with some magical water.	Food Prices	"Different inns charge different amounts for the food they sell, but don't be fooled.  The more expensive food will generally last longer than the cheaper stuff.  It's important to have food that will last when you plan to be out for long periods of time."	Food Supply	"Never run out of food!  You don't gain any benefit from rest when you have no food, and it's very easy to starve to death in the wilderness if you have no food."	Create Food Spell	"I believe there is a spell that will allow you to create food for yourself out of thin air, but I can't imagine food made from magic tasting very good."
35	Horseman	Price of riding	"Although it can be expensive, travel using the stables is faster than most any other way, excepting magic, and not many people can do that!  If you're broke, you'll have to hoof it yourself, but don't forget the food cost of travelling by foot!  "	Centaurs	"Our horses around here are thankfully very tame, but there are some centaurs– half man, half horse– roaming the countryside of Erathia.  The centaurs like to gather in tribes and make war on the humans and elves living near them."	Swamp Travel	"Now, not a lot of people like to go to the Mire of the Damned, and I'm one of them.  Horses don't belong there, either, and I don't think you'll soon find a stagecoach company willing to take you there.  My advice is to stay away from that place.  "	Resting	"You don't need to worry about this as much if you travel using the stagecoaches, but if you walk, be sure to rest on grass.  It's a lot more comfortable, and your travelling resources won't get used up as fast as if you try to sleep in the middle of the road."	Island travel	"I can't say I know much about travel over water, but from what I've heard, you can either take a ship to the islands, or Walk on Water to get there.  Ships all have complicated itineraries– be sure to ask the shipping company before you book passage when they do return voyages!"	Horseshoes	"Somewhere out there is a set of horseshoes that protect your horses' hooves perfectly, and never lets them get tired!  The places you could go if you had horses with those qualities!  Oh, well.  It's just a legend, most likely."	Sweet Water	"I don't suppose you've got any news of Sweet Water, do you?  No one I know has heard anything about the town for a year!  They're a long ways off from here…but a year?  Something must be wrong."
36	Bard	Songs	"I love to perform!  I love to travel!  There is no life like that of a bard.  The best gossip, the best food, and, most importantly, the best drink available… why would I ever want to be anything else?"	Free Haven	"The sewers under Free Haven house all sorts of interesting things.  I've heard stories of hideouts, temples, treasure, and well, sewage.  I don’t know which to believe, but it certainly seems like an interesting place."	Nicolai	"In my last visit to Castle Ironfist, Nicolai raved over how much he wanted to visit the circus.  I played a few songs from the circus for him, and he seemed to appreciate the gesture a great deal."	Temples of Baa	I don't understand why there aren't any major Temples of Baa in or around any of the major cities or castles.  For some reason they all seem to be built in more remote places.	Catherine	It's a shame that Catherine was pulled away to her father's funeral so soon after Roland's death.  That poor woman has suffered too many tragedies too soon.  It's even sadder that she's leaving Nicolai here while she's gone.  He's too young to have to deal with all of this on top of the crises affecting the kingdom.	Archibald Statue	"Soon after Archibald's defeat, I was able to peek into the Royal Library after one of my many performances at Castle Ironfist.  Inside, I saw a statue of Archibald in magnificent detail.  He must have had the statue made when he thought he was going to win his insurrection, and Roland's kept it as some sort of memento."	Council Members	"I wonder about the council sometimes.  The decisions they've made and some of the laws they've stalled on have really contributed to the chaos around here.  They've stalled any official investigation of Roland's death, and I don't understand why."
37	Enchanter	Music of the Spheres	"Though you can't hear it, the stars and the planets sing as they travel through the sky.  It is the Music of the Spheres– the grandest symphony in the universe!"	Retrograde	"Beware taking long trips for a few days– three planets are in retrograde, and one is actually on its third epicycle stage this month, all while Leo is ascending against Pisces' lateral movement.  Don't say I didn’t warn you!"	Prophecies	"It isn't wise to laugh off prophecies, even if, admittedly, most don't come true.  The most important one of our age is the one by Apius Silanus made on his deathbed 800 years ago when he said the dark brother would rise again in the shadow of the light brother's sunset.  That sounds an awful lot like our King Roland and his wicked brother Archibald, doesn't it?"	Dragon Towers	"Most people don't know about it, but the Dragon Towers posted near each of the towns are quite dangerous to students of air.  They're meant to shoot down flying monsters, but they'll also shoot at flying sorcerers.  They shot at me, once, and I'm lucky to be alive to tell this tale!"	Necromancers	"The Necromancer's Guild first appeared publicly during Archibald's brief reign 10 years ago.  They were around before that, but they kept themselves secret, knowing people wouldn't appreciate them.  When Roland became king, he outlawed the guild and ordered the leaders arrested.  None of them stayed around long enough for that, though, and now they're nowhere to be found."	Dawn and Dusk	"Every spell caster knows, or should know, that certain spells and magical effects occur around dawn and dusk.  For instance, no Divine Intervention is possible at any other time."	Meditation	"Practicing meditation may not seem like a big deal at first, but it can be a source of tremendous magical energy to the skilled.  Meditation masters can have many times the spell casting power as their less enlightened brethren."
38	Cartographer	Water walking Spells	"I've heard there are sorcerers for hire who can cast the Walk on Water spell if you can't do it yourself.  They charge a lot, though."	Travel Seasons	There are some places you can't get to during different parts of the year by boat.  You should plan your trips carefully to avoid inconvenience.	Loretta Fleise	"Lady Fleise is the Queen of the Merchants, and she has built a huge fortune by controlling shipping prices."	The Royal Yacht	"King Roland keeps his own personal royal yacht, the Queen Catherine, in a lake just west of Castle Ironfist.  She is a mighty ship, capable of going nearly anywhere quickly, but only the king or the regent can give permission for someone to use her."	Islands	"There are many islands that can only be reached with a combination of boat travel and the Walk on Water spell.  Many of them are inhabited by the most horrible of monsters, but often the finest treasures can be found on them."	Buried Treasure	"It is said that one of the islands east of Free Haven hides the buried treasure of Silveka the pirate.  Now, I know these stories are a dime dozen, but I swear this one is true!  If only the map could be found…"	Erathia	"Although no shipping companies are currently offering the service, Erathia, homeland of Queen Catherine Ironfist, can be reached in a voyage of three weeks or so, depending on the season.  Ain't never been there, but they tell me it's nice."
39	Wind Master	Flying	"Flying is certainly easier than walking.  Safer, for the most part, too.  The only problem is that the Fly spell continually drains your power, so you need to plan your flight trips carefully so the spell doesn't run out."	Mountains	"Magical flying is constrained to a certain altitude, so certain high mountains will block magical flight.  Given all the advantages of flight, that's really a very minor drawback."	Alamos	"Alamos is the home of many researching sorcerers and their magyar guards.  Rumor has it the sorcerers there study summoning spells, but no one is brave enough to go there and ask."	Terrax	"Terrax was Enroth's first arch mage, and a sorcerer of incredible power.  He developed the foundations for elemental magic, and made the first basic discoveries into light and dark magic.  His crystal is said to hold some of the highest magical secrets."	Dragons	"Dragons are not only adept combatants, they are wily spell casters.  Few people appreciate the dragons' grasp of magic, and many cocky warriors find themselves unprepared for the dragons' true power."	Dragon Towers	"The old Dragon Towers were built to protect the towns from flying creatures, but they'll shoot down anything within their range that's flying."	Feather Fall	"The next best thing to flying, if you fall off of a cliff or similar height; Feather Fall doesn't give you any control but it certainly keeps you alive.  "
40	Water Master	Water walking Spells	"Water walking– my specialty– permits you to walk across most bodies of water as though you were on dry land.  You have to be careful, though, or the spell will run out while you're still over the water.  "	Drowning	"The water in the lakes and seas around Enroth is very cold, and even the best swimmers can drown in it.  If you fall in the water, get out as fast as you can!  You can't survive long there, no matter how tough you think you are."	Ice Blast	"If you're ever facing a horde of small monsters, try using the Ice Blast spell on them.  It explodes into dozens of tiny shards of ice that bounce around and slice your enemies to ribbons.  Because it will bounce off the walls, it works even better indoors.  Make sure you cast it far away from yourself, or it will hit you, too."	Town Portal	"The Town Portal spell is the single best spell for travelling huge distances in Enroth.  Masters of water have firm control over where they go and when they can cast this spell.  It's expensive to learn, but well worth your while!"	Erathia	"Erathia is out of even Town Portal's long range.  That continent is a full six week's worth of sea travel away.  There are a lot of islands and sub-continents between here and there, all of them filled with petty kingdoms and tribes looking to rob travelers of their valuables, their freedom, or their lives."	Church of the Moon	"Though the Church of the Moon celebrated the darker side of human nature, it is not to say that good could not come of their evil, just as evil came of the Church of the Sun's good.  During their heyday, the Church managed to create artifacts of great power– the Doomsday Cloaks.  If you ever find one, don't throw it away!  They're all very powerful and valuable."	The Crossing	"The legend of the Crossing is more than a thousand years old, but that doesn't stop people from repeating it from time to time.  The legend says that we all, and that even includes the elves, the dwarfs, and the goblins, came from the same place on a great ship that carried us across the void between the stars."
41	Gate Master	Retreat	"I've had to rescue a number of doomed expeditions, and let me tell you the one thing I've learned.  If you go somewhere that you don't think you can handle, RETREAT.  No one will think less of you for it."	Town Portal	"An excellent spell, but unfortunately most towns are in the east, so you won't get very far exploring with this spell.  Of course, if you need to run back to town, this is the easiest way to go."	Maps	"If you're going to be teleporting around everywhere, it's important to keep good maps to avoid getting lost."	Guardian Angel	"If you can't learn to retreat, Guardian Angel at least provides a means of escape from certain death.  Anytime you explore a dangerous area, it's best to have this spell cast, just in case."	Devils	"I've seen a few devils in my travels, and they are fierce to behold.  I've had to rescue a few people from devil attacks, and I  was amazed at their coordination and prowess in combat.  They must have excellent training to be that proficient."	Lloyd's Beacon	"A great spell when running errands, Lloyd's Beacon allows you to set up beacons that you can teleport back to.  Though the beacons don't last forever, with proper planning they last long enough to get the job done."	Magic Portals	I've heard portals exist that allow transit between two fixed places in Enroth.  Knowledge of these would provide another excellent and fast way to move around the world.
42	Acolyte	Self Improvement	"The magics of mind, body, and spirit are the magics of the soul and the self.  To improve one's understanding of them is to improve one's standing with the gods.  "	Church of the Sun	"Although they were a heretical religion, their heart was in the right place.  The Church helped the poor, healed the sick, and comforted the distraught.  But they grew rich, powerful, and prideful, and pride indeed goeth before a fall.  When they attacked their rival, the Church of the Moon, they brought both their enemy and themselves down."	Light Magic	"Light magic is the strongest magic in the world that doesn't bite you for trying to use it.  Dark magic can work offensive miracles, but often as not there's a price to pay for using it.  Also, many of the most destructive dark magics hurt the caster at the same time it hurts the enemy."	False Prophets	"The Temple of Baa has been giving a bad name to all religion.  People are beginning to think they're behind these disasters, and I'm beginning to agree.  The gods must surely be angry with their disgusting heresies!"	Night of Shooting Stars	"I fear the Night of Shooting Stars was an omen of the worst kind.  It didn't take long for our good king to disappear after that night, and for the Temple of Baa to arrive, did it?  And all this talk about devils in the west…these are evil omens indeed!"	Healing Potions	"Making a healing potion is a simple matter, if you have ingredients.  All you need are widoweeps berries and a flask with water.  Just mix the berries with the water, and…Voila!  Instant healing potion!  If you don't have any water handy, you can just eat the berries directly, but the effect isn't as strong."	The Gods	"The gods oversee our lives and guide us constantly toward heaven and the light.  All you have to do is listen with your heart and do what it tells you to be admitted to heaven.  Have faith.  The gods will help you get there, if you'll listen to them."
43	Piper	Music	"Many people have contempt for the simple music of a travelling minstrel, but it is the work of a lifetime to get good at what I do."	Taverns	"It's hard to make a living these days playing music in the taverns.  I've been travelling between the towns for years, but people are really scared these days.  Everyone is afraid to spend money."	Rats and Children	Pipe music seems to have a strange effect on rats and children.  At least it does when I use my best pipe.  They follow you everywhere!  	Savage Beasts	Can't count on savage beasts to be soothed by music.  That whole story about controlling beasts with music is just a myth.  I have scars to prove it!	Medusas	"Once I was hired by a noble to entertain him and his wife on Star Lake, playing music while they picnicked in a boat. When we approached the south end of the island at the center of the lake, we saw the most hideous beast– a woman with snakes for hair– on the shore of the island.  She took one look at my noble benefactors and they turned to stone before my eyes.  It was all I could do to row away before I joined them."	Ruin of Sweet Water	"Sweet Water was an excellent venue for my music before the Night of Shooting Stars.  Now the road to that town is infested with devils, and they say the town is no more."	Fall of Roland	They say the king was last seen fleeing toward Castle Kriegspire with an army of devils following him.  He never returned.  I think we may have to face up to the possibility that our good king was killed by those monsters.
44	Explorer	Special Locations	"Many areas with magical powers are scattered around the world.  Most often, they are in out of the way locations.  It's to your best benefit to try and discover and use as many of these as you can."	Walk on Water	"Boats don't always travel on the schedules or to the destinations you want.  If you want personal control over your water travel, the water walk spell is the way to go."	Star Island	"I've never made it to Star Island, but I've seen the statues outside.  No one has ever come back from a trip to the island, and I suspect the statues are the transformed people that have made it to the island and discovered some terrible secret there."	Darkmoor	"Castle Darkmoor, in the deepest part of the Mire of the Damned, houses the most powerful undead anywhere in the world.  That's how the rumor goes, anyway.  I've never actually seen the place, much less been inside of it.  I've made it out of the mire alive, though.  Not many people can say that."	Flight Spells	"Flight spells provide a way to get past mountains and walls and other such obstacles.  There is a limit on how high you can fly with the Fly spell, though.  Some peaks rise too high to pass with magical flying."	Isle of the Hermit	"The Isle of the Hermit, named by Lord Terrance for its remoteness, is difficult to travel to because of the turbulent waters south of Enroth."	Travel Times	"Teleportation is the way to go to minimize travel times.  Of course, you can move around pretty quickly by boat or by horse if you have a skilled person leading the way."
45	Pirate	Regna	"People say bad things about my homeland of Regna all the time, but they don't know what they're talking about.  Never will you find a more fun loving, happy people than on Regna, nor a more fiercely independent people."	Cutlasses	"The cutlass is a better weapon than the broadsword for many reasons, but the best is the way it's swept backward to deceive your opponent about the length of your weapon's reach.  The smithies of Regna turn out the best cutlasses in the world, you can bet on that, matey!"	Tridents	"For sea battles, there's nothing like a trident for dealing with enemies.  The trident works underwater, or from the surface into the water.  Most weapons can't cut through the water well, but a trident stabs right through it."	Imperial Taxation	"I know it sounds bad, but the best job I ever had was Imperial Tax Collector for his Highness, Hareck IX.  We collected tax on a lot of ships, and good old Hareck always let us keep some of the booty– er, I mean proceeds.  <sighs> Yep.  Those were the days!"	Hareck IX	"Hareck IX has got to be the best leader in the world.  Not only is he the only Emperor in the world, he's the only leader I've ever heard of that does common work like the rest of his people.  Like when there's taxes to be collected on shipping, Hareck's right there with the rest of us.  Boarding, fighting, cursing, drinking, whatever.  Hareck's a real down to earth kind of Emperor."	Regnan smithies	"Lots of people would like to invade Regna and take her spices, her metal, and her treasures.  The only thing that's kept Regna free all these years is her attention to metal smithing science and her arms sales to all the countries of the world.  Everyone criticizes Regna for that, but everyone buys Regnan weapons.  Talkin' outta both sides of their mouth, that's what those hypocrites do!"	Arms Shipments	"I came to Enroth during the time Regnans were invited by King Archibald to bring over a load of weapons to help in his fight against Roland.  When Archibald lost the war, Roland seized all the arms ships and forbade travel to Regna.  I've been stuck here ever since."
46	Squire	Opponents	The best way to learn is to make sure to fight challenging opponents.  You don't grow by picking on things weaker than yourself.  The true path to glory leads through winning tougher and tougher battles.	Chadwick	"Chadwick, a veteran of the Succession Wars, lives in Free Haven.  He's the most decorated living cavalier in Enroth, and one of Osric's favorite knights."	Council's Cache	"Rumors abound that the council actually guards a cache of equipment from before the Silence.  I don't believe it, though.  Wouldn't the council have used this equipment against the devils, or even in the Succession War if it were true?"	Osric Temper	"The knight's Lord!  Osric's mastered everything there is in combat, from individual fighting to the logistics of siege warfare.  No one is a match for him in a battle!"	Repairing	"Every squire knows that a weapon is of no use broken.  Every warrior should know how to repair his own equipment, or be at the whim of the smiths' schedules.  Knowing how to repair your weapon is part of mastering your weapon."	Roland's Expedition	"I wish I could have been part of Roland's expedition!  There's true bravery– how glorious that troop must have looked, armor and weapons gleaming in the sun.  Better to die valiantly in the battlefield with your lord, then to expire in the night, cold and alone."	Shields	"The simplest piece of a knight's equipment, the shield provides excellent defense for low hindrance and weight.  No warrior should be without a good shield in a fight."
47	Psychic	Tarot Cards	There is a mystical deck of tarot cards some claim to have seen.  No person ever sees the deck twice.  To draw from the deck is to draw a new hand in the game of life.	Games of Chance	"Most games of chance are made to separate fools from their money.  Unless you're a psychic or phenomenally lucky, don't waste your hard earned gold on them."	Palm Reading	"Here, let me see your palm…<pointing at a line on your hand> Ah.  Well, just as I suspected.  You're going to die.  Soon, I'll warrant."	Doom!	"I can see the mark of doom about your face!  It is like a cloud that hangs just above your head, clouding your features and casting a shadow over your future.  Great and terrible adventures await you, my friend!"	Ghosts	"Of all the malicious mischief makers in the world, Necromancers are by far the worst.  Their 'science' is very new, and they know just enough to get themselves and the rest of the world in trouble."	Astrology	"Astrology is often sneered at, but I tell you it's very real and important.  The most significant astrological event recently was that shooting star that fell from the sky out of Sagittarius.  It portends upheaval, disaster, and opportunity for the entire world."	Witches	"The Witches' Assembly of 638 was the greatest gathering of sorcerers and alchemists ever.  Since then, the popularity of the magical arts has declined, and persecution of groups like ours…er, theirs– has grown quite a bit.  It really is quite awful."
48	Gypsy	The West	"Most of the dangerous areas left in the world are found to the west.  Paradise Valley and Dragonsand are the most notable, though the western parts of the Frozen Highlands and the Mire of the Damned are difficult as well.  As a general rule, the farther west, the more difficult."	Brigands	"With the death of Roland and rumors of a collapse of the Ironfist Rule, the roads are almost unsafe to travel anymore.  Brigands and bandits of all sorts now prey on anyone travelling too far from the protection of the castles."	Daggers	"A dagger or knife is the most useful weapon in the world.  You can use it for a variety of tasks, from cooking to carving to lock picking (in a pinch).  Plus, as you become more and more skilled, you can use one in either hand and even strike vital locations on enemies with precise attacks."	Baa Cloaks	"The priests of Baa are nice, even to gypsies.  You can tell a priest of Baa from the decorative cloaks they wear."	Resting	"Resting revives your body and mind.  Camping gives you a chance to relax, talk, celebrate– to just unwind a little and rest off some of the stress and worry of the remainder of the day.  "	Organized Crime	Merchants in the northeast aren't above hiring people to make sure that their competition isn't too competitive.  We try to avoid those areas and not get involved with any of the local petty struggles.	Merchants	"Merchants are businessmen first and foremost.  They will always try to buy low and sell high.  Don't be too upset with them; they need to make a living, too.  The way to get the best prices, both when buying and selling, is to try different markets."
49	Negotiator	Diplomacy	"I can't stress the importance of diplomacy enough.  A good diplomat can excuse any action, no matter how foul. "	Begging	"If you must resort to 'special' measures to get someone to talk to you, remember that begging is almost free of consequences.  Some types, however, just won't listen to a beggar, forcing you to try another tack.  Thieves and merchants never tolerate begging."	Karigor	"If ever there was a snake's nest of politics and religion, it was Karigor.  Karigor is a small island southeast of the 'bootleg' that New Sorpigal is situated on.  The twin rival Churches of the Sun and the Moon were founded there, and fought the longest war the world has ever seen until they managed to destroy one another about 200 years ago.  Their artifacts of power are scattered around the world."	Bribes	"If someone won't talk to you, and begging doesn’t seem to be working, try a good, hefty bribe.  Gold loosens a tongue faster than charity."	Fear and Love	"A wise negotiator once said, 'On whether 'tis better to be loved or to be feared, choose both.  But if a choice between the two must be made, choose fear.'– Words to live by, my friend.  Words to live by."	Listening	"Listen to the way a person greets you to get an idea how to deal with them, should they prove uncooperative.  You'll find that many people that share similar interests and professions will have the same attitude toward your choice of begging, bribing, or threatening them."	Threats	"If you've determined that begging and bribing are of no use, and you simply must speak with a person, then the thinly veiled threat must be issued.  But remember to use this option sparingly, since only the best diplomats can stop the damage you'll do to your reputation if threats become your habit."
