Regional News			
#	Map	标题	解说正文
210	32	狄克森·帕克斯	狄克森在斯壮姆嘉德城堡的西面传授锤棍的专家级技能。
211	32	杰德·莫里森	杰德在斯壮姆嘉德城堡的西面传授弓箭的专家级技能。
212	32	莫顿·霍尔文	莫顿在白帽镇的西南面传授暗黑魔法的专家级技能。
213	31	阿卜杜的修养小岛	我听说阿卜杜在飞龙沙漠的南面有个休闲胜地。那里可能到处是巨龙。
214	31	金字塔	在飞龙沙漠的中部有一座神秘的金字塔。没人知道是谁建造的。
215	31	威猛兽	威猛兽在陆地上行动很快，但不会飞。它会喷发毒气攻击猎物。
216	31	烈火蜥蜴	烈火蜥蜴是飞龙沙漠的毒蛇猛兽中的一个种类。
217	31	克洛诺斯	这把战斧能使主人的生命力飙升，并可以心想事成。但是灾祸与不幸总和此战斧形影不离。
218	30	狼穴	当布莱克郡的居民开始不断神秘失踪时，镇子附近的一个岩洞却打开了。
219	30	布莱克郡	布莱克郡的居民受到可恶的诅咒，在夜间变成了狼人。
220	30	星岛	星岛的中部有一个破庙。真令人奇怪，岛上的雕像竟会逐渐增多。
221	30	狼人	狼人都是些平民百姓在夜间变成的半人半狼的怪物。他们在月圆的时候会变得无比强大。
222	30	空气元素	空气元素怪兽游荡在冰冻高地和飞龙沙漠之间的山谷里。尽管他们是最弱小的元素怪兽，但可以迅速发射电击。
223	30	赫克拉斯	这是一把属于强大勇士的名剑。可以极大提高力量和耐力，但会降低智力。
224	30	大主教	多年以来没人能够升级为大主教，我真怀疑安东尼·斯通是否不想让神父们升级了？
225	30	美杜莎	在星湖的中部有一个岛屿是来自地狱的怪兽的大本营。我听有个人讲他一天和几个朋友在岛上，平地竟冒出一群蛇形怪物。它们的目光一与人相对，任何人都会变成石头。他是唯一侥幸生还的幸存者，就因为他拼命奔逃，没有回头向后望。
226	30	狼穴	一个可怕的咒语已经降临到此地的百姓头上，它的源头众所周知，是在镇子南面山区中一个最近才开放的山洞里。必须有人去那里消除这个咒语，可惜现在勇敢这种品质在布莱克郡已荡然无存。
227	30	巨龙	飞龙沙漠是恩洛斯巨龙的生息之地。巨龙是最凶猛可怕的动物，决不会对你手下留情。
228	30	太阳马戏团	太阳马戏团每年四月在布莱克郡和星湖之间作巡回演出。你不妨去看看，演出精彩绝伦，绝对不会花冤枉钱的。
229	30	西部商路	从布莱克郡向西的路途是从太平盛世步入险山恶水的一段路径。西面是天堂谷。如今这个名字对这个地方简直是绝大的讽刺。那个地方已经是一片荒芜，而且到处是新来的可恶怪兽——魔鬼。
230	30	恶魔	从布莱克郡出发向西走几天的路程就会碰到恶魔，你最好腿脚利索点，否则性命不保。
231	30	巡逻队员	科尔本爵士在布莱克郡和天堂谷之间巡逻时神秘的失踪了。据说如果要寻找他，就得从此地入手。
232	30	罗兰德	我们亲眼目睹罗兰德国王匆匆逃入克里格斯城堡，而恶魔正气势汹汹的逼近克里格斯，看来我们每个人都难逃魔掌了。
233	30	安波罗斯·布鲁斯	安波罗斯在布莱克郡的城镇里传授暗黑魔法的专家级技能。
234	29	克里格斯	克里格斯城堡曾经是诞生怪物的魔法试验基地。现在此处已被废弃，里面怪兽四散游荡，坐落其周围的火山其实是防止怪兽逃出城堡危害人间的堡垒。
235	29	阿加	作为阿基巴德手下的巫师，阿加是克里格斯城堡中最杰出的魔法师。他的怪兽如今正猖獗横行在城堡里，而他却早已丢下同伴一走了之。没有人知道他去了哪里。
236	29	火亚龙	尽管没有巨龙那么厉害，但这些亚龙的实力不容小视。这些会飞的爬行怪兽拥有威力强大的元素魔法攻击能力。
237	29	牛头怪	一些牛头怪已经逃离了克里格斯城堡，现在正在城堡周围的火山区游荡。
238	29	泥土元素	泥土元素怪兽目前在克里格斯地区猖獗横行。他们已经摆脱了禁锢它们的魔法，并且使所到之处变成一片废墟。
239	29	阿波罗	这是一件抵挡元素魔法攻击最有力的盔甲。但它同时也削弱了穿着者的耐力。
240	29	顶级神庙	一年前在克里格斯东面的山里建立了一座羊鸣教的顶级神庙。和一般的羊鸣庙不同，它不向平民百姓开放。如果你要进入神庙，就必须加入羊鸣教。
241	29	埃登布鲁克战役	如果没有罗兰德国王和他的部队，埃登布鲁克村早就不存在了。是他们把村子从恶魔手中解救了出来。
242	29	克里格斯战役	当国王躲进克里格斯城堡时身后正追赶着一大帮恶魔部队。一些天后恶魔离开了城堡周围的火山区，但国王自己却音讯全无。
243	29	死亡骑士	人类和巨龙往往很难和睦相处。但死亡骑士却和一群巨龙在克里格斯附近山区北面的堡垒中签署了同盟协议。
244	29	尼古拉斯·罗斯	尼古拉斯住在克里格斯城堡，他会传授你光明魔法的专家级技能。
245	28	巨人	巨人是威力仅次于巨龙的怪兽。他不仅拥有难以置信的电击魔法，还精通心智魔法和魂飞魄散魔法。
246	28	烈火元素	烈火元素怪兽看来喜欢住在隐士岛，但不知道何人能控制他们。
247	28	奥丁	尽管此头盔会降低穿戴者的反应能力，但元素魔法的攻击在对戴此头盔者无能为力。
248	28	隐士岛	羊鸣教最近在隐士岛上建立了超级神庙。他们在岛上找到一处适于建庙的古迹，并在庙中进行我们所说的暗黑魔法的实验。
249	28	飞龙沙漠	作为恩洛丝的最大沙漠，飞龙沙漠是世界上最凶猛的怪兽的生息之地。巨龙，巨人和其他巨型怪物在此间猖獗横行，四处寻觅猎物。如果有人一时糊涂走进沙漠，必须善于隐藏自己并且拼命逃窜，不然性命难保。
250	27	天堂谷	天堂谷曾经是恩洛斯土地最为肥沃，风景最为美丽的地方。但现在由于受到诅咒，此地草木凋零，瘟神肆虐，人民被迫背井离乡。这里已经是一片荒芜，没人想在这儿定居。
251	27	枯萎病	就在流星雨之夜后的短短几天，枯萎病侵蚀了整个天堂谷。几年时间里，几乎所有的动植物都因染上此病而一命呜呼。村民们只能迁移到东面去寻找食物。这种枯萎病现在没有丝毫的减弱迹象，反而愈演愈烈。如果没有人出手制止，有朝一日会蔓延到整个王国。
252	27	恶魔	你在天堂谷中看到的恶魔其实只是庸庸碌碌之辈。它们就像蚂蚁社会中的工蚁和兵蚁，由拥有高超智慧的首领统一指挥。这些领袖能够飞翔，其中的杰出者还精通人类的语言和文字。
253	27	甜水通路	尽管魔鬼十分强大，但也不是不可战胜的。罗兰德国王就在甜水通路的战役中棋高一招，一举击溃强敌。这些家伙确实强壮无比，但刀剑无情，血肉总比不过利刃。
254	27	赫尔墨斯	这双神秘的皮靴能使穿着者隐身，可与周围环境融为一体。
255	26	蜂房	在甜水镇的废墟上恶魔造了一座奇怪的建筑，它们都蜂拥集中在此。
256	26	甜水镇	尽管房屋的残骸仍耸立在那里，但整个镇子已经全毁了，那里已经无人居住。
257	26	黑树林	自从流星雨之夜后黑森林就被夷为平地。
258	26	恶魔	恶魔喜欢施放烈火攻击并往往蜂拥而上。最强大的恶魔还会使用烈火魔法咒语。
259	26	赫拉	这块神秘的护身符能提高其携带者的力量、魔法值和运气。
260	1	甜水镇	甜水镇曾经是王国中最美丽的城镇。但自从流星雨之夜后就再也没有它的消息。我想流星雨正是降落在此镇，一定是它使全镇百姓无一幸免，所以没有人能透露事实真相。
261	1	流星雨之夜	神使很久以前曾经警告要提防来自天空的恶魔。但我恐怕已经无人记得了，即使有人按神使的指示行事，也决不会把流星雨之夜和恶魔联系在一起。
262	1	恶魔巢穴	我曾碰到一个探寻甜水镇命运的人。他告诉我这个地方已被恶魔夷为平地。恶魔在镇子附近建了一座奇怪的高塔。每隔二十分钟会传来神秘的声音。他本来还想去探个究竟。但那儿的恶魔太多了，他胆怯了。
263	1	羊鸣教的代表	你注意到整个王国中多如牛毛的羊鸣教的庙宇了吗？它们几乎无处不在。这样发展下去我感觉似乎不妙。尽管羊鸣教徒免费为人治病，但这只是他们笼络人心的手段而已。
264	1	凯瑟琳王后	王后回她的家乡埃拉西亚已经有很长一段时间了。百姓为她的命运担心，难道她在旅途中遭到了不幸？
265	1	航海旅行	恩洛斯的船只完全有自己的航行安排日程。如果你选择得当，可以找到最迅捷、最便宜的远程航船。
266	1	维兰坟墓	传说那艘大穿越时使用的巨轮被埋葬在飞龙沙漠中部的巨石坟墓里。这说明此沙漠很久以前肯定是个大湖或是海洋。
267	1	方尖塔	王国里散立着方尖塔。如果你触摸这些塔就能得到一个谜语的某一部分。还没有人能解开这个拼集而成的谜语。传说恩洛斯埋藏着大批财宝，但只有揭露谜底的人才能找到财宝。
268	1	龙塔	警惕每个城镇附近的龙塔。它们会向任何飞行物发射火球。它们一定是为了保护城镇不受巨龙和其他飞行怪兽危害而建。但它们却不能区分人类和怪兽。
269	1	恶魔和羊鸣教	有人说羊鸣教和恶魔已经结盟了。可能真是这么回事。在流星雨之夜的几个月后第一座羊鸣庙就出现了。而我们知道恶魔与那个夜晚有关。
270	1	议会中的叛徒	传言威尔伯·汉弗里在高级议会的全权代表斯里克·席尔瓦托恩是个叛徒。有人几次看见他在羊鸣教的庙宇出现。而众所周知羊鸣教是犯上作乱的邪教。
271	1	天气	自从流星雨之夜后天气就开始反常，夏天竟变得越来越冷。我敢说去年的夏天是我所经历过的最寒冷的冬季。尽管有些夸大，但你知道我的意思，肯定什么地方出了问题。
272	1	灾难	你不觉得自从国王失踪后洪水和地震就频繁发生了吗？好像众神对国王和他的王朝已经动怒了。也许是他们丢失了天堂之令的缘故吧！
273	1	咒语	尽管羊鸣教免费治病救人，但奇怪的是最近常发生不明不白的事故，而受伤害的百姓越来越多，而且事故发生地点附近总有一座羊鸣庙。会不会是羊鸣教故意向百姓施展咒语，然后为了某种不可告人的目的而救治他们呢？
274	1	阿基巴德	你见到铁拳城堡后面图书馆里的阿基巴德雕像吗？可真像他，看起来他是被变成了石头而不是一座石像。
275	1	枯萎病	西部的天堂谷省区这些年正经历着沧海桑田的巨大变化。它曾是一块土地富饶的农业区，如今植物都染上了枯萎病而一命呜呼。河水也干涸枯竭。所有的动物或病或死，村民不得不背井离乡，去寻找新的食物来源。
276	1	大穿越的传说	传说在寂静时代以前我们的祖先坐船从很远的地方漂洋过海来到这块土地上并带来了伟大的神器。他们说那次航行的时间整整经历了三代人，可见航行距离之长，噢，该不会是在吹牛吧？
277	1	埃拉西亚	埃拉西亚是世界上第二大大陆。它比起恩洛斯来简直是个蛮荒之地，很不太平。那里的每个王国之间总在互相厮杀，没有一天太平日子。
278	1	李格纳	在恩洛斯的东面有许多岛屿隶属于李格纳王国。几百年前一个残暴野蛮的民族定居在那里，就一直抱残守缺，固守他们的生活方式。他们是天生的海盗和雇佣兵，易受他人控制。他们助纣为虐，帮助像阿基巴德这样的暴君，还以此为荣，连一点同情心也没有。
279	1	矮人	如果传说属实的话，那在祖先们进行大穿越以前，矮人族和我们常人并无区别。但由于他们所住的地方东西都特别重，所以导致他们身材矮壮，力大无穷，并从此一直如此。
