															
Item #	Pic File	名称	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	未鉴定名称	Sprite Index	Shape	Equip X	Equip Y	介绍
142	wand2	放毒仙杖	1500	WeaponW	Misc	S26	40	3	7	魔杖	34	0	504	33	与其说是魔杖，不如说是长棍。尽管它从树上砍下来好多年了，这根仙杖仍然生机勃勃。要使用此魔杖得像手执兵器一样拿着它。
143	wand2	心智仙杖	1500	WeaponW	Misc	S58	40	3	7	魔杖	34	0	504	33	与其说是魔杖，不如说是长棍。尽管它从树上砍下来好多年了，这根仙杖仍然生机勃勃。要使用此魔杖得像手执兵器一样拿着它。
144	wand2	伤害仙杖	1500	WeaponW	Misc	S70	40	3	7	魔杖	34	0	504	33	与其说是魔杖，不如说是长棍。尽管它从树上砍下来好多年了，这根仙杖仍然生机勃勃。要使用此魔杖得像手执兵器一样拿着它。
145	wand3	火球权杖	2000	WeaponW	Misc	S6	30	3	9	魔杖	34	0	519	56	此魔杖由独角兽的神角和抛光的木料拼制而成。它天生具有邪恶的魔力，并可以被有效的点化。但使用如此附有邪恶魔法的魔杖可不会干什么好事。要使用此魔杖得像手执兵器一样拿着它。
146	wand3	冰冻权杖	2000	WeaponW	Misc	S28	30	3	9	魔杖	34	0	519	56	此魔杖由独角兽的神角和抛光的木料拼制而成。它天生具有邪恶的魔力，并可以被有效的点化。但使用如此附有邪恶魔法的魔杖可不会干什么好事。要使用此魔杖得像手执兵器一样拿着它。
147	wand3	蜂群权杖	2000	WeaponW	Misc	S37	30	3	9	魔杖	34	0	519	56	此魔杖由独角兽的神角和抛光的木料拼制而成。它天生具有邪恶的魔力，并可以被有效的点化。但使用如此附有邪恶魔法的魔杖可不会干什么好事。要使用此魔杖得像手执兵器一样拿着它。
148	wand3	飞镖权杖	2000	WeaponW	Misc	S39	30	3	9	魔杖	34	0	519	56	此魔杖由独角兽的神角和抛光的木料拼制而成。它天生具有邪恶的魔力，并可以被有效的点化。但使用如此附有邪恶魔法的魔杖可不会干什么好事。要使用此魔杖得像手执兵器一样拿着它。
149	wand3	迷惑权杖	2000	WeaponW	Misc	S61	30	3	9	魔杖	34	0	519	56	此魔杖由独角兽的神角和抛光的木料拼制而成。它天生具有邪恶的魔力，并可以被有效的点化。但使用如此附有邪恶魔法的魔杖可不会干什么好事。要使用此魔杖得像手执兵器一样拿着它。
150	wand4	爆破权杖	2500	WeaponW	Misc	S8	25	3	11	魔杖	34	0	514	45	杆身由红色金属制成，顶端有一海妖蛋，经点化具有强大的魔力。要使用此魔杖得像手执兵器一样拿着它。
151	wand4	闪电权杖	2500	WeaponW	Misc	S18	25	3	11	魔杖	34	0	514	45	杆身由红色金属制成，顶端有一海妖蛋，经点化具有强大的魔力。要使用此魔杖得像手执兵器一样拿着它。
152	wand4	岩石权杖	2500	WeaponW	Misc	S41	25	3	11	魔杖	34	0	514	45	杆身由红色金属制成，顶端有一海妖蛋，经点化具有强大的魔力。要使用此魔杖得像手执兵器一样拿着它。
153	wand4	麻痹权杖	2500	WeaponW	Misc	S81	25	3	11	魔杖	34	0	514	45	杆身由红色金属制成，顶端有一海妖蛋，经点化具有强大的魔力。要使用此魔杖得像手执兵器一样拿着它。
154	wand4	云雾权杖	2500	WeaponW	Misc	S09	25	3	11	魔杖	34	0	514	45	杆身由红色金属制成，顶端有一海妖蛋，经点化具有强大的魔力。要使用此魔杖得像手执兵器一样拿着它。
155	wand5	挤压神杖	3000	WeaponW	Misc	S20	15	3	13	魔杖	34	0	500	59	此类魔杖由幼龙的前爪制成，具有威力最强大的魔法力量。要使用此魔杖得像手执兵器一样拿着它。
156	wand5	变形神杖	3000	WeaponW	Misc	S44	15	3	13	魔杖	34	0	500	59	此类魔杖由幼龙的前爪制成，具有威力最强大的魔法力量。要使用此魔杖得像手执兵器一样拿着它。
157	wand5	霰弹神杖	3000	WeaponW	Misc	S92	15	3	13	魔杖	34	0	500	59	此类魔杖由幼龙的前爪制成，具有威力最强大的魔法力量。要使用此魔杖得像手执兵器一样拿着它。
158	wand5	萎缩神杖	3000	WeaponW	Misc	S93	15	3	13	魔杖	34	0	500	59	此类魔杖由幼龙的前爪制成，具有威力最强大的魔法力量。要使用此魔杖得像手执兵器一样拿着它。
159	wand5	致命神杖	3000	WeaponW	Misc	S95	15	3	13	魔杖	34	0	500	59	此类魔杖由幼龙的前爪制成，具有威力最强大的魔法力量。要使用此魔杖得像手执兵器一样拿着它。
160	herb01	罂粟花	2	Herb	Misc	0	0	1	0	药材	128	0	0	0	具有非凡效力的魔法草药。可用来制成药剂。（使用时，拣起该草药置于一空瓶上并击鼠标右键）。
161	herb02	灵芝	3	Herb	Misc	0	0	1	0	药材	127	0	0	0	具有非凡效力的魔法草药。可用来制成药剂。（使用时，拣起该草药置于一空瓶上并击鼠标右键）。
162	herb03	柳条浆果	4	Herb	Misc	0	0	1	0	药材	126	0	0	0	具有非凡效力的魔法草药。可用来制成药剂。（使用时，拣起该草药置于一空瓶上并击鼠标右键）。
163	bottle30	药剂瓶	5	Bottle	Misc	0	0	1	0	药剂瓶	45	0	0	0	一个空的药剂瓶。
164	bottle26	疗伤药剂	10	Bottle	Misc	P1	1	1	0	红药剂	41	0	0	0	生命值恢复10点。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
165	bottle23	魔法药剂	10	Bottle	Misc	P2	1	1	0	蓝药剂	38	0	0	0	魔法值恢复10点。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
166	bottle28	能量药剂	10	Bottle	Misc	P3	1	1	0	黄药剂	43	0	0	0	七项指标暂时+10。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
167	bottle25	保护药剂	25	Bottle	Misc	P4	1	1	0	橙色药剂	40	0	0	0	防御等级暂时+10。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
168	bottle24	防御药剂	25	Bottle	Misc	P5	1	1	0	绿药剂	39	0	0	0	五项抗性暂时+10。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
169	bottle29	解毒药剂	25	Bottle	Misc	P6	1	1	0	紫色药剂	44	0	0	0	有解毒奇效。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
170	bottle27	超级保护药剂	50	Bottle	Misc	P7	1	1	0	白药剂	42	0	0	0	防御等级暂时+20。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
171	bottle27	恢复药剂	50	Bottle	Misc	P8	1	1	0	白药剂	42	0	0	0	可以治疗除了死亡和石化状态外的任何不利状况。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
172	bottle27	顶级能量药剂	50	Bottle	Misc	P9	1	1	0	白药剂	42	0	0	0	使七项指标暂时提高二十点。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
173	bottle27	超级防御药剂	50	Bottle	Misc	P10	1	1	0	白药剂	42	0	0	0	使五项抗性暂时提高二十点。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
174	bottle27	天赐神力药剂	50	Bottle	Misc	P11	1	1	0	白药剂	42	0	0	0	可赐予天赐神力魔法，并持续六个小时。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
175	bottle27	攻击加速药剂	50	Bottle	Misc	P12	1	1	0	白药剂	42	0	0	0	可赐予攻击加速魔法，并持续六个小时。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
176	bottle27	护体石肤药剂	50	Bottle	Misc	P13	1	1	0	白药剂	42	0	0	0	可赐予护体石肤魔法，并持续六个小时。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
177	bottle27	圣灵佑佐药剂	50	Bottle	Misc	P14	1	1	0	白药剂	42	0	0	0	可赐予圣灵佑佐魔法，并持续六个小时。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
178	bottle22	神圣能量药剂	100	Bottle	Misc	P15	1	1	0	黑药剂	37	0	0	0	暂时加20级等级，年龄增大一岁。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
179	bottle22	神圣医疗药剂	100	Bottle	Misc	P16	1	1	0	黑药剂	37	0	0	0	如果没有超过最大值，加100点当前生命值（增加之后可超过最大值）。年龄增大一岁。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
180	bottle22	神圣魔法药剂	100	Bottle	Misc	P17	1	1	0	黑药剂	37	0	0	0	如果没有超过最大值，加100点当前魔法值（增加之后可超过最大值）。年龄增大一岁。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
181	bottle22	力量精髓	100	Bottle	Misc	P18	1	1	0	黑药剂	37	0	0	0	只可使用一次。力量永久+15，智力-5。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
182	bottle22	智慧精髓	100	Bottle	Misc	P19	1	1	0	黑药剂	37	0	0	0	只可使用一次。智力永久+15，力量-5。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
183	bottle22	个性精髓	100	Bottle	Misc	P20	1	1	0	黑药剂	37	0	0	0	只可使用一次。个性永久+15，速度-5。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
184	bottle22	耐力精髓	100	Bottle	Misc	P21	1	1	0	黑药剂	37	0	0	0	只可使用一次。耐力永久+15，其它六项指标-1。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
185	bottle22	精确精髓	100	Bottle	Misc	P22	1	1	0	黑药剂	37	0	0	0	只可使用一次。精确永久+15，运气-5。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
186	bottle22	速度精髓	100	Bottle	Misc	P23	1	1	0	黑药剂	37	0	0	0	只可使用一次。速度永久+15，个性-5。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
187	bottle22	运气精髓	100	Bottle	Misc	P24	1	1	0	黑药剂	37	0	0	0	只可使用一次。运气永久+15，精确-5。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
188	bottle22	返老还童药剂	100	Bottle	Misc	P25	1	1	0	黑药剂	37	0	0	0	移除各种魔法衰老效果，使年龄恢复正常，七项指标永久-1。饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
189	bottle30	药剂瓶	5	Bottle	Misc	0	0	1	0	药剂瓶	45	0	0	0	饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
190	bottle30	药剂瓶	5	Bottle	Misc	0	0	1	0	药剂瓶	45	0	0	0	饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
191	bottle30	药剂瓶	5	Bottle	Misc	0	0	1	0	药剂瓶	45	0	0	0	饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
192	bottle30	药剂瓶	5	Bottle	Misc	0	0	1	0	药剂瓶	45	0	0	0	饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
193	bottle30	药剂瓶	5	Bottle	Misc	0	0	1	0	药剂瓶	45	0	0	0	饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
194	bottle30	药剂瓶	5	Bottle	Misc	0	0	1	0	药剂瓶	45	0	0	0	饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
195	bottle30	药剂瓶	5	Bottle	Misc	0	0	1	0	药剂瓶	45	0	0	0	饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
196	bottle30	药剂瓶	5	Bottle	Misc	0	0	1	0	药剂瓶	45	0	0	0	饮用时，拣起药剂置于某个角色的头像上并击鼠标右键。混合时拣起药剂置于另一药剂处并击鼠标右键。
197	coinsm	金币	0	Gold	Misc	0	0	1	0	金币	129	0	0	0	一小堆金币。
198	coinmid	金币	0	Gold	Misc	0	0	1	0	金币	130	0	0	0	一堆金币。
199	coinlg	金币	0	Gold	Misc	0	0	1	0	金币	131	0	0	0	一大堆金币。
200	scroll1	光明之火	10	Sscroll	Misc	S1	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
201	scroll1	炽火神箭	20	Sscroll	Misc	S2	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
202	scroll2	御火奇术	30	Sscroll	Misc	S3	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
203	scroll2	霹雳火焰	40	Sscroll	Misc	S4	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
204	scroll3	攻击加速	50	Sscroll	Misc	S5	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
205	scroll3	连珠火球	75	Sscroll	Misc	S6	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
206	scroll3	赤焰火圈	100	Sscroll	Misc	S7	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
207	scroll4	狂火暴焰	150	Sscroll	Misc	S8	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
208	scroll4	流星火雨	200	Sscroll	Misc	S9	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
209	scroll4	地狱烈焰	300	Sscroll	Misc	S10	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
210	scroll4	烈火威弹	500	Sscroll	Misc	S11	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
211	scroll1	魔力神眼	10	Sscroll	Misc	S12	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
212	scroll1	电石火花	20	Sscroll	Misc	S13	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
213	scroll2	御电奇术	30	Sscroll	Misc	S14	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
214	scroll2	遍地开花	40	Sscroll	Misc	S15	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
215	scroll3	凌空飞降	50	Sscroll	Misc	S16	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
216	scroll3	护体神盾	75	Sscroll	Misc	S17	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
217	scroll3	霹雳闪电	100	Sscroll	Misc	S18	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
218	scroll4	神奇跳跃	150	Sscroll	Misc	S19	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
219	scroll4	雷鸣爆弹	200	Sscroll	Misc	S20	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
220	scroll4	飞行奇术	300	Sscroll	Misc	S21	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
221	scroll4	群星飞落	500	Sscroll	Misc	S22	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
222	scroll1	催醒奇术	10	Sscroll	Misc	S23	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
223	scroll1	极寒冰弹	20	Sscroll	Misc	S24	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
224	scroll2	御寒奇术	30	Sscroll	Misc	S25	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
225	scroll2	毒液喷发	40	Sscroll	Misc	S26	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
226	scroll3	凌波微步	50	Sscroll	Misc	S27	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
227	scroll3	霹雳寒冰	75	Sscroll	Misc	S28	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
228	scroll3	天赋魔力	100	Sscroll	Misc	S29	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
229	scroll4	酸弹飞射	150	Sscroll	Misc	S30	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
230	scroll4	时空之门	200	Sscroll	Misc	S31	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
231	scroll4	寒冰爆裂	300	Sscroll	Misc	S32	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
232	scroll4	时空道标	500	Sscroll	Misc	S33	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
233	scroll1	晕眩重击	10	Sscroll	Misc	S34	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
234	scroll1	魔法神箭	20	Sscroll	Misc	S35	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
235	scroll2	御魔奇术	30	Sscroll	Misc	S36	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
236	scroll2	致命毒蜂	40	Sscroll	Misc	S37	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
237	scroll3	护体石肤	50	Sscroll	Misc	S38	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
238	scroll3	旋转飞镖	75	Sscroll	Misc	S39	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
239	scroll3	解除石化	100	Sscroll	Misc	S40	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
240	scroll4	巨石轰击	150	Sscroll	Misc	S41	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
241	scroll4	石化大法	200	Sscroll	Misc	S42	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
242	scroll4	死亡之花	300	Sscroll	Misc	S43	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
243	scroll4	力压千钧	500	Sscroll	Misc	S44	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
244	scroll1	幽灵神箭	10	Sscroll	Misc	S45	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
245	scroll1	圣灵佑佐	20	Sscroll	Misc	S46	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
246	scroll2	回春妙手	30	Sscroll	Misc	S47	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
247	scroll2	幸运之日	40	Sscroll	Misc	S48	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
248	scroll3	驱魔除咒	50	Sscroll	Misc	S49	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
249	scroll3	守护天使	75	Sscroll	Misc	S50	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
250	scroll3	天赐神力	100	Sscroll	Misc	S51	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
251	scroll4	驱散亡灵	150	Sscroll	Misc	S52	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
252	scroll4	死而复生	200	Sscroll	Misc	S53	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
253	scroll4	共享生命	300	Sscroll	Misc	S54	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
254	scroll4	转世重生	500	Sscroll	Misc	S55	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
255	scroll1	点化智慧	10	Sscroll	Misc	S56	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
256	scroll1	驱逐恐惧	20	Sscroll	Misc	S57	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
257	scroll2	惊心动魄	30	Sscroll	Misc	S58	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
258	scroll2	百发百中	40	Sscroll	Misc	S59	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
259	scroll3	治愈麻痹	50	Sscroll	Misc	S60	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
260	scroll3	消除敌意	75	Sscroll	Misc	S61	1	2	3	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
261	scroll3	凶神恶煞	100	Sscroll	Misc	S62	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
262	scroll4	封魔禁咒	150	Sscroll	Misc	S63	1	2	4	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
263	scroll4	治愈痴狂	200	Sscroll	Misc	S64	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
264	scroll4	魂飞魄散	300	Sscroll	Misc	S65	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
265	scroll4	隔空取物	500	Sscroll	Misc	S66	1	2	5	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
266	scroll1	治愈虚弱	10	Sscroll	Misc	S67	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
267	scroll1	急救奇术	20	Sscroll	Misc	S68	1	2	1	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
268	scroll2	防毒奇术	30	Sscroll	Misc	S69	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
269	scroll2	魔法伤害	40	Sscroll	Misc	S70	1	2	2	咒语卷轴	35	0	0	0	一卷魔法卷轴。施展魔法时，拣起该卷轴置于行囊屏幕中的角色全身像上并击鼠标左键。
