NPC Data (Special)	Unter		BTB check			Current	Profession	Join	News	Event	Event	Event	
312	迈克尔·特克	5	0	0	0	213	5	1	1	0	0	0	Guide
313	安东尼·哈格莱恩	7	0	0	0	215	6	1	1	0	0	0	Tracker
314	米尔斯·洛曼	8	0	0	0	217	7	1	1	0	0	0	Pathfinder
315	泽克·麦哲伦	10	0	0	0	219	8	1	1	0	0	0	Sailor
316	提戈·赫尔姆斯	11	0	0	0	221	9	1	1	0	0	0	Navigator
317	沃尔夫·阿姆斯特朗	12	0	0	0	222	10	1	1	0	0	0	Healer
318	洛克威尔·亨德林	13	0	0	0	237	11	1	1	0	0	0	Expert Healer
319	卡尔·莫拉米尔	14	0	0	0	242	12	1	1	0	0	0	Master Healer
320	范斯·科尼利厄斯	15	0	0	0	246	13	1	1	0	0	0	Teacher
321	诺里斯·霍顿	16	0	0	0	263	24	1	1	0	0	0	barrister
322	斯蒂莱·布洛克	17	0	0	0	259	15	1	1	0	0	0	Arms Master
323	阿卜杜	223	0	0	0	266	0	0	0	124	125	0	Abdul (B3)
324	纳加特·拉马笛	216	0	0	0	267	0	0	0	126	129	132	Armor Pyramid (B3)
325	汉斯·舒尔茨	20	0	0	0	308	18	1	1	0	0	0	Mystic
326	唐纳德·多夫斯	21	0	0	0	314	19	1	1	0	0	0	Spell Master
327	理查德·哈普	22	0	0	0	316	20	1	1	0	0	0	Trader
328	斯蒂芬·伊阿古	23	0	0	0	317	21	1	1	0	0	0	Merchant
329	劳伦斯·艾尔曼	24	0	0	0	327	0	0	1	113	0	0	Temple Gong buyer (C2)
330	德里·罗斯	25	0	0	0	352	19	0	0	122	0	0	Lich Book Quest (C3)
331	亚历克斯·莫罗	26	0	0	0	353	25	1	1	0	0	0	Barrister
332	卡斯特·利思戈	27	0	0	0	375	24	1	1	0	0	0	Tinker
333	伊格·伊万诺维奇	28	0	0	0	382	28	1	1	0	0	0	Locksmith
334	雅克·罗斯科蒙	29	0	0	0	383	27	1	1	0	0	0	Fool
335	希拉·温德	30	0	0	0	403	26	1	1	0	0	0	Chimney Sweep
336	布朗温·布鲁	31	0	0	0	404	29	1	1	0	0	0	Porter
337	丹尼尔·弗洛斯米尼	32	0	0	0	410	30	1	1	0	0	0	Quarter Master
338	本杰明·索斯兰德	33	0	0	0	494	31	1	1	0	0	0	Factor
339	哈罗德·安文	34	0	0	0	495	32	1	1	0	0	0	Banker
340	李奥·格兰特	35	0	0	0	496	33	1	1	0	0	0	Cook
341	朗·汉默	36	0	0	0	497	34	1	1	0	0	0	Chef
342	戴维·派克	37	0	0	0	498	35	1	1	0	0	0	Horseman
343	巴里·谢菲德	38	0	0	0	499	36	1	1	0	0	0	Bard
344	罗宾·朗	39	0	0	0	500	37	1	1	0	0	0	Enchanter
345	多姆·马里科托	40	0	0	0	501	38	1	1	0	0	0	Cartographer
346	约瑟夫·罗格尔	41	0	0	0	502	39	1	1	0	0	0	Wind Master
347	朱尔特·班蒂托	42	0	0	0	503	40	1	1	0	0	0	Water Master
348	皮特·哈科宁	43	0	0	0	504	41	1	1	0	0	0	Gate Master
349	索尔·福格	44	0	0	0	505	42	1	1	0	0	0	Acolyte
350	亚瑟·杰尔尼格	45	0	0	0	506	43	1	1	0	0	0	Piper
351	阿贝·马可诺维奇	46	0	0	0	507	44	1	1	0	0	0	Explorer
352	谢尔·斯泰因维	47	0	0	0	508	45	1	1	0	0	0	Pirate
353	莱斯·帕克	48	0	0	0	509	46	1	1	0	0	0	Squire
354	雷·博斯韦尔	49	0	0	0	510	47	1	1	0	0	0	Psychic
355	斯莱·席尔瓦斯通	50	0	0	0	511	48	1	1	0	0	0	Gypsy
356	马克·提根	51	0	0	0	512	49	1	1	0	0	0	Negotiator
357	哈珀·耐克	52	0	0	0	513	50	1	1	0	0	0	Duper
358	特雷弗·琼斯	53	0	0	0	514	51	1	1	0	0	0	Burglar
359	杰罗尔德·戴恩	54	0	0	0	515	52	1	1	0	0	0	农民
360	皮斯·斯特林格	55	0	0	0	516	53	1	1	0	0	0	Serf
361	特伦特·詹姆森	56	0	0	0	517	54	1	1	0	0	0	Tailor
362	伊夫·米克斯	57	0	0	0	518	55	1	1	0	0	0	Laborer
363	狄恩·弗林普	58	0	0	0	519	56	1	1	0	0	0	Farmer
364	丽莎·珍维	59	0	0	0	520	57	1	1	0	0	0	Cooper
365	托尔·布洛克	60	0	0	0	521	58	1	1	0	0	0	Potter
366	谢丽尔·阿曼森	61	0	0	0	522	59	1	1	0	0	0	Weaver
367	莱尔·罗马	62	0	0	0	523	75	1	1	0	0	0	noble
368	蕾妮·布莱克本	63	0	0	0	524	0	0	1	117	0	0	Golden Pyramid Buyer (C2)
369	朗·米勒	64	0	0	0	525	0	0	1	114	0	0	Bone Buyer (C2)
370	戴维斯·卡普	65	0	0	0	526	0	0	1	115	0	0	Lodestone Buyer (C2)
371	尼克·费恩斯特	66	0	0	0	527	0	0	1	118	0	0	Keg of Wine Buyer (C2)
372	塞·罗斯	67	0	0	0	528	0	0	1	119	0	0	Tooth Buyer (C2)
373	摩特·阿诺斯蒂	68	0	0	0	529	66	1	1	0	0	0	Trapper
374	杰夫·索斯	70	0	0	0	530	0	0	1	120	0	0	Four Leaf Clover Buyer (C2)
375	迪伦·罗宾逊	71	0	0	0	531	0	0	1	121	0	0	Amber Buyer (C2)
376	伊恩·特罗姆	73	0	0	0	264	20	1	1	0	0	0	locksmith
377	达斯·卡特莱特	74	0	0	0	264	16	1	1	0	0	0	weapons master
378	贾森·达斯特	75	0	0	0	265	37	1	1	0	0	0	enchanter
379	保罗·哈布斯伯格	76	0	0	0	265	12	1	1	0	0	0	master healer
380	科曼·默里安	226	0	0	0	555	0	0	0	127	130	133	Weapon Trader (B3)
381	埃贝尔·巴卡塔里亚	378	0	0	0	556	0	0	0	128	131	134	Misc Trader (B3)
382	特雷西·里瑟	83	0	0	0	541	75	1	1	0	0	0	Noble
383	泰·科涅克	89	0	0	0	542	76	1	1	0	0	0	Gambler
384	乔伊·布朗	99	0	0	0	543	1	1	1	0	0	0	Smith
385	拉里·多夫曼	101	0	0	0	544	2	1	1	0	0	0	Armorer
386	内罗·克劳狄乌斯	102	0	0	0	545	3	1	1	0	0	0	Alchemist
387	德鲁西斯·蒂贝里奥	103	0	0	0	546	4	1	1	0	0	0	Scholar
388	伊里斯·安波	106	0	0	0	547	5	1	1	0	0	0	Guide
389	康迪斯·斯特里普	112	0	0	0	548	6	1	1	0	0	0	Tracker
390	鲁斯·霍克沃勒	128	0	0	0	549	7	1	1	0	0	0	Pathfinder
391	杰克·格林	145	0	0	0	550	8	1	1	0	0	0	Sailor
392	马戏团主人火焰先生	602	0	0	0	166	0	0	0	104	105	0	Circus Master
393	威廉·塔奎恩爵士	635	0	0	0	532	0	0	0	106	107	0	Might Game
394	皮普·达克斯通	617	0	0	0	533	0	0	0	106	108	0	Endurance Game
395	沙拉兹·扎拉斯	624	0	0	0	534	0	0	0	106	109	0	Speed Game
396	阿苏勒·温德宋	612	0	0	0	535	0	0	0	106	110	0	Accuracy Game
397	格尼米什·高罗斯	653	0	0	0	536	0	0	0	106	111	0	Luck Game
398	特勒伦·普伦蒂斯	615	0	0	0	537	0	0	0	106	112	0	Intellect Game
	
