Regional News			
#	Map	Topic	News Text
217	31	Cronos	"Wielders of Cronos gain an incredible boost to their vitality.  They'll need anything they can get, because troubles and misfortune constantly follow this axe."
218	30	Lair of the Wolf	A cave near Blackshire opened about the same time that people in the town started disappearing.
219	30	Blackshire	The people of Blackshire have fallen under a terrible curse– they turn into werewolves at night!
220	30	Star Island	"An old temple sits in the center of Star Island.  Strangely enough, the number of statues on the island has slowly increased over time."
221	30	Werewolf	"Werewolves are simply people that turn into a half-man, half-beast creature at night.  They are especially powerful under a full moon."
222	30	Air Elemental	"Air elementals flitter about in the valley between the Frozen Highlands and Dragonsand.  Though the weakest elementals, they're fast and have a nasty electrical attack."
223	30	Hercules	"The sword of a mighty warrior, Hercules confers a huge boost to might and endurance, but at the cost of the wielder's intellect."
224	30	High Priests	No one has been promoted to high priest in ages.  I wonder what Anthony Stone requires from Priests for that promotion?
225	30	Medusas	"The island at the center of Star Lake is home to some monsters straight from the heart of hell!  I heard about someone who rowed out there one night with some friends and these huge snake creatures came boiling up out of the ground.  They had to but look you in the eye to turn you right to stone!  Anyway, this guy was the only one to make it back alive, he says, and he did it by running and not looking back! "
226	30	Lair of the Wolf	"A terrible curse has befallen the people in this area, and everyone thinks they know the source– it's that new cave that opened itself up in the side of the mountain south of town.  Someone needs to go in there and end the curse, but bravery's at a premium in Blackshire, these days."
227	30	Dragons	"Dragonsand is the home and breeding ground of the dragons of Enroth.  Never will you find a more fierce or terrible monster than a dragon, and never will you find one that is gentle or kind.  "
228	30	Circus of the Sun	The Circus of the Sun likes to set up alongside the road between Blackshire and Star Lake.  They're around here every year during April.  It's a good show– well worth the money to go see it!
229	30	Western Trade Road	"The road leading west from Blackshire has gone from the safest road in the Kingdom to the most dangerous.  West of here lies Pleasant Valley, and the name has long since become a joke.  Now that valley is a barren and ruined land, crawling with those hideous new monsters– the devils."
230	30	Devils	"Just go west down the road from Blackshire a few days and you're sure to see some devils.  You better be able to run pretty fast, though!"
231	30	Rangers	"Lord Kilburn disappeared while patrolling the road leading from Blackshire to Pleasant Valley.  At least, that's what people are saying.  If you're looking for him, you might want to start looking around there."
232	30	Roland	"We all saw the king fleeing from the devils toward Castle Kriegspire a while back.  Haven't heard from him since.  Sad.  I think the devils will take us all, before long."
233	30	Ambrose Brusse	Ambrose teaches expert dark magic in the town of Blackshire.
234	29	Kriegspire	"Castle Kriegspire, at one time, was the center of magical experimentation in creating creatures.  Now, it's abandoned and the creatures run rampant inside.  The volcano it rests in was created to keep all the monsters in."
235	29	Agar	"Agar, one of Archibald's sorcerers, was the most skilled of the experimenters in Kriegspire.  His monsters are the ones crawling around the castle now.  He left with the rest of the mages, but no one knows where he went to."
236	29	Flame Drake	"Though weaker than dragons, drakes are nothing to sneer at.  These flying reptiles have powerful elemental attacks."
237	29	Minotaur	Some of the minotaurs escaped from Kriegspire and now roam in and around the volcano surrounding the old castle.
238	29	Earth Elemental	"Earth elementals prowl around the area of Kriegspire.  Free from the mages that summoned them, theses elementals look to destroy whatever they come across."
239	29	Apollo	"No armor in the world can match Apollo for protection against elemental spells.  Unfortunately, the armor gains its power from sapping the endurance of its wearer."
240	29	Superior Temple	"The Superior Temple of Baa was constructed about a year ago against the mountains east of Castle Kriegspire.  Unlike most of their temples, it's closed to the public.  You'll have to join them if you ever want to be let in."
241	29	Battle of Edenbrook	The village of Edenbrook wouldn't be around these days if it weren't for King Roland and his men.  They saved it from a horde of devils a little while back.
242	29	Battle at Kriegspire	"When the king fled to Castle Kriegspire he was followed by an enormous army of devils.  A couple of days later a few dozen devils were seen leaving the old volcano the castle occupies, but the King himself hasn't been seen since."
243	29	Death Knights	"Rarely do humans and dragons get along, but the death knights have formed some sort of pact with a group of dragons in a keep on the north side of the mountains near Kriegspire."
244	29	Nicholas Roth	Nicholas can show you expert techniques with the magic of light in the village of Kriegspire.
245	28	Titan	"Titans are second in power only to the mighty dragons.  Not only do titans possess an incredible electric attack, they are skilled in mind magic and favor the Psychic Shock spell."
246	28	Fire Elemental	"Fire elementals seem to like Hermit's Isle, though who would summon them there is a mystery."
247	28	Odin	"Although this crown reduces the reaction time of its wearer, it also makes the wearer incredibly resistant to elemental magic."
248	28	Hermit's Isle	"Hermit's Island has recently become home to the Supreme Temple of Baa.  They have found an ancient installation to put their temple in, and are no doubt performing dark experiments as we speak."
249	28	Dragonsand	"Dragonsand, the great desert of Enroth, is home to all the worst monsters in the world.  Dragons, titans, and other oversized killer monsters roam the sands freely on whatever errands such creatures find important.  Humans foolish enough to travel the desert learn to run and hide very quickly, or they don't last long."
250	27	Pleasant valley	"Once the greenest and most fertile of lands in Enroth, Pleasant Valley has fallen under a curse that has caused the plants to wither, the animals to sicken, and the people to leave.  It is a barren land now, and no one wants to live there."
251	27	The Blight	"Shortly after the Night of Shooting Stars, the blight began to eat away at Pleasant Valley.  In a few short years, nearly all the plants and animals had sickened and died, and the villagers and farmers living in the valley had to move east to find food.  The blight has shown no signs of abating– rather, it has accelerated, and will one day cover the entire continent unless something is done to stop it."
252	27	Devils	"Most of the devils you see in Pleasant Valley are in fact worker or soldier devils.  They are organized like ants, only they have intelligent leaders.  The leaders can fly, and their best leaders can use human speech and writing."
253	27	Sweet Water Pass	"Though powerful, the devils are far from invincible.  King Roland fought and won a battle at Sweet Water Pass by outmaneuvering them and outthinking them.  They're tough, but they die like anything else does when you put a sword through it!"
254	27	Hermes	"These legendary boots make the wearer a blur, able to react instantly to any situation."
255	26	Hive	The devils seem to swarm around a strange building near the remains of Sweet Water.
256	26	Sweet Water	"Although the ruins of the buildings are still there, the town is completely destroyed.  No one lives there anymore."
257	26	Blackwoode	The forest of Blackwoode has been wiped out completely since the night of Shooting Stars.
258	26	Devils	The devils seem to prefer fire attacks and enjoy attacking in large groups.  Some of the most powerful can cast spells from the fire school.
259	26	Hera	"This odd amulet will grant its wearer extra vitality, spell points, and luck."
260	1	Sweet Water	"Sweet Water used to be the most beautiful town in the kingdom, but no news has come from it since the Night of Shooting Stars.  I think the shooting star landed right on top of the town, leaving no survivors to tell the tale."
261	1	Night of Shooting Stars	"The Oracle had warned of the coming of devils from the sky in writings long ago.  I don't think anyone remembers, and of those who do, no one thinks the Night of Shooting Stars and the devils are connected.  "
262	1	Lair of the Devils	"I met a man who went to discover the fate of the town of Sweet Water, and he says that the place was burnt to the ground by the devils.  The devils have built a strange tower near the old town, and eerie noises come from it every twenty minutes.  He would have explored further, but there were so many devils near the tower he didn't dare."
263	1	Agents of Baa	"Have you noticed how Temples of Baa have been sprouting up throughout the kingdom?  They're everywhere, and I for one think it's an ominous development.  Although they offer free healing, they don't seem to be doing it out of kindness– there must be a method to their madness!"
264	1	Queen Catherine	The queen left quite a while ago for her home country of Erathia.  People are getting worried– what if something happened to her during her trip?
265	1	Sea Travel	"Most of the shipping in Enroth follows a set schedule.  If you're in the right place at the right time, the shipping companies can take you great distances quickly and cheaply."
266	1	Tomb of VARN	"The legends say that the great ship used in the Crossing lies buried under a giant stone tomb in the middle of Dragonsand.  There must have been a lake or ocean long ago where the desert is now, for the ship to end up in the middle of the desert!"
267	1	Obelisks	"If you touch one of the obelisks scattered around the kingdom, you'll get a part of a riddle no one's yet unraveled.  People say that a great treasure lies buried somewhere in Enroth, and the one who finds the answer to the riddle will find the treasure."
268	1	Dragon Towers	"Beware the Dragon Towers you'll find near every major settlement.  They will shoot a fireball at anyone flying.  I guess they're meant to protect the towns from dragons and other flying monsters, but they can't tell the difference between a man and a monster."
269	1	Devils and Baa	"Some people are saying the Temple of Baa and the devils are in league!  It makes sense– the temple first appeared a few months after the Night of Shooting Stars, and we all know the devils and that night are related!"
270	1	Traitor on the Council	"There's a rumor going 'round that Slicker Silvertongue, Wilbur Humphrey's representative on the High Council, is a traitor.  People are saying he's been seen in several Temples of Baa, and everyone knows the temple is against the king!"
271	1	Weather	"Weather sure has turned sour since the Night of Shooting Stars.  Every summer seems colder than the last.  Why, I'd venture to say last summer was the coldest winter I've ever experienced!  'Course, that's an exaggeration, but you know what I mean.  Something's wrong!"
272	1	Disasters	Doesn't it seem there's been more floods and earthquakes since the king disappeared?  It's as though the gods are angry with the king and his dynasty.  Perhaps they have lost the Mandate of Heaven.
273	1	Curses	"Though the Temple of Baa may offer free healing, it seems to me that more things go wrong, and more people get hurt, when one of their temples is nearby.  Could it be they are cursing the people near them, and then healing them for some bizarre reason?"
274	1	Archibald	Have you ever seen Archibald's statue in the library behind Castle Ironfist?  It is amazingly lifelike… almost as though he was turned to stone rather than sculpted.
275	1	The Blight	"The western province of Pleasant Valley has undergone a shocking transformation in the last few years.  Once it was a rich, fertile farming region.  Now all the plants have died from a terrible blight, and the water has dried up.  All the animals sickened or died, and all the people had to move away to find food to eat."
276	1	Legend of the Crossing	"Ancient legends say that all the greatest artifacts from before the Silence came with the ship our distant ancestors used to get here from their homeland.  They say the voyage was so long that three generations of people were born, lived, and died while aboard the ship!  How's that for a whopper of a tale?!"
277	1	Erathia	"Erathia is the second major continent to be settled in the world.  It is a lot wilder and more unsafe than Enroth, and all the little kingdoms there are always bickering and fighting."
278	1	Regna	"The islands east of Enroth are all part of the 'Kingdom' of Regna.  They were settled by the most nasty and violent of people hundreds of years ago, and they haven't changed their ways.  They are pirates and mercenaries to a man, and have no regard for the sorrow they cause by siding with petty tyrants and usurpers like Archibald was."
279	1	Dwarves	"If the old tales are true, the dwarves were once just like the rest of us, but before the Crossing, the dwarves lived in a place where they and everything around them weighed a lot more.  The stories say this made them very short and very strong, and they haven't changed since."
