Q Bit	Quest Note Text	Notes	Owner
803	0	0	0
804	0	0	0
805	0	0	0
806	0	0	0
807	0	0	0
808	0	0	0
809	0	0	0
810	0	0	0
811	0	0	0
812	0	0	0
813	0	0	0
814	0	0	0
815	0	0	0
816	0	0	0
817	0	0	0
818	0	0	0
819	0	0	0
820	0	0	0
821	0	0	0
822	0	0	0
823	0	0	0
824	0	0	0
825	0	0	0
826	0	0	0
827	0	0	0
828	0	0	0
829	0	0	0
830	0	0	0
831	0	0	0
832	0	0	0
833	0	0	0
834	0	0	0
835	0	0	0
836	0	0	0
837	0	0	0
838	0	0	0
839	0	0	0
840	0	0	0
841	0	0	0
842	0	0	0
843	0	0	0
844	0	0	0
845	0	0	0
846	0	0	0
847	0	0	0
848	0	0	0
849	0	0	0
850	0	0	0
851	0	0	0
852	0	0	0
853	0	0	0
854	0	0	0
855	0	0	0
856	0	0	0
857	0	0	0
858	0	0	0
859	0	0	0
860	0	0	0
861	0	0	0
862	0	0	0
863	0	0	0
864	0	0	0
865	0	0	0
866	0	0	0
867	0	0	0
868	0	0	0
869	0	0	0
870	0	0	0
871	0	0	0
872	0	0	0
873	0	0	0
874	0	0	0
875	0	0	0
876	0	0	0
877	0	0	0
878	0	0	0
879	0	0	0
880	0	0	0
881	0	0	0
882	0	0	0
883	0	0	0
884	0	0	0
885	0	0	0
886	0	0	0
887	0	0	0
888	0	0	0
889	0	0	0
890	0	0	0
891	0	0	0
892	0	0	0
893	0	0	0
894	0	0	0
895	0	0	0
896	0	0	0
897	0	0	0
898	0	0	0
899	0	0	0
900	0	0	0
901	0	0	0
902	0	0	0
903	0	0	0
904	0	0	0
905	0	0	0
906	0	0	0
907	0	0	0
908	0	0	0
909	0	0	0
910	0	0	0
911	0	0	0
912	0	0	0
913	0	0	0
914	0	0	0
915	0	0	0
916	0	0	0
917	0	0	0
918	0	0	0
919	0	0	0
920	0	0	0
921	0	0	0
922	0	0	0
923	0	0	0
924	0	0	0
925	0	0	0
926	0	0	0
927	0	0	0
928	0	0	0
929	0	0	0
930	0	0	0
931	0	0	0
932	0	0	0
933	0	0	0
934	0	0	0
935	0	0	0
936	0	0	0
937	0	0	0
938	0	0	0
939	0	0	0
940	0	0	0
941	0	0	0
942	0	0	0
943	0	0	0
944	0	0	0
945	0	0	0
946	0	0	0
947	0	0	0
948	0	0	0
949	0	0	0
950	0	0	0
951	0	0	0
952	0	0	0
953	0	0	0
954	0	0	0
955	0	0	0
956	0	0	0
957	0	0	0
958	0	0	0
959	0	0	0
960	0	0	0
961	0	0	0
962	0	0	0
963	0	0	0
964	0	0	0
965	0	0	0
966	0	0	0
967	0	0	0
968	0	0	0
969	0	0	0
970	0	0	0
971	0	0	0
972	0	0	0
973	0	0	0
974	0	0	0
975	0	0	0
976	0	0	0
977	0	0	0
978	0	0	0
979	0	0	0
980	0	0	0
981	0	0	0
982	0	0	0
983	0	0	0
984	0	0	0
985	0	0	0
986	0	0	0
987	0	0	0
988	0	0	0
989	0	0	0
990	0	0	0
991	0	0	0
992	0	0	0
993	0	0	0
994	0	0	0
995	0	0	0
996	0	0	0
997	0	0	0
998	0	0	0
999	0	0	0
1000	0	0	0
1001	0	0	0
1002	0	0	0
1003	0	0	0
1004	0	0	0
1005	0	0	0
1006	0	0	0
1007	0	0	0
1008	0	0	0
1009	0	0	0
1010	0	0	0
1011	0	0	0
1012	0	0	0
1013	0	0	0
1014	0	0	0
1015	0	0	0
1016	0	0	0
1017	0	0	0
1018	0	0	0
1019	0	0	0
1020	0	0	0
1021	0	0	0
1022	0	0	0
1023	0	0	0
1024	0	0	0
1025		" 1 D09, key to open D05"	" D09, key to open D05"
1026		" 2 D11, given for glass shard for staff of terrax quest"	" D11, given for glass shard for staff of terrax quest"
1027		" 3 D06, given when harp is recovered"	" D06, given when harp is recovered"
1028		" 4 D10, given when you retreive artifact from chest"	" D10, given when you retreive artifact from chest"
1029		" 5 D18, questbit for getting hourglass"	" D18, questbit for getting hourglass"
1030		" 6 T3, given when you rescue prisoner"	" T3, given when you rescue prisoner"
1031		" 7 T5, when you are promoted to archdruid"	" T5, when you are promoted to archdruid"
1032		" 8 T7, given when you find the smoking gun"	" T7, given when you find the smoking gun"
1033		" 9, CD2, given when you destroy Lich book"	" CD2, given when you destroy Lich book"
1034		Tim	"Sewer, Capture Prince of Thieves."
1035		"11 D7, opens tomb in D18."	"D7, opens tomb in D18."
1036		"12 D3, given when you save Mom."	"D3, given when you save Mom."
1037		"13 D13, given when you save the damsel, Melody Silver, in D7."	"D13, given when you save the damsel, Melody Silver, in D7."
1038		"14 D6, given when Message 504 given out."	"D6, given when Message 504 given out."
1039		"15 D7, given when chest with evidence for Constable opened."	"D7, given when chest with evidence for Constable opened."
1040		"16 D17, given when party is turned into Werewolves."	"D17, given when party is turned into Werewolves."
1041		"17 D17, given when wolf altar is destroyed."	"D17, given when wolf altar is destroyed."
1042		"18 D17, given when party buries torture victims."	"D17, given when party buries torture victims."
1043		"19 D17, given when party buries more torture victims."	"D17, given when party buries more torture victims."
1044		"20 D17, given when party digs up tiger statue quest item."	"D17, given when party digs up tiger statue quest item."
1045		"21 T2, Given when evil crystal is destroyed"	"T2, Given when evil crystal is destroyed"
1046		"22 D05, Given to find Snergles axe"	"D05, Given to find Snergles axe"
1047		"23 D13, Given when Altar is desecrated"	"D13, Given when Altar is desecrated"
1048		"24 D14, Given to find Ethrics Skull"	"D14, Given to find Ethrics Skull"
1049		"25 D15, Given to find merchants White pearl"	"D15, Given to find merchants White pearl"
1050		"26 D19, Given to find White witches crown"	"D19, Given to find White witches crown"
1051		"27 D05, Given when axe is returned (so door can't be opened)"	"D05, Given when axe is returned (so door can't be opened)"
1052		Dave	
1053		Dave	
1054		Dave	
1055		"31 D02, given when spider quest is completed"	"D02, given when spider quest is completed"
1056		"32 D02, given when kid is rescued"	"D02, given when kid is rescued"
1057		"33 D02, given when egg quest is assigned"	"D02, given when egg quest is assigned"
1058		"34 D02, given when temple of Baa relic is found"	"D02, given when temple of Baa relic is found"
1059		35 D17 Brought back Black Pearl and Ghost will no longer show up.	Brought back Black Pearl and Ghost will no longer show up.
1060		"36 D02, given when bat quano is harvested"	"D02, given when bat quano is harvested"
1061		"37 D02, is given when you get all the dead guys"	"D02, is given when you get all the dead guys"
1062		"38 T07, given when you find the smoking gun"	"T07, given when you find the smoking gun"
1063		"39 CD2, given when you find the oracle gem"	"CD2, given when you find the oracle gem"
1064		"40 CD2, given when you get the knowledge to become a lich"	"CD2, given when you get the knowledge to become a lich"
1065		Bruce	
1066		Bruce	
1067		Bruce	
1068		Bruce	
1069		Bruce	
1070		Bruce	
1071		Bruce	
1072		Bruce	
1073		Bruce	
1074		Bruce	
1075		"51 T4, Given when characters find Silver Chalice."	"T4, Given when characters find Silver Chalice."
1076		"52 D16, Given when characters find the Eagle Statuette"	"D16, Given when characters find the Eagle Statuette"
1077		"53 T6, Given when characters take the Oracle Crystal from the altar."	"T6, Given when characters take the Oracle Crystal from the altar."
1078		Chris	
1079		Chris	
1080		Chris	
1081		Chris	
1082		Chris	
1083		Chris	
1084		Chris	
1085		Peter	
1086		Peter	
1087		Peter	
1088		Peter	
1089		Peter	
1090		Peter	
1091		Peter	
1092		Peter	
1093		Peter	
1094		Peter	
1095		Walt	Given when doors unwarded in D4.
1096		Walt	"D20, given when 1st artifact chest opened"
1097		Walt	"D20, given when 2nd artifact chest opened"
1098		Walt	"D17, given when message scroll 517 given out"
1099		Lisa	
1100		Lisa	
1101		Lisa	
1102		Lisa	
1103		Lisa	
1104		Lisa	
1105	_(TRANS)_	Set when the party starts	Show Sulman's letter to Andover Potbello in New Sorpigal
1106	_(TRANS)_	Set by Andover after you show him the letter	Bring Sulman's letter to Regent Wilbur Humphrey at Castle Ironfist
1107	_(TRANS)_	Set by Town Hall	Find the Combination to the vault door in Goblinwatch
1108	_(TRANS)_	Paul	Destroy the Altar of Evil in the Temple of Baa and return with the Chime of Harmony
1109		Paul	Discovered Combination in Goblin Watch
1110	_(TRANS)_	Paul	Find Lord Kilburn's Shield
1111		Paul	Talked to Traitor
1112	_(TRANS)_	Paul	Rescue a Damsel in Distress
1113	_(TRANS)_	Paul	Slay Longfang Witherhide
1114	_(TRANS)_	Paul	Entertain Nicolai
1115		91 D12 John Silver only talks to you once.	D12 John Silver only talks to you once.
1116		"92 D17, Given when Paladin Ghost tells party where Tiger Statue is."	"D17, Given when Paladin Ghost tells party where Tiger Statue is."
1117		"93 D17, Used when QB 18 corpses buried."	"D17, Used when QB 18 corpses buried."
1118		"94 D17, Used when QB 19 corpses buried."	"D17, Used when QB 19 corpses buried."
1119	_(TRANS)_	Walt	Find and return the Prince
1120	_(TRANS)_	Walt	Find the Third Eye
1121		Walt	Dark Containment quest taken by Archibald in Library
1122	_(TRANS)_	NPC	Capture the Prince of Thieves
1123		Oracle	
1124		Oracle	"Oracle, when memory crystal alpha inserted"
1125		Oracle	"Oracle, when memory crystal beta inserted"
1126		Oracle	"Oracle, when memory crystal delta inserted"
1127		Oracle	"Oracle, when memory crystal epsilon inserted"
1128		CD3	Given when you get memory crystal epsilon
1129	_(TRANS)_	NPC	Rebuild Temple Stone
1130		NPC	Rebuilt Temple Stone Complete
1131	_(TRANS)_	NPC	Find and replace the Sacred Chalice
1132		NPC	Placed Chalice in Temple
1133		NPC	Marton Ferris sets cleric quest
1134	_(TRANS)_	NPC	Retrieve the Hourglass of Time
1135	_(TRANS)_	NPC	Drink from the Fountain of Magic
1136	_(TRANS)_	NPC	Retrieve the Crystal of Terrax
1137	_(TRANS)_	NPC	Destroy the Devil's Outpost
1138	_(TRANS)_	NPC	Get nomination from Chadwick
1139	_(TRANS)_	NPC	Defeat the Warlord
1140	_(TRANS)_	NPC	Fix the prices of all the stables in the Kingdom
1141		NPC	visited all the stables for price fixing quest
1142	_(TRANS)_	NPC	Visit the Altar of the Sun on an equinox or solstice
1143	_(TRANS)_	NPC	Visit the Altar of the Moon at midnight of a full moon
1144	_(TRANS)_	NPC	End winter for Lord Stromgard
1145	_(TRANS)_	NPC	Retrieve the key to the Dragon Towers
1146	_(TRANS)_	NPC	Reset all of the Dragon Towers
1147		NPC	visited all the towers
1148	_(TRANS)_	NPC	Kill Snergle and return with his axe
1149	_(TRANS)_	NPC	silver helms are bad quest
1150	_(TRANS)_	NPC	Retrieve the candelabra for Andover Potbello
1151		NPC	rescued melody
1152	_(TRANS)_	NPC	Retreive Andrew Besper's harp 
1153	_(TRANS)_	NPC	Retrieve Ethric's skull for Gabriel Cartman in Free Haven
1154	_(TRANS)_	NPC	kill the queen of the spiders
1155	_(TRANS)_	NPC	deface the altar quest
1156		NPC	successfully defaced the altar bit
1157		NPC	bat guano quest
1158	_(TRANS)_	NPC	give destroy crystal quest
1159		NPC	destroyed the crystal bit
1160	_(TRANS)_	NPC	find the husband quest
1161	_(TRANS)_	NPC	give retrieve lost artifact quest
1162	_(TRANS)_	NPC	save sharry quest
1163	_(TRANS)_	NPC	save angela quest
1164	_(TRANS)_	NPC	rescue the prisoner quest
1165	_(TRANS)_	NPC	werewolf quest
1166		NPC	set pearl active
1167	_(TRANS)_	NPC	give pearl quest
1168	_(TRANS)_	NPC	give egg quest
1169	_(TRANS)_	NPC	unward the doors quest
1170		NPC	unwarded the doors for fire lord
1171		NPC	visited stable 1
1172		NPC	visited stable 2
1173		NPC	visited stable 3
1174		NPC	visited stable 4
1175		NPC	visited stable 5
1176		NPC	visited stable 6
1177		NPC	visited stable 7
1178		NPC	visited stable 8
1179		NPC	visited stable 9
1180		NPC	dragon tower 1
1181		NPC	dragon tower 2
1182		NPC	dragon tower 3
1183		NPC	dragon tower 4
1184		NPC	dragon tower 5
1185		NPC	dragon tower 6
1186	_(TRANS)_	NPC	Restore Memory Crystal Alpha
1187	_(TRANS)_	NPC	Restore Memory Crystal Beta
1188	_(TRANS)_	NPC	Restore Memory Crystal Delta
1189	_(TRANS)_	NPC	Restore Memory Crystal Epsilon
1190	_(TRANS)_	NPC	Retrieve the Control Cube
1191		NPC	satisfied the council and exposed the traitor (you're allowed in)
1192		NPC	exposed the traitor
1193		NPC	you have the cube and are allowed to enter the sci fi dungeon
1194		NPC	captured the prince of thieves
1195		NPC	rescued melody silver
1196		NPC	talked to the monk in d7
1197		NPC	promoted to great druid
1198		NPC	promoted to arch druid
1199		NPC	ended winter
1200		NPC	teleporter pad from T6 to Free Haven sewer activated.
1201		NPC	Freed Archibald
1202		NPC	Visited C2
1203		NPC	Visited D1
1204		NPC	killed the reactor
1205		Quest item bits for seer	Sixth Letter
1206		Quest item bits for seer	Kilburn's Shield
1207		Quest item bits for seer	Houglass of Time
1208		Quest item bits for seer	Devil Plans
1209		Quest item bits for seer	Dragon Claw
1210		Quest item bits for seer	Crystal of Terrax
1211		Quest item bits for seer	Discharge Papers
1212		Quest item bits for seer	Sacred Chalice
1213		Quest item bits for seer	Dragon Tower Keys
1214		Quest item bits for seer	Smoking Gun
1215		Quest item bits for seer	Memory Crystal Alpha
1216		Quest item bits for seer	Memory Crystal Beta
1217		Quest item bits for seer	Memory Crystal Delta
1218		Quest item bits for seer	Memory Crystal Epsilon
1219		Quest item bits for seer	Control Cube
1220		Quest item bits for seer	Third Eye
1221		Quest item bits for seer	Tanir's Bell
1222		Quest item bits for seer	Dark Containment
1223		Quest item bits for seer	Key to Gharik's Laboratory
1224	_(TRANS)_	Wilbur Humphrey	Expose the Traitor Quest
1225	_(TRANS)_	NPC	
1226		NPC	Killed Demon Queen
1227		NPC	Once Emmanuel is found.
1228	_(TRANS)_	NPC	Lich Quest
1229		NPC	Seer quest - On the quest for this month
1230		NPC	Seer quest - Completed the quest this month
1231		NPC	Seer quest - Finished January at least once
1232		NPC	Seer quest - Finished February at least once
1233		NPC	Seer quest - Finished March at least once
1234		NPC	Seer quest - Finished April at least once
1235		NPC	Seer quest - Finished May at least once
1236		NPC	Seer quest - Finished June at least once
1237		NPC	Seer quest - Finished July at least once
1238		NPC	Seer quest - Finished August at least once
1239		NPC	Seer quest - Finished September at least once
1240		NPC	Seer quest - Finished October at least once
1241		NPC	Seer quest - Finished November at least once
1242		NPC	Seer quest - Finished December at least once
1243	_(TRANS)_	NPC	Statuette Quest
1244		NPC	Give statuette chest
1245		NPC	Give reward chest
1246		NPC	Placed tiger
1247		NPC	Placed bear
1248		NPC	Placed eagle
1249		NPC	Placed wolf
1250		NPC	Placed dragon
1251		NPC	Don't give statuette chest again
1252		NPC	"Hermit ""no snow"""
1253		Quest item bits for seer	First Mate's Scroll
1254		Quest item bits for seer	Doctor's Scroll
1255		Quest item bits for seer	Captain's Scroll
1256		Quest item bits for seer	Navigator's Scroll
1257		Quest item bits for seer	Engineer's Scroll
1258		Quest item bits for seer	Communication Officer's Scroll
1259	_(TRANS)_	NPC	Archibald bit for Oracle Quest
1260		NPC	Sparkle for Wizard Quest
1261		NPC	No more Hive after you win
1262		NPC	
1263		NPC	
1264		NPC	
1265		NPC	
1266		NPC	
1267		NPC	
1268		NPC	
1269		NPC	
1270		NPC	
1271		NPC	
1272		NPC	
1273		NPC	
1274		NPC	
1275		NPC	
1276		NPC	
1277		NPC	
1278		NPC	
1279		NPC	
1280		NPC	
1281		NPC	
1282		NPC	
1283		NPC	
1284		NPC	
1285		NPC	
1286		NPC	
1287		NPC	
1288		NPC	
1289		NPC	
1290		NPC	
1291		NPC	
1292		NPC	
1293		NPC	
1294		NPC	
1295		NPC	
1296		NPC	
1297		NPC	
1298		NPC	
1299		NPC	
1300		NPC	
1301		NPC	
1302		NPC	
1303		NPC	
1304		NPC	
1305		NPC	
1306		NPC	
1307		NPC	
1308		NPC	
1309		NPC	
1310		NPC	
1311		NPC	
1312		NPC	
1313		NPC	
1314		NPC	
1315		NPC	
1316		NPC	
1317		NPC	
1318		NPC	
1319		NPC	
1320		NPC	
1321		NPC	
1322		NPC	
1323		NPC	No more Jewelled Egg Chest
1324		Peter	Used Key to Open Goblin Watch
1325		NPC	Pad activation in Mist.
1326		NPC	Sword in the Stone (New Sorpigal)
1327		NPC	Sword in the Stone (IronFist)
1328		NPC	Kilburn's Shield
1329		NPC	IronFist Well
1330		NPC	+10 Luck permanent.
1331		NPC	
1332		NPC	
1333		NPC	
1334		NPC	Sword in the Stone (OutD1)
1335		NPC	Sword in the Stone (OutD1)
1336		NPC	Sword in the Stone (OutD1)
1337		NPC	Sword in the Stone (OutE1) Druid
1338		NPC	Sewer teleporter to T6 will not work till this is set from T6
1339		NPC	T6 Alter of Fire
1340		NPC	T6 Alter of Cold
1341		NPC	T6 Alter of Pain
1342		NPC	T6 Shrine of Fire
1343		NPC	T6 Shrine of Air
1344		NPC	T6 Shrine of Water
1345		NPC	T6 Shrine of Earth
1346		NPC	
1347		NPC	
1348		NPC	
1349		NPC	
1350		NPC	
1351		NPC	
1352		NPC	
1353		NPC	
1354		NPC	
1355		NPC	
1356		NPC	
1357		NPC	
1358		NPC	
1359		NPC	
1360		NPC	
1361		NPC	
1362		NPC	
1363		NPC	
1364		NPC	
1365		NPC	
1366		NPC	
1367		NPC	
1368		NPC	
1369		NPC	
1370		NPC	
1371		NPC	
1372		NPC	
1373		NPC	
1374		NPC	
1375		NPC	
1376		NPC	
1377		NPC	
1378		NPC	
1379		NPC	
1380		NPC	
1381		NPC	
1382		NPC	
1383		NPC	
1384		NPC	Obelisk OutA1
1385		NPC	Obelisk OutA2
1386		NPC	Obelisk OutA3
1387		NPC	Obelisk OutB1
1388		NPC	Obelisk OutB2
1389		NPC	Obelisk OutB3
1390		NPC	Obelisk OutC1
1391		NPC	Obelisk OutC2
1392		NPC	Obelisk OutC3
1393		NPC	Obelisk OutD1
1394		NPC	Obelisk OutD2
1395		NPC	Obelisk OutD3
1396		NPC	Obelisk OutE1
1397		NPC	Obelisk OutE2
1398		NPC	Obelisk OutE3
1399		NPC	Obelisk Rock
1400		NPC	d18 Door
1401		NPC	Fire Lord gives XP and treasure only once
1402		NPC	
1403		NPC	
1404		NPC	
1405		NPC	
1406		NPC	
1407		NPC	
1408		NPC	
1409		NPC	
1410		NPC	
1411		NPC	
1412		NPC	
1413		NPC	
1414		NPC	
1415		NPC	
1416		NPC	
1417		NPC	
1418		NPC	
1419		NPC	
1420		NPC	
1421		NPC	
1422		NPC	
1423		NPC	
1424		NPC	
1425		NPC	
1426		NPC	
1427		NPC	
1428		NPC	
1429		NPC	
1430		NPC	
1431		NPC	
1432		NPC	
1433		NPC	
1434		NPC	
1435		NPC	
1436		NPC	
1437		NPC	
1438		NPC	
1439		NPC	
1440		NPC	
1441		NPC	
1442		NPC	
1443		NPC	
1444		NPC	
1445		NPC	
1446		NPC	
1447		NPC	
1448		NPC	
1449		NPC	
1450		NPC	
1451		NPC	
1452		NPC	
1453		NPC	
1454		NPC	
1455		NPC	
1456		NPC	
1457		NPC	
1458		NPC	
1459		NPC	
1460		NPC	
1461		NPC	
1462		NPC	
1463		NPC	
1464		NPC	
1465		NPC	
1466		NPC	
1467		NPC	
1468		NPC	
1469		NPC	
1470		NPC	
1471		NPC	
1472		NPC	
1473		NPC	
1474		NPC	
1475		NPC	
1476		NPC	
1477		NPC	
1478		NPC	
1479		NPC	
1480		NPC	
1481		NPC	
1482		NPC	
1483		NPC	
1484		NPC	
1485		NPC	
1486		NPC	
1487		NPC	
1488		NPC	
1489		NPC	
1490		NPC	
1491		NPC	
1492		NPC	
1493		NPC	
1494		NPC	
1495		NPC	
1496		NPC	
1497		NPC	
1498		NPC	
1499		NPC	
1500		NPC	
1501		NPC	
1502		NPC	
1503		NPC	
1504		NPC	
1505		NPC	
1506		NPC	
1507		NPC	
1508		NPC	
1509		NPC	
1510		NPC	
1511		NPC	
1512		NPC	
1513		NPC	
1514		NPC	
1515		NPC	
1516		NPC	
1517		NPC	
1518		NPC	
1519		NPC	
1520		NPC	
1521		NPC	
1522		NPC	
1523		NPC	
1524		marks quest items	scroll of dark containment
1525		marks quest items	
1526		marks quest items	
1527		marks quest items	
1528		marks quest items	
1529		marks quest items	
1530		marks quest items	
1531		marks quest items	
1532		marks quest items	
1533		marks quest items	
1534		marks quest items	
1535		marks quest items	
1536		marks quest items	
1537		Promoted to Elf Patriarch.	
1538		Promoted to War Troll.	
1539		Found Troll Homeland.	
1540		Promoted to Champion.	
1541		Returned Ebonest to Charles Quixote.	
1542		Rescued Blazen Stormlance.	
1543		Promoted to Great Wyrm.	
1544		Gave the Sword of Whistlebone the Slayer to the Deftclaw Redreaver.	
1545		Promoted to Minotaur Lord.	
1546		Promoted to Cleric of the Sun.	
1547		Promoted to Nosferatu.	
1548		Promoted to Lich.	
1549		Recovered Idol of the Snake for Hiss of Blood Drop village.	
1550		Found the shield Eclipse.	
1551		Rescued Irabelle Hunter from the Ogre Fortress in Alvar.	
1552		Brought the Annointed Herb Potion to Languid on the Dagger Wound Islands.	
1553		Killed all of the Dire Wolves in the Ravenshore area.	
1554		Delivered False Report to the Dread Pirate Stanley for Arion Hunter.	
1555		Current Fines Due: %lu	
1556		Rescued Loren Steel	
1557		Gave Loren Imposter to Catherine	
1558		Retrieved Fort Riverstride Plans	
1559		Gave false plans to Elfking	
1560		Promoted to Rogue	
1561		Promoted to Honorary Rogue	
1562		Promoted to Spy	
1563		Promoted to Honorary Spy	
1564		Promoted to Assassin	
1565		Promoted to Honorary Assassin	
1566		Promoted to Cavalier	
1567		Promoted to Honorary Cavalier	
1568		Promoted to Champion	
1569		Promoted to Honorary Champion	
1570		Promoted to Black Knight	
1571		Promoted to Honorary Black Knight	
1572		Promoted to Initiate	
1573		Promoted to Honorary Initiate	
1574		Promoted to Master	
1575		Promoted to Honorary Master	
1576		Promoted to Ninja	
1577		Promoted to Honorary Ninja	
1578		Promoted to Hunter	
1579		Promoted to Honorary Hunter	
1580		Promoted to Ranger Lord	
1581		Promoted to Honorary Ranger Lord	
1582		Promoted to Bounty Hunter	
1583		Promoted to Honorary Bounty Hunter	
1584		Promoted to Warrior Mage	
1585		Promoted to Honorary Warrior Mage	
1586		Promoted to Master Archer	
1587		Promoted to Honorary Master Archer	
1588		Promoted to Sniper	
1589		Promoted to Honorary Sniper	
1590		Promoted to Crusader	
1591		Promoted to Honorary Crusader	
1592		Promoted to Hero	
1593		Promoted to Honorary Hero	
1594		Promoted to Villain	
1595		Promoted to Honorary Villain	
1596		Joined the Elemental Guild	
1597		Joined the Self Guild	
1598		Joined the Air Guild	
1599		Joined the Earth Guild	
1600		Joined the Fire Guild	
1601		Joined the Water Guild	
1602		Joined the Body Guild	
1603		Joined the Mind Guild	
1604		Joined the Spirit Guild	
1605		Joined the Light Guild	
1606		Joined the Dark Guild	
1607		Promoted to Priest	
1608		Promoted to Honorary Priest	
1609		Promoted to Priest of the Light	
1610		Promoted to Honorary Priest of the Light	
1611		Promoted to Priest of the Dark	
1612		Promoted to Honorary Priest of the Dark	
1613		Promoted to Great Druid	
1614		Promoted to Honorary Great Druid	
1615		Promoted to Arch Druid	
1616		Promoted to Honorary Arch Druid	
1617		Promoted to Warlock	
1618		Promoted to Honorary Warlock	
1619		Promoted to Wizard	
1620		Promoted to Honorary Wizard	
1621		Promoted to Archmage	
1622		Promoted to Honorary Archmage	
1623		Promoted to Lich	
1624		Promoted to Honorary Lich	
1625		%u Deaths	
1626		Collected %u in bounties	
1627		Served %u Prison Terms	
1628		%u Page Arena Victories	
1629		%u Squire Arena Victories	
1630		%u Knight Arena Victories	
1631		%u Lord Arena Victories	
1632		ArcoMage Champion	
1633		ArcoMage wins: %lu	
1634		ArcoMage losses: %lu	
1635		Received Promotion to Crusader	
1636		Received Promotion to Honorary Crusader	
1637		Received Promotion to Hero	
1638		Received Promotion to Honorary Hero	
1639		Received Promotion to Wizard	
1640		Received Promotion to Honorary Wizard	
1641		Received Promotion to Archmage	
1642		Received Promotion to Honorary Archmage	
1643		Received Promotion to Cavalier	
1644		Received Promotion to Honorary Cavalier	
1645		Received Promotion to Champion	
1646		Received Promotion to Honorary Champion	
1647		Received Promotion to Priest	
1648		Received Promotion to Honorary Priest	
1649		Received Promotion to High Priest	
1650		Received Promotion to Honorary High Priest	
1651		Received Promotion to Great Druid	
1652		Received Promotion to Honorary Great Druid	
1653		Received Promotion to Arch Druid	
1654		Received Promotion to Honorary Arch Druid	
1655		Received Promotion to Battle Mage	
1656		Received Promotion to Honorary Battle Mage	
1657		Received Promotion to Warrior Mage	
1658		Received Promotion to Honorary Warrior Mage	
1659		Joined the Elemental Guild	
1660		Joined the Self Guild	
1661		Joined the Buccaneer's Lair Guild	
1662		Joined the Protection Services Guild	
1663		Joined the Smugglers' Guild	
1664		Joined the Blade's End Guild	
1665		Joined the Duelists' Edge Guild	
1666		Joined the Berserker's Fury Guild	
1667		Joined the Air Guild	
1668		Joined the Earth Guild	
1669		Joined the Fire Guild	
1670		Joined the Water Guild	
1671		Joined the Body Guild	
1672		Joined the Mind Guild	
1673		Joined the Spirit Guild	
1674		Joined the Light Guild	
1675		Joined the Dark Guild	
1676		Collected %u bounties	
1677		%u Deaths	
1678		Served %u Prison Terms	
1679		%u Page Arena Victories	
1680		%u Squire Arena Victories	
1681		%u Knight Arena Victories	
1682		%u Lord Arena Victories	
1683		Replacement for NPCs 3 ver. 7	
1684		Replacement for NPCs 17 ver. 7	
1685		Replacement for NPCs 54 ver. 7	
1686		Replacement for NPCs 56 ver. 7	
1687		Replacement for NPCs 57 ver. 7	
1688		Replacement for NPCs 60 ver. 7	
1689		Replacement for NPCs 61 ver. 7	
1690		Replacement for NPCs 62 ver. 7	
1691		Replacement for NPCs 63 ver. 7	
1692		Replacement for NPCs 64 ver. 7	
1693		Replacement for NPCs 65 ver. 7	
1694		Replacement for NPCs 66 ver. 7	
1695		Replacement for NPCs 71 ver. 7	
1696		Replacement for NPCs 72 ver. 7	
1697		Replacement for NPCs 77 ver. 7	
1698		Replacement for NPCs 78 ver. 7	
1699		Replacement for NPCs 11 ver. 6	
1700		Replacement for NPCs 13 ver. 6	
1701		Replacement for NPCs 17 ver. 6	
1702		Replacement for NPCs 108 ver. 6	
1703		Replacement for NPCs 193 ver. 6	
1704		Replacement for NPCs 195 ver. 6	
1705		Replacement for NPCs 155 ver. 6	
1706		Replacement for NeedToTestIt 0 ver. 6	
1707		Replacement for NeedToTestIt 31 ver. 6	
1708		Replacement for HasNPCProfession 64 ver. 6	
1709		Replacement for HasNPCProfession 63 ver. 6	
1710		Replacement for NeedToTestIt 0 ver. 6	
1711		Replacement for NeedToTestIt 31 ver. 6	
1712	_(TRANS)_	Cross Continent Q
1713	_(TRANS)_	Cross Continent Q
1714	_(TRANS)_	Cross Continent Q
1715	_(TRANS)_	Cross Continent Q
1716		Cross Continent Q
1717		Cross Continent Q
1718		Cross Continent Q
1719		Cross Continent Q
