Id	Name	NotIdentifiedName 	Notes
507	Guardian	Halberd	"(+10 to all attributes, 10-20 points of Body damage) The great Vampire, Korbu was known to use living men to guard his crypt during daylight hours. Compelled by a spell of enslavement, these sorry souls would walk their rounds carrying these mighty halberds. When Korbu mysteriously vanished, and the slave spell failed, a few of these weapons appeared in the larger world."
508	Foulfang	Long Dagger	"(Vampiric, 10 points of Poison damage, Vampire) At the conclusion of the Vampires' War of the Chalice, Korbu exacted horrific retribution on his defeated enemy, Calden Fain. It is better for the world that knowledge of the necromantic arts which rendered Fain--body and soul--into this living blade, is lost."
509	Scepter of Kings	Mace	"(Personality + 40, Regenerate Hit Points) Uri Hossana, King of the Western Elves, also called ""The Drunken King,"" was deposed the day he carelessly misplaced his scepter of office while on a hunting trip. This proved to be the last blunder of an incapable ruler. His advisors relieved him of his crown and left him to fend for himself in the Howling Marsh. He was never seen again."
510	Breaker	Club	"(Might +20, Endurance +20, 10-20 points of Body damage) Trollish folklore is full of the fables of Sevenstrong Burlfist who with Biter, his faithful wolf companion, and his mighty club, Breaker, endlessly quested for the Silver Rose. Fables? One must wonder, if Breaker exists, then why not too, the Silver Rose?"
511	Staff of the Swamp	Staff	"(of Shielding; Immune to disease, paralysis, and poison) Nemerit, an otherwise unremarkable witch of the last era, was renown for her staff artificing skill. She created a staff for every conceivable use. It is said she carried this staff on reagent collecting trips into the swamplands."
512	Longseeker	Bow	"(Accuracy +50, Swift, Bow skill +4) Legends tell of many great archer heroes, but none greater than Brennan Morland of whom it was said once pierced a gold sovereign at 300 paces in an archery tournament. Now, holding his bow you must wonder if the legend owes more to the bow than the man."
513	Serendine's Preservation	Leather Armor	"(Regenerates Spell Points, Endurance +30) A mage known as much for frailty of body as for magical prowess, Serendine of Freehaven built this armor to make the most of his strengths and the least of his weaknesses."
514	Glomenmail	Chainmail	"(+10 to all statistics, +10 to all resistances, Dark Elf) Dark and Light Elven dealings have been peaceable, if uneasy, for centuries. Before that there was nothing but war. Few suits of this Dark Elven war armor have survived the ravages of time. Those that have are understandably, coveted."
515	Supreme Plate	Plate Armor	"(Swift, +15 Speed, +15 Accuracy, Knight) Each grandmaster of the Blackshire Armorers' Guild creates a masterpiece suit of plate as proof of his right to hold his station. It is not unusual for a guild member to spend ten to twenty years in the creation of one of these suits."
516	Eclipse	Large Shield	"Quest Item: (of Spirit, of Body, of Mind, Cleric) When the First Temple of the Sun was burned in the War of Dove and Crow fought between the Sun and Moon temples, the holy altar was melted. The altar's metal was later collected and incorporated into this shield carried by Sun Priest Derico during his final deciding campaign of the war."
517	Fleetfingers	Gauntlets	"(+8 to Disarm Trap, Bow, and Armsmaster skills) That she would actually have a name for her gloves, is evidence of the flamboyant, if deserved, conceit of Darcie Darby--most widely known for her theft of the bejeweled Rod of Right, part of the royal regalia of Enroth."
518	Herald's Boots	Boots	"(Speed + 30, Swift, Immunity to Sleep) When Jerico Ironfist secured the throne in the First War of Enrothian Succession, he sent forth heralds to spread the news. They were given pairs of these boots so the news would be spread quickly and thus soonest end widespread civil unrest."
519	Ring of Planes	Ring	"(+40 to Fire, Earth, Water and Air resistances) When the cartographer Alvia Morrania went to chart the terrain of the elemental planes she went well prepared. This ring of general protection was among the many special items commissioned by the Enrothian courts in support of her expedition."
520	Drogg's Helm	Helm	"(Personality +15, Intellect +15, Regenerates Hit Points) In the history of the barbarian tribes of Vori, it is rare to find a long reigning chieftain. Rarer still is one who held his position through magic rather than might. Drogg was such--a warrior mage who survived many years of rival challenges. It is said that he wore his helmet, even in sleep. Now that you possess it, you understand why."
521	Crown of Final Dominion	Crown	"(Intellect +50, of Dark Magic, Lich) So named by its creator and only sovereign wearer, Mederon, the first and last Lich Emperor of Nighon. The everlasting dynasty he hoped to found lasted barely a dozen years. Mederon escaped the fate of his kingdom. It is said he still lives as a madman and searches the world for his lost crown."
522	Archangel Wings	Cloak	"(Feather Falling, Intellect + 30, All magic resistances + 10) When Angels fall from grace, they lose their wings. Since this is an event of extreme infrequency, angel wings are a very rare commodity. Archangel wings are almost never seen. When used as a material, they imbue the resulting item with fantastic powers."
523	Snake	Longsword	"(Slows target, Water Resistance -50, Personality -15) The pommel of this sword is gruesomely butted by a shrunken medusa's head. Though greatly diminished, the medusa's power flows along Snake's blade and into its targets--a good design, but poorly implemented, for some of the negative energies flow into the sword's wielder as well."
524	Havoc	Longsword	"(Speed +70, Accuracy +70, Armor Class -20) Havoc's enchantment makes it able to readily defeat any target's defenses. Unfortunately, its aggressive spirit makes it indifferent to parrying movements."
525	Finality	Two-Handed Sword	"(10-20 points of Fire damage, Slow, Speed -20) When the arch assassin, Demetri Razen was finally brought to justice, it was found that his skin was granted unusual hardness by a permanent enchantment. Normal blades would not cut him, so Finality was forged to deliver the death blow sentenced by the Enrothian courts. "
526	Hell's Cleaver	Axe	"(Might + 70, Accuracy +70, Personality -50, Intellect -50) So called because of its power to demonize its wielder, nevertheless, there are many who would willingly pay the price for the power offered by ""Hell's Cleaver."""
527	Spiritslayer	Spear	"(Vampiric, Might +50, Luck -40) Many under the rule of Luthiner the Severe saw the existence of his spear Spiritslayer as proof of the existence of evil. The injuries caused by the spear go beyond the physical as Spiritslayer takes a strike as an opportunity to drink its target's very essence."
528	Trident of Rulership	Spear	"(Water Breathing, +70 Water Resistance, -70 Fire Resistance) The Trident of Rulership was never meant to be on dry land, yet when the once mighty, ocean to ocean, Triton empire collapsed, many of its greatest artifacts including those of its royal treasure were looted and made their way to the surface."
529	Blade of Mercy	Dagger	"(Might +40, 4-10 points Electrical damage, Accuracy -40, Necromancer) Though generally considered unfashionable among current necromantic customs, live sacrifice was once widely practiced. To reduce the cruelty inflicted on his victims, the Necromancer Ferredine the Merciful created a blade capable of bringing about a quicker and less suffered end."
530	Staff of Elements	Staff	"(of Air Magic, of Fire Magic, of Water Magic, of Earth Magic, -40 Armor Class) By imposing upon its wielder a deepened state of concentration, the Staff of Elements increases his or her affinity with elemental magic to a profound degree. Of course, it is not always a good thing to have one's attention taken away from one's immediate concerns."
531	Tournament Bow	Bow	"(Accuracy +100, Bow skill + 5, Armor Class -20) This bow was built to the specifications of the great Elven tournament archer, Terin Tourfeather. More concerned with fancy shooting than with the realities of the battlefield, the bow's detrimental effects were of no concern to Tourfeather--more workaday wielders should pay more heed."
532	Lightning Crossbow	Crossbow	"(Swift, Accuracy -50, Dark Elf) An ingenious combination of the mechanical and magical went into the creation of this self-cocking crossbow which launches its quarrels with incredible force. That the same launching force causes it to kick like a mule means only the most skilled can use it to any good effect."
533	Last Stage Cuirass	Leather Armor	"(Personality +80, Intellect +70, -30 Mind and Spirit resistances) The final stage of degeneration from their human form leaves a Lich completely soulless and thus immune to certain magics. Such liches often curse their personal items with vulnerabilities to these magics to dissuade others from using them."
534	Herondale's Lost Shield	Small Shield	"(Immune to Fear, Stone, Paralysis, and Sleep; Personality -15, Luck -15) The great knight Gerrald Herondale abandoned this shield after it took the brunt of a dark and deadly curse. Though it still retained its great powers, the shield was also weighed down with malevolent energies."
535	Ring of Fusion	Ring	"(of Water, Alchemy skill + 5, Intellect +40, Endurance -20) A lost relic of the Freehaven Alchemists' Guild, until its disappearance, this ring was the signet of the guildmaster. It was meant to be worn only during the mixing of the most powerful potions for it drew much energy from the user."
536	Lucky Hat	Hat	"(Luck + 90, Personality -50) The only reason someone would wear this hat is for the luck it conveys. It is the farthest thing from flattering!"
537	Berserker Belt	Belt	"(Might +100, Immune to Fear, Accuracy -30, Armor Class -15) An experiment of the Blackshire Artificers' Guild, this belt was designed to turn its wearer into the perfect warrior--mighty and fearless. No more were made when in field tests it became apparent that ""foolhardy"" and ""careless"" were not virtues of the perfect warrior."
538	Mace of the Sun	Mace	"Though at first it appears to be the same type of mace carried by Sun Temple clerics everywhere, this item seems to thrum with conflicting energies."
539	Ebonest	Spear	"Quest Item: Charles Quixote's personal spear of Dragon slaying, Ebonest is a fine weapon indeed. When used against a Dragon, it seems to aim unerringly for the chinks between its target's tough scales."
540	Sword of Whistlebone	Two-Handed Sword	Quest Item: That the Whistlebones would settle upon such a fierce weapon for their heirloom speaks much of their commitment to the family business of Dragon hunting.
541	Axe of Balthazar	Two-Handed Axe	Quest Item: No Minotaur kings wear a crown. Instead as their badge of office they carry great axes of the finest workmanship. This axe was lost when Balthazar was betrayed by the Vori Frost Giants. That it is strongly enchanted is clear; when used in battle its blows deliver both normal damage and impart a numbing bite of freezing cold.
542	Noblebone Bow	Bow	Bows of Kreegan bone are highly sought after; the material is strong and takes enchantments easily. The most sought after bone comes from Kreegans of the devil race's former ruling class.
543	Cycle of life	Ring	(Shared life, Endurance + 20) A ring of simple metal (copper or brass?), warm on touch.
544	artifact 544	0	artifact 544
545	artifact 545	0	artifact 545
546	artifact 546	0	artifact 546
547	artifact 547	0	artifact 547
548	artifact 548	0	artifact 548
549	artifact 549	0	artifact 549
550	artifact 550	0	artifact 550
551	artifact 551	0	artifact 551
552	artifact 552	0	artifact 552
553	artifact 553	0	artifact 553
554	artifact 554	0	artifact 554
555	artifact 555	0	artifact 555
556	artifact 556	0	artifact 556
557	artifact 557	0	artifact 557
558	artifact 558	0	artifact 558
559	artifact 559	0	artifact 559
560	artifact 560	0	artifact 560
561	artifact 561	0	artifact 561
562	artifact 562	0	artifact 562
563	artifact 563	0	artifact 563
564	artifact 564	0	artifact 564
565	artifact 565	0	artifact 565
566	artifact 566	0	artifact 566
567	artifact 567	0	artifact 567
568	artifact 568	0	artifact 568
569	artifact 569	0	artifact 569
570	artifact 570	0	artifact 570
571	artifact 571	0	artifact 571
572	artifact 572	0	artifact 572
573	artifact 573	0	artifact 573
574	artifact 574	0	artifact 574
575	artifact 575	0	artifact 575
576	artifact 576	0	artifact 576
577	artifact 577	0	artifact 577
578	artifact 578	0	artifact 578
579	artifact 579	0	artifact 579
580	artifact 580	0	artifact 580
581	artifact 581	0	artifact 581
582	artifact 582	0	artifact 582
583	artifact 583	0	artifact 583
584	artifact 584	0	artifact 584
585	artifact 585	0	artifact 585
586	artifact 586	0	artifact 586
587	artifact 587	0	artifact 587
588	artifact 588	0	artifact 588
589	artifact 589	0	artifact 589
590	artifact 590	0	artifact 590
591	artifact 591	0	artifact 591
592	artifact 592	0	artifact 592
593	artifact 593	0	artifact 593
594	artifact 594	0	artifact 594
595	artifact 595	0	artifact 595
596	artifact 596	0	artifact 596
597	artifact 597	0	artifact 597
598	artifact 598	0	artifact 598
599	artifact 599	0	artifact 599
600	quest item 600	0	quest item 600
601	quest item 601	0	quest item 601
602	False Report	Report	Quest Item: A letter given to you by Arion Hunter for delivery to the Dread Pirate Stanley on Regna.
603	Urn of Ashes	Urn	"Quest Item: A funerary urn entrusted to your care by the Troll, Overdune Snapfinger. It contains the ashes of his brother, Vilebite."
604	Nightshade Brazier	Brazier	Quest Item: This brazier emanates the unsettling vibrancy of dark magic. It smells strongly of pitch and sulfur.
605	Dragon Leader's Egg	Egg	Quest Item: This Dragon egg is nearly ready to hatch. The small life inside makes its presence known with an occasional rustle.
606	Heart of Fire	Heartstone	"Quest Item: The Heart of Fire is a gem of pure elemental force clear of imperfections and weighing at least a hundred carets. No doubt, a magic item made from it would be incredibly potent."
607	Heart of Water	Heartstone	"Quest Item: The Heart of Water is a gem of pure elemental force clear of imperfections and weighing at least a hundred carets. No doubt, a magic item made from it would be incredibly potent."
608	Heart of Air	Heartstone	"Quest Item: The Heart of Air is a gem of pure elemental force clear of imperfections and weighing at least a hundred carets. No doubt, a magic item made from it would be incredibly potent."
609	Heart of Earth	Heartstone	"Quest Item: The Heart of Earth is a gem of pure elemental force clear of imperfections and weighing at least a hundred carets. No doubt, a magic item made from it would be incredibly potent."
610	Conflux Key	Key	"Quest Item: Using the four elemental heart gems, Xanthor made you this interplaner key of extreme power. He tells you it will open the crystal gateway which connects Ravenshore to the mysterious Plane Between Planes."
611	Lost Book of Kehl	Book	"Quest Item: The formerly ""Lost"" Book of Kehl. Some say he was the greatest necromancer of the last age. Staring at the intricately embossed cover is a disquieting experience as the design seems to writhe with evil energy."
612	Sarcophagus of Korbu	Sarcophagus	"Quest Item: Though painstakingly carved from a single slab of gray stone, Korbu's sarcophagus is inexplicably, much lighter in weight than seems possible. Removal of the snug fitting lid produces a powerful exhalation of myrrh and stale crypt air."
613	Puzzle Box	Box	"Quest Item: No matter how you move the shifting panels of this small inlaid box, its lid remains shut. When you shake it, you can hear something rattling around inside. It sounds like a large nut or bead."
614	Vial of Grave Earth	Vial	Quest Item: This is the vial of dirt you stole from the vampire crypt in Shadowspire.
615	Drum of Victory	Drum	"Quest Item: This magical items properties are unknown to you. When you tap the drum's head with one of its sticks, the resulting beat resonates with echoes that seem to reflect from the ceiling of the sky."
616	Anointed Herb Potion	Potion Bottle	"Quest Item: Though possessing no magical properties, this potion's ingredients have been gathered under the most stringent ritual conditions. The thornbark powder, for example, was ground in a silver mortar from bark stripped during the peak of a high noon eclipse. The whole concoction has sat in the seer's personal shrine for more than a hundred years."
617	Power Stone	Stone	Quest Item: A facet carved stone of dark glassy rock. When tapped it produces a high bell tone.
618	Power Stone	Stone	Quest Item: A facet carved stone of dark glassy rock. When tapped it produces a medium bell tone.
619	Pirate Leader's Key	Key	Quest Item: The key you took from Blackwell Cooper's body.
620	Prison Key	Key	Quest Item: A key of the type commonly used for dungeon cell door locks.
621	Prison Key	Key	Quest Item: A key of the type commonly used for dungeon cell door locks.
622	quest item 622	0	quest item 622
623	Gem of Restoration	Gem	"Quest Item: This large ruby is of perfect quality, clear throughout with an even pigeon blood red. It contains a powerful enchantment and pulses with a slumbering heartbeat rhythm."
624	Charged connector stone	Gem	Smooth half-transparent connector stone charged by time traveling.
625	Connector stone	Gem	Smooth stone without specific color.
626	Prophecies of the Sun	Book	"Quest Item: The writing inside this book reads like the ranting of a madman. Still, someone must have thought highly of it. The text is entirely hand scribed in a florid style. Inset illuminations bring to life scenes from the story which are, in turn, disturbing, outlandish or seemingly drawn from nightmare."
627	Remains of Korbu	Remains	"Quest Item: The remains of Korbu who some claim was the most powerful vampire of all times. He's not much to look at now, however. His skeleton has been almost completely dismantled--either by design or the ravages of time, and a wooden stake is nestled entirely within the ribcage."
628	Lich Jar	Jar	Quest Item: A well made jar.
629	Ring of Keys	Ring of Keys	Quest Item: Both the keys and ring are made of a metal you've never encountered before. The gemstones inset in the key heads are familiar to you. They are elemental heartstones like those incorporated in the conflux key Xanthor made for you.
630	Idol of the Snake	Idol	Quest Item: An Idol of the ancient snake god who was worshipped by the Serpentmen who used to dwell on the Dagger Wound Islands.
631	Big Brass Ring	Ring	Quest Item: A large ring of polished brass. It seems to be part of a door knocker.
632	Naga Hide	Hide	The skinned and scraped hide of a naga.
633	Dire Wolf Pelt	Pelt	The skinned and scraped hide of a dire wolf.
634	Flute	Flute	Quest Item: A well crafted instrument.
635	Royal Wasp Jelly	Jelly	A jar of royal wasp jelly.
636	Dragonbane Flower	Dragonbane Flower	Quest Item: A fresh dragonbane flower. The petals are thick and waxy.
637	Bone of Doom	Bone	"Quest Item: The arm bone of the legendary necromancer, Zacharia. It is infused with the death magician's evil energy."
638	Druid Circlet of Power	Circlet	A legendary item rumored to be from the time of the Ancients.  Only someone with the power of a Grand Druid can wear this item.
639	Arcane Key	Key	Quest Item: A gem containing an unfocused magical energy.
640	Wyvern Horn	Horn	A horn taken from a wyvern.
641	Ogre Key	Key	Quest Item: A gem containing an unfocused magical energy.
642	Pirate Hat	Hat	"Quest Item: A sea raider captain's hat. Inside the band are stitched the words ""D. P. Stanley."""
643	Tobersk Fruit	Fruit	The fruit of the tobersk bush which only grows on the Dagger Wound Islands. It is the main export item of the islands' Lizardmen.
644	Tobersk Pulp	Pulp	Pulp made from Dagger Wound Islands grown tobersk fruit.
645	Tobersk Brandy	Brandy	Brandy made from the processed pulp of Dagger Wound Islands grown tobersk fruit.
646	Heartwood of Jadame	Wood	The cooler climate of the Murmurwood forest causes the trees there to grow with a tight grain. These lumbered planks are of the clear grained heartwood.
647	Flawed Amulets	Crate	A crate of from the Shadowspire artificers. Small flaws in workmanship have made them incapable of holding enchantments.
648	Dried Sunfish	Crate	"A crate of dried sunfish harvested from the Ifarine Sea. Some find the chewy, salty fish a delicacy."
649	Silver Dust of the Sea	Crate	"A crate full of bagged Silver Dust. Made by the Necromancers' Guild, it is said to have value to some sea travelers."
650	Forged Vouchers	Vouchers	Forged credit documents used by the ogre mage Zog to embezzle gold from Alvarian merchant customers.
651	Ground Wyvern Horn	Ground Wyvern Horn	A powerful potion reagent used by the Necromancers of Shadowspire.
652	Prophecies of the Snake	Book	"Quest Item: One of many books of prophecy circulating recently, the Prophecies of the Snake may indeed tell the future of Jadame."
653	Ogre Ear	Ear	"Used to keep track of kills, some bounty hunters collect these gruesome reminders of battles past."
654	Wasp Stingers	Stinger	The stinger of a giant wasp.
655	Green Apple	Apple	"Jadamean green apples are crunchy, slightly tart and a good source of nutrition.  (To use the apple, pick it up and left-click over a character's portrait in the inventory screen.)"
656	Horseshoe	Horseshoe	"This flawless horseshoe is made of silver.  (To use, pick the horseshoe up and right-click over a character's portrait.)"
657	Enchanted Amulet	Amulet	"A pretty bauble favored by the Pirates of Regna for it appearance, not for any magical enchantment it may have."
658	Wheel of Frelandeau	Cheese	"Quest Item: A wheel of prized unicorn's-milk frelandeau cheese. Sliced onto crackers, it is the perfect compliment to a snifter of fine tobersk brandy."
659	Log of Eldenbrie	Cheese	"Quest Item: A log of Vori eldenbrie cheese. Though many have tried to duplicate its subtle, smoky flavor, only the master Frost Giant cheese masters of the frozen Vori wastes know the secrets of its formulation."
660	Ball of Dunduck	Cheese	"Quest Item: A ball of dunduck cheese. Made in small batches by the goblins of Erathia, most consider it an acquired taste."
661	Emperor Thorn's Key	Key	Quest Item: The key you took from the Unicorn King's body.
662	Cannonball of Dominion	Cannonball	Quest Item: The strange cannonball you took from the Regnan fortress. It is unlike any ammunition you've seen before.
663	Infused Metal Rod	Metal Rod	Metal stick.
664	Large Round Crystal	Round crystal	Large smooth and perfectly round crystal.
665	Whisp wrappings	Whisp wrappings	Pieces of rotten cloth.
666	Telelocator	Telelocator	Metal stick with smooth gem on top of it.
667	quest item 667	0	quest item 667
668	quest item 668	0	quest item 668
669	quest item 669	0	quest item 669
670	quest item 670	0	quest item 670
671	quest item 671	0	quest item 671
672	quest item 672	0	quest item 672
673	quest item 673	0	quest item 673
674	quest item 674	0	quest item 674
675	quest item 675	0	quest item 675
676	quest item 676	0	quest item 676
677	quest item 677	0	quest item 677
678	quest item 678	0	quest item 678
679	quest item 679	0	quest item 679
680	quest item 680	0	quest item 680
681	quest item 681	0	quest item 681
682	quest item 682	0	quest item 682
683	quest item 683	0	quest item 683
684	quest item 684	0	quest item 684
685	quest item 685	0	quest item 685
686	Iron-laced ore	Lump of Ore	"A small chunk of iron-laced ore.  In the hands of a skilled craftsman, this could make a weapon, an amulet, a ring, armor, or almost any other useful item."
687	Siertal-laced ore	Lump of Ore	"A small chunk of siertal-laced ore.  Stronger and lighter than steel, in the hands of a skilled craftsman siertal could make an exceptional weapon, an amulet, a ring, armor, or almost any other useful item."
688	Phylt-laced ore	Lump of Ore	"A small chunk of phylt-laced ore.  Phylt is often used in steel alloys to increase the durability and enchantability of steel.  In the hands of a skilled craftsman phylt could make a weapon, an amulet, a ring, armor, or almost any other useful item."
689	Kergar-laced ore	Lump of Ore	"A small chunk of kergar-laced ore.  Kergar shares many properties of steel, but is much easier to enchant.  In the hands of a skilled craftsman kergar could easily make a magical weapon, an amulet, a ring, armor, or almost any other item."
690	Erudine-laced ore	Lump of Ore	"A small chunk of erudine-laced ore.  A rare magical ore found in few regions of Erathia, in the hands of a skilled craftsman erudine could make a powerful weapon, an amulet, a ring, armor, or almost any other item."
691	Stalt-laced ore	Lump of Ore	"A small chunk of stalt-laced ore.  Easy to enchant and as hard as obsidian, in the hands of a skilled craftsman stalt could make an incredibly powerful weapon, an amulet, a ring, armor, or almost any other item."
692	quest item 692	0	quest item 692
693	quest item 693	0	quest item 693
694	quest item 694	0	quest item 694
695	quest item 695	0	quest item 695
696	quest item 696	0	quest item 696
697	quest item 697	0	quest item 697
698	quest item 698	0	quest item 698
699	quest item 699	0	quest item 699
700	Rejuvenation Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
701	Pure Might Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
702	Pure Accuracy Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
703	Pure Personality Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
704	Pure Endurance Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
705	Pure Intellect Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
706	Pure Speed Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
707	Pure Luck Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
708	Slaying Potion Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
709	Stone To Flesh Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
710	Might Boost Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
711	Intellect Boost Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
712	Personality Boost Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
713	Endurance Boost Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
714	Speed Boost Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
715	Accuracy Boost Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
716	Flaming Potion Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
717	Freezing Potion Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
718	Noxious Potion Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
719	Shocking Potion Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
720	Swift Potion Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
721	Cure Paralysis Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
722	Divine Restoration Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
723	Divine Cure Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
724	Divine Power Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
725	Luck Boost Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
726	Fire Resistance Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
727	Air Resistance Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
728	Water Resistance Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
729	Earth Resistance Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
730	Mind Resistance Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
731	Body Resistance Recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
732	Certificate of Authentication	Certificate	"A certificate written by Dadeross. (To read it, pick up the certificate and right-click over a character's portrait.)"
733	Journal Scrap	Journal Scrap	"A page torn from a travel journal. (To read it, pick it up and right-click over a character's portrait.)"
734	Journal Scrap	Journal Scrap	"A page torn from a travel journal. (To read it, pick it up and right-click over a character's portrait.)"
735	Journal Scrap	Journal Scrap	"A page torn from a travel journal. (To read it, pick it up and right-click over a character's portrait.)"
736	Journal Scrap	Journal Scrap	"A page torn from a travel journal. (To read it, pick it up and right-click over a character's portrait.)"
737	Journal Scrap	Journal Scrap	"A page torn from a travel journal. (To read it, pick it up and right-click over a character's portrait.)"
738	Journal Scrap	Journal Scrap	"A page torn from a travel journal. (To read it, pick it up and right-click over a character's portrait.)"
739	Journal Scrap	Journal Scrap	"A page torn from a travel journal. (To read it, pick it up and right-click over a character's portrait.)"
740	Journal Scrap	Journal Scrap	"A page torn from a travel journal. (To read it, pick it up and right-click over a character's portrait.)"
741	Dadeross' Letter to Fellmoon	Letter	"Quest Item: A letter from Dadeross to Elgar Fellmoon.  (To read the letter, pick it up and right-click over a character's portrait.)"
742	Blackmail Letter	Letter	"Quest Item: A letter from Elgar Fellmoon to Arion Hunter.  (To read the letter, pick it up and right-click over a character's portrait.)"
743	Journal Scrap	Journal Scrap	"A page from an otherwise ruined journal found in an abandoned camp in Alvar. (To read, pick it up and right-click over a character's portrait.)"
744	History of the Vault of Time	History Book	"A book about The Vault of Time. (To read, pick it up and right-click over a character's portrait.)"
745	Dagger Wound Oddities	Journal Notes	"Journal notes written in Frederick Talimere's hand. (To read, pick it up and right-click over a character's portrait.)"
746	Letter to Arion Hunter	Letter	"A letter to Arion Hunter from Zog (To read, pick it up and right-click over a character's portrait.)"
747	Page Torn from a Book	Torn Page	"A page torn from a book. You found it in the Merchant House Library. (To read, pick it up and right-click over a character's portrait.)"
748	Notes - Emergency Meeting	Notes	"A rolled parchment of hastily scrawled notes. (To read, pick up the scroll and right-click over a character's portrait.)"
749	Cannon Design Notes	Notes	"Notes you found in the Regnan fortress. (To read, pick up the scroll and right-click over a character's portrait.)"
750	Old Scroll	Scroll	"The scroll you found in the Abandoned Temple seems centuries old. (To read, pick it up and right-click over a character's portrait.)"
751	Divine Boost recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
752	Divine Protection recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
753	Divine Transcendence recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
754	Essence of Luck recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
755	Potion of the Gods recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
756	Potion of Doom recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
757	Pure Fire Resistance recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
758	Pure Air Resistance recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
759	Pure Water Resistance recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
760	Pure Earth Resistance recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
761	Pure Mind Resistance recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
762	Pure Body Resistance recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
763	Essence of Might recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
764	Essence of Intellect recipe	Potion Recipe	"A message scroll.  (To read this message, pick the scroll up and right-click over a character's portrait.)"
