#	Greeting 1	Greeting 2	Notes	Owner
1	我是马克汉姆爵士，本次寻宝大赛的主办者。	啊，你们回来了，情况进展得怎么样了？		Markham
108	欢迎你们，我的朋友，我的大臣们想立刻见见你们这些大英雄。	欢迎你们，我的朋友，我的大臣们想立刻见见你们这些大英雄。	Finished Proving Ground	Gavin Magnus
109	有你们这样出色的盟友真令我高兴，我们之间的合作现在越来越密切了。我的大臣们有一个伟大的计划，需要你的帮忙，我坚信你们一定能胜任的。	有你们这样出色的盟友真令我高兴，我们之间的合作现在越来越密切了。我的大臣们有一个伟大的计划，需要你的帮忙，我坚信你们一定能胜任的。	Finished all Good quests	Gavin Magnus
110	"(瑞瑟雷克特微笑)我的朋友们，你们好。我就是瑞瑟雷克特，格文·马格努斯国王的首席大臣。你们选择了费尔维泽调解埃拉西亚和埃里之间的战争，确实干得非常出色。不过你们要想和我们进一步合作的话，还必须经受国王对你们的考验，只有这样我们才相信你们有足够的信心和勇气来与我们合作。
要是你完成了国王交给你们的任务的话，可以再到我这儿来，我会向你们交代下一步行动的。"	啊，又是你们，哈蒙代尔的新主人。不过你们还没有完成国王交给的任务，等完成这个任务再来找我吧。	No Proving Grounds	Resurectra
111	啊，你们通过了国王的考试，看来你们是坚定不移的选择了光明之路。好了，我们该谈谈正事了。我们正在筹备一个伟大的计划，需要你们的帮助，当然啦，如果成功的话，你们肯定会得到不少好处，但我认为报酬并不重要，重要的是我们正从事一项造福天下百姓的伟大事业，能成为这个事业其中的一员，你们应该感到无比的自豪，这才是你们得到的最丰厚的报酬。	很高兴又见到你们，哈蒙代尔的领主们。	Normal	Resurectra
112	啊，你们把圣坛碎片拼合在一起了，真不知道怎么感谢你们才好，说不定以后还有很多事要麻烦你们呢！	很高兴又见到你们，哈蒙代尔的领主们。	Completed Temple of Dark Mission	Resurectra
113	什么，你们选择了黑暗之路。你们知道你们抛弃了什么？是光辉与荣耀，是正义与善良。好吧，事到如今我已经无话可说了，快滚吧，我再也不想见到你们。	你们怎么又回来了，我不是已经和你们一刀两断了？	Party Evil	Resurectra
114	现在你们已经成功通过了考试，我可以放心地把我的任务交给你们来完成了。这个任务虽然和我们最终的目标关系不大，但也是非常重要的。	啊，又见到你们了，哈蒙代尔的领主们，近来一切都好吧！	Normal	Crag Hack
115	啊，你们又立下了一件大功。我们已经答应凯瑟琳王后除掉这些恶魔，这下总算没有食言，这全都要感谢你。	啊，又见到你们了，哈蒙代尔的领主们，近来一切都好吧！	Completed Vampire Mission	Crag Hack
116	到这里打什么鬼主意，你们这些邪恶的家伙。别乱动，不然我的斧子可不留情面。	我跟你们没什么好说的。	Party Evil	Crag Hack
117	很高兴你们又完成了一个任务。下一步我们要做的是在敌人势力还未壮大以前给予他们致命的打击。看来只有你们才能担负这个重任，敌人肯定想不到我们这一步，哈哈，一切就拜托你们了。	欢迎你们回来，一切进展得怎么样？	Normal	Sir Caneghem
118	啊，你们回来了。我们已经派人偶把这些灵魂之坛埋在一个非常隐蔽的地方，这下再也没有人知道这些灵魂之坛的下落了。	欢迎你们回来，一切进展得怎么样？	Completed Soul Jars	Sir Caneghem
119	啊，原来是你们这些邪恶的家伙，卫兵，给他们些利害看看。	又是你们，上次让你们逃跑了，这次我的卫兵再也不会放过你们了。	Party Evil	Sir Caneghem
120	我也有个任务想交给你们完成，不过你们得先把手头的任务完成，这样我才能交代我的任务。	你们为光明之路已经做了很多事了，真让我感动。等你完成了手头的任务再来找我吧。	Not finished with good	Robert the Wise
121	啊，你已经把其它人的任务都完成了，真了不起。看来我们和亡灵巫师之间的恩恩怨怨该是了结的时候了。眼下就剩下最后一个至关重要的任务了，它关系到此次计划的成败，一切就全靠你们了，世界的和平掌握在你们手中。	很高兴你们回来，我的朋友。	Normal	Robert the Wise
122	"很高兴能认识你们。我就是卡斯托，艾恩法斯特爵士的首席大臣。你选择了德冯·斯利恩解决埃拉西亚和埃里之间的纠纷，干得真不错。看来哈蒙代尔和迪雅的关系将进入一个和平相处的新阶段。
但是我们只是初次打交道而已，我对你们还不怎么了解。艾恩法斯特爵士经常向一些新来的亡灵法师委派任务，以考察他们的本领和勇气。如果你能完成他所交给的任务的话，我们就可以开始进一步的合作了，快去吧。"	我们想要你们干的事很多，得一件一件来。首先你们必须去找艾恩法斯特爵士完成他交给你们的任务，如果你们连这么件简单的任务都不会干，我们可不想和没用的废物打交道。	Not finished with Breeding Pit	Kastore
123	你们通过艾恩法斯特的考试了，干得不错。这下我们可以谈谈正事了。我们正筹划一个伟大的计划，其中需要你们帮不少忙。放心吧，事成之后，报酬不会少的。你只要按照我们吩咐的一步步去做，迟早你会知道我们的全盘计划。	(卡斯托微笑)啊，你们回来了，有什么事吗？	Normal	Kastore
124	你们又立下了大功一件，真该好好感谢你们。我们的计划真按照预先的安排一步步顺利发展。我们一旦成功，你们得到的好处可是连做梦也想不到的。	(卡斯托微笑)啊，你们回来了，有什么事吗？	Completed all Evil	Kastore
125	啊，是你们，哈蒙代尔城堡的领主们。你们到这里来干吗，快滚回去吧。别把我惹火了，发兵灭了你这小小的哈蒙代尔。	怎么又来了，是我上次对你们太客气了吗？我不想和你们多废话，快滚吧。	Party Good	Kastore
126	你们好，我叫马克西姆。很高兴你们能选择黑暗之路，而且顺利通过了那个考试。我早说过这种愚蠢的考试简直在浪费时间，可其它大臣坚持要你去试试。现在你们到我这儿来有何贵干？	很高兴你们能回来，我的朋友。	Normal	Maximus
127	啊，你们把灵魂之坛带回来了，真不知道怎么感谢你们才好。亡灵巫师正等着这些灵魂之坛，这下他们该放心了。真是太谢谢你们了。	很高兴你们能回来，我的朋友。	Completed Jars	Maximus
128	我不想和你们任何人打交道，不过我警告你们，有朝一日我们会灭了你们那个小小的哈蒙代尔。	我不想和你们任何人打交道，不过我警告你们，有朝一日我们会灭了你们那个小小的哈蒙代尔。	Party Good	Maximus
129	我早知道你们会顺利通过那个考试的，它对你们来说实在太简单了。现在我有个任务要交给你们去完成，你们必须心狠手辣，残酷无情，为了达到目的不择一切手段。既然你们能通过那个考试，我想这个任务对你们来说也不是太难。	欢迎你们，我的朋友。	Normal	Dark Shade
130	你们在科兰克实验室干得真不错，祝贺你们了。我的手下已经把科兰克支离破碎的尸体拼合起来，并使他起死回生。我们本来想让他带我们去找埋藏灵魂之坛的地方，不过好象他没有以前那么聪明了，大概是我们把他吓傻了，他怎么也记不起来把灵魂之坛埋在什么地方了。唉，看来是不能指望他了。	欢迎你们，我的朋友。	Completed Clanker	Dark Shade
131	你们这群傻瓜，这次就饶了你们，下次再碰见你们可就没那么幸运了。别做梦想打败我的手下，就是他们死了我也可以使他们起死回生，还是识相点，快滚吧！	你们这群傻瓜，这次就饶了你们，下次再碰见你们可就没那么幸运了。别做梦想打败我的手下，就是他们死了我也可以使他们起死回生，还是识相点，快滚吧！	Party Good	Dark Shade
132	我也有一个任务。不过得等你们把手头的任务完成之后我才能告诉你们。还是把眼前的任务完成了再来找我吧！	见到你们很高兴，不过你们得把手头的任务完成了才能来见我。	Not finished with good	Tolberti
133	"好了，看来你们已经完成了其它大臣交给你们的任务，现在该论到我了。我这个任务是最危险的，也是最至关重要的，它关系到全局的成败，不过我对你们很有信心。

哦，还忘了告诉你们。现在阿基巴德不再是迪雅的统治者了，他竟敢阻挠我们的计划，所以被赶跑了。现在他住在科兰克实验室里，还带走了一帮亡灵巫师。现在这个地狱城的主人是卡斯托了。"	欢迎你们，我的朋友。	Normal	Tolberti
134	"(阿基巴德微笑着合起双手)啊，你们就是哈蒙代尔的新主人，我们尊敬的盟友，欢迎你们。你们能够选择黑暗之路真是太好了，谁都知道我是一个英明的君主，赏罚分明，爱民如子，跟着我你们不会吃亏的。
尽管我充分信任你们的忠诚和能力，可惜我手下那些大臣可不这样想。他们坚持要你们完成一个任务，来证明你们的实力。不过我想这个任务对你们来说简直是小事一桩，你们不会使我失望的。"	你们已经准备好了吗？要是没什么问题可以去再生之地了，那个洞门整天都开着。	Normal	Archibald
135	"你们好，我的朋友，但愿你们现在仍是我的朋友。唉，我如今是一无所有了。我的手下背叛了我，把我赶出了地狱城，现在我只好流落到这个地方。我到今天才发现，我只是他们手中的傀儡，一旦没用了，他们可以把我象垃圾一样丢在一边。

他们根本不想要什么国王，也不管什么正义、和平。他们就想能够奴役整个世界，说不定他们会成功的。自从我们的灵魂之坛被偷后，他们竟根本不把这当回事。要知道，我们历尽千辛万苦，才研究出保留不死之身的办法，好不容易得到了这些灵魂之坛，这下全完了。看来是天不助我，要从头开始又得花几十年的时间。
还好，我们还有现在这个唯一的安身之地。整个恩洛斯的人都被我得罪光了，现在我是有家难回，只能待在这儿了。幸好这个岛还很安全，我们可以在这个暂避一时，继续钻研我们的魔法。"	啊，又见到你们了，我的朋友。我随时欢迎你们来我这儿参观。	In Clanker's Lab	Archibald
136	"找到你们要的东西了吗？你们一路杀到这里，真是辛苦了。虽然你们杀了我不少手下，我不会怪你们的，我会有办法使他们复生的。不过你们可能会很失望，这里并没有什么金银财宝。
你们是奉光明教派的命令来这里讨伐我的吧！不过我已经退出江湖，不再理会什么光明、暗黑教派了。我的手下背叛了我，竟然认为死抠书本，钻研什么亡灵魔法的真谛是浪费时间，他们想的只有利用魔法来奴役整个世界。不过他们现在的实力确实很强，说不定有一天他们会如愿以偿的，到那时候你们和你们的光明教派可就倒霉了。
现在世界的命运就掌握在你们手中。我看得出来，你们命中注定是干大事的料。一切就全靠你们了，只有你们才能阻止这帮无耻的家伙的阴谋。"	你们怎么又回来了。你在这里时间拖得越久，我的手下复活得越多，到时候你们要出去就难得多了，我可阻止不了他们。	"Clanker's, Party Good"	Archibald
137	欢迎你们平安回来，我的大臣想见见你们。	欢迎你们平安回来，我的大臣想见见你们。	Completed Breeding Pit	Archibald
138	对不起，利文斯德要塞禁止闲人入内。你们不能再前进了，否则将被视为敌人遭到攻击。	对不起，利文斯德要塞禁止闲人入内。你们不能再前进了，否则将被视为敌人遭到攻击。	Fort Riverstride Guard	
139	了望塔是迪雅的要塞重地，闲人不得入内。你们不能再前进了，否则将被视为敌人遭到攻击。	了望塔是迪雅的要塞重地，闲人不得入内。你们不能再前进了，否则将被视为敌人遭到攻击。	Watchtower 6 Guard	
140	站住，你们不能进去。要进入这个神殿你们还不够格。	站住，你们不能进去。要进入这个神殿你们还不够格。	Temple of Light Guard	
141	你们上这儿来干吗？你们已经选择了黑暗之路，进去会有生命危险的。快离开吧！	你们上这儿来干吗？你们已经选择了黑暗之路，进去会有生命危险的。快离开吧！	Temple of Dark Guard	
142	站住，你们不得进入此地。要是你们想找凯瑟琳王后的宫殿，它就在楼梯后面城堡的中央。	站住，你们不得进入此地。要是你们想找凯瑟琳王后的宫殿，它就在楼梯后面城堡的中央。	Castle Gryphonheart Guard	
143	站住！此处闲人不得入内。你们要是找帕尔森国王的宫殿，可以从楼梯下去，到左边的走廊里看看。	站住！此处闲人不得入内。你们要是找帕尔森国王的宫殿，可以从楼梯下去，到左边的走廊里看看。	Castle Navan Guard	
144	站住！此处没有格文·马格努斯的命令，闲人不得入内。你们要是想找他的宫殿，可以从入口向北走到尽头，然后向西走到尽头，北面就是他的宫殿。	站住！此处没有格文·马格努斯的命令，闲人不得入内。你们要是想找他的宫殿，可以从入口向北走到尽头，然后向西走到尽头，北面就是他的宫殿。	Castle Lambent Guard	
145	站住！此处闲人不得入内。要是你们想找宫殿，可以从入口向北走到大厅，然后向西顺着一条小道走下去，会有一艘船在等着你们。你们坐船顺流而下，就可以找到去宫殿的路了。	站住！此处闲人不得入内。要是你们想找宫殿，可以从入口向北走到大厅，然后向西顺着一条小道走下去，会有一艘船在等着你们。你们坐船顺流而下，就可以找到去宫殿的路了。	Castle Gloaming Guard	
146	你们好，我叫埃利克·斯维罗，有关魔法学院的事你们都可以问我。	你们好，能为你效劳吗？	Eric-- School of Sorcery Receptionist	
147	感谢你搭救了我，请把我立刻带回埃拉西亚吧！	我们快回埃拉西亚吧，我有非常紧急的事要向凯瑟琳王后报告。	Loren Steel	
148	你们能帮助帕尔森国王真是太好了。快把我带到凯瑟琳王后那里去，剩下的事就看我的了。	你们能帮助帕尔森国王真是太好了。快把我带到凯瑟琳王后那里去，剩下的事就看我的了。	Fake Loren Steel	
149	站住！马克汉姆爵士可不喜欢别人在这里转来转去。你们要是想找他，他的屋子就在入口的北面。	站住！马克汉姆爵士可不喜欢别人在这里转来转去。你们要是想找他，他的屋子就在入口的北面。	Markham's House Guard	
150	"我的主人，终于找到你们了。我受埃拉西亚和埃里使者的委托，有重要情报向你汇报。公证人格瑞心脏病突发身亡，我们已经调查过了，这完全是个不幸，没有任何他杀的痕迹。
现在双方的使者想马上见你，要你立刻再找一个调解人。你必须带着调解人回哈蒙代尔。他们已经达成协议，在你找到继任者之前暂时休战。"	"我的主人，终于找到你们了。我受埃拉西亚和埃里使者的委托，有重要情报向你汇报。公证人格瑞心脏病突发身亡，我们已经调查过了，这完全是个不幸，没有任何他杀的痕迹。
现在双方的使者想马上见你，要你立刻再找一个调解人。你必须带着调解人回哈蒙代尔。他们已经达成协议，在你找到继任者之前暂时休战。"		Messenger
151	哦，是哈蒙代尔的新主人，我正找你们呢！	哦，是哈蒙代尔的新主人，我正找你们呢！		Withern
152	感谢你们把光明神灯找回来，这下我们又能在神庙举行仪式了。	感谢你们把光明神灯找回来，这下我们又能在神庙举行仪式了。		Withern
153	哦，是哈蒙代尔的领主，说不定你们能帮我的忙。	哦，是哈蒙代尔的领主，说不定你们能帮我的忙。		Haldar
154	谢谢你们把哈尔代尔的遗体找回来。	谢谢你们把 哈尔代尔的遗体找回来。		Haldar
155	哈蒙代尔的领主，我需要你们帮忙！	哈蒙代尔的领主，我需要你们帮忙！		Davrick
156	谢谢你们把我的戒指封印找回来，这下我又可以做生意了。	谢谢你们把我的戒指封印找回来，这下我又可以做生意了。		Davrick
157	你们好，你们一定就是哈蒙代尔城堡的领主了。我是个历史文物的收藏家，也许你们能帮我个忙。	你们好，你们一定就是哈蒙代尔城堡的领主了。我是个历史文物的收藏家，也许你们能帮我个忙。		Norbert
158	感谢你从马克汉姆爵士那里把帕尔森的羽毛笔带回来。这下我的收藏就十全十美了。	感谢你从马克汉姆爵士那里把帕尔森的羽毛笔带回来。这下我的收藏就十全十美了。		Norbert
159	你们好，哈蒙代尔的新主人。你们有空帮我个忙吗？	啊，咱们又见面了，哈蒙代尔的领主们。		Johann
160	感谢你们把仙笛找回来！我自己可没胆子去那个地方。	感谢你们把仙笛找回来！我自己可没胆子去那个地方。		Johann
161	我的主人，我受尼尔斯·斯坦利委托，有封信带给你。你快看看吧，他可是个惹不起的大人物啊！	我这里有关于哈蒙代尔的紧急情报。一伙可恶的雇佣兵趁你不在的时候霸占了哈蒙代尔，现在正在那里作威作福呢！		Messenger
162	你们好，我的朋友。我是来跟你们谈谈有关你们和马尔维克的事，你一定还记得他吧，那是在翡翠岛的时候。 	啊，咱们又见面了。这回你们该信守诺言了吧。		Niles Stantley
163	你们好，哈蒙代尔的领主。你们能帮我们矮人族一个忙吗？	请帮助我们，整个石头城都会感激你们的。		Spark Burnkindle
164	感谢你们能帮忙干掉这些洞穴人！	感谢你们能帮忙干掉这些洞穴人！		Spark Burnkindle
165	你们好，哈蒙代尔的领主们。	你们好，哈蒙代尔的领主们。		Seth Drakkson
166	啊，你们把狮鹫都干掉了，真是太棒了。	啊，你们把狮鹫都干掉了，真是太棒了。		Seth Drakkson
167	我不想和你们多罗嗦，快滚吧！	我不想和你们多罗嗦，快滚吧！		Seth Drakkson
168	你们这么粗心大意，这次终于付出了惨重的代价。快会哈蒙代尔看看吧，那里都快被人抢光了。这次就算花钱买个教训吧，别太放在心上。	你们这么粗心大意，这次终于付出了惨重的代价。快会哈蒙代尔看看吧，那里都快被人抢光了。这次就算花钱买个教训吧，别太放在心上。		Niles Stantley
169	噢！	噢！		Baby Dragon
170	你们好，哈蒙代尔的领主们，能帮我个忙吗？	你们好，哈蒙代尔的领主们，能帮我个忙吗？		Darron Temper
171	你们好，哈蒙代尔的领主们，能占用你们几分钟吗？	你们好，哈蒙代尔的领主们，能占用你们几分钟吗？		Gary Zimm
172	"感谢你们把我从牢笼里营救出来。我从卫兵那里偷了把钥匙，还以为这下可以逃出来了，谁知这不是开这个笼子的钥匙。还好你们来了，不然我还不知道要在这里呆多久。

我现在想立刻回到我的国家去，真不知道我呆在牢中的日子里外面发生了多少事情。这下我终于可以呼吸到大自然的新鲜空气了。十分感谢你们，恩洛斯和埃拉西亚都不会忘记你的大恩大德的。"	啊，又见到你们了，上次把我从克里根手里救出来，真是太感谢你们了。要是你们有空来到恩洛斯的话，千万不要忘了来铁拳城堡作客。		Roland
173	我能占用你们几分钟吗？	我能占用你们几分钟吗？		Statuette First
174	干得好极了，我们对你非常满意。	干得好极了，我们对你非常满意。		Statuette Finished
175	你们好，哈蒙代尔的领主。欢迎光临寒舍。	啊，你们又来了，这回可要在我这儿多住些时间了。		Painting First
176	感谢你们把文物带回来，帮我了结了这桩心愿，我永远不会忘记你们的。	感谢你们把文物带回来，帮我了结了这桩心愿，我永远不会忘记你们的。		Painting Finished
177	啊，见到你们很高兴，有兴趣玩玩魔幻牌吗？	啊，见到你们很高兴，有兴趣玩玩魔幻牌吗？		Arcomage First
178	欢迎你们，玩牌冠军。	欢迎你们，玩牌冠军。		Arcomage Finished
179	欢迎你们，你们上这儿来是为了学习魔法的吗？	欢迎你们，你们上这儿来是为了学习魔法的吗？	Hint NPC In Bracada	
180	欢迎来到塞莱斯特，这里可有很多有趣的地方，多转转吧。	欢迎来到塞莱斯特，这里可有很多有趣的地方，多转转吧。	Hint NPC In Celeste	
181	欢迎你们来到地狱城！	欢迎你们来到地狱城！	Hint NPC In The Pit	
182	尼根可是个学习魔法的好地方，你们已经拜访过那些魔法大师了吗？	尼根可是个学习魔法的好地方，你们已经拜访过那些魔法大师了吗？	Hint NPC In Nighon	
183	拜尔德斯可不是一个住人的好地方。要是它还是老样子的话我可要搬到石头城去了。	拜尔德斯可不是一个住人的好地方。要是它还是老样子的话我可要搬到石头城去了。	Hint NPC in Barrow Downs	
184	泰塔利亚的天气变化无常，既有白雪皑皑的高山，又有潮湿的沼泽。	泰塔利亚的天气变化无常，既有白雪皑皑的高山，又有潮湿的沼泽。	Hint NPC in Tatalia	
185	你们好，今天过得还好吧。	你们好，今天过得还好吧。	Hint NPC in Avlee	
186	啊，是你们，哈蒙代尔的领主。我们这儿可很久没有人来了，欢迎你们。	啊，是你们，哈蒙代尔的领主。我们这儿可很久没有人来了，欢迎你们。	Hint NPC in Stone City	
187	啊，就是你们赢得了马克汉姆爵士的寻宝大赛。上次就有人进哈蒙代尔城堡想赶走里面的大耳怪，可进去后再也没有出来过，这次祝你们好运！	啊，就是你们赢得了马克汉姆爵士的寻宝大赛。上次就有人进哈蒙代尔城堡想赶走里面的大耳怪，可进去后再也没有出来过，这次祝你们好运！	Hint NPC in Harmondale	
188	欢迎来到匹尔邦特。你们要小心千万别去北面的森林，最近有好几个人在那里莫名其妙地失踪了。	欢迎来到匹尔邦特。你们要小心千万别去北面的森林，最近有好几个人在那里莫名其妙地失踪了。	Hint NPC in Tularean Forest (4)	
189	你们没看见吗！自从凯瑟琳王后掌管了格芬哈特城堡，埃拉西亚比以前太平多了。	你们没看见吗！自从凯瑟琳王后掌管了格芬哈特城堡，埃拉西亚比以前太平多了。	Hint NPC in Erathia (3)	
190	迪雅可是个学习魔法的好地方，你们已经拜访过那些魔法大师了吗？	迪雅可是个学习魔法的好地方，你们已经拜访过那些魔法大师了吗？	Hint NPC in Deyja (5)	
191	你们好，我叫奇兰，我是个打造兵器的工匠。如果你们能去找些质量上乘的矿石，我就为你们用矿石制造上好的兵器。	你们好，我叫奇兰，我是个打造兵器的工匠。如果你们能去找些质量上乘的矿石，我就为你们用矿石制造上好的兵器。	Ore for weapon	
192	欢迎你们，我叫罗伯特，是打造盔甲的工匠。如果你们能去找些质量上乘的矿石，我就为你们用矿石制造异常坚固的盔甲。	欢迎你们，我叫罗伯特，是打造盔甲的工匠。如果你们能去找些质量上乘的矿石，我就为你们用矿石制造异常坚固的盔甲。	Ore for armor	
193	欢迎你们！我叫克劳德，是制造物品的工匠，也就是制作戒指、披风、皮靴这类东西。如果你们能去找些质量上乘的矿石，我就为你们用矿石制造一些具有魔力的物品。	欢迎你们！我叫克劳德，是制造物品的工匠，也就是制作戒指、披风、皮靴这类东西。如果你们能去找些质量上乘的矿石，我就为你们用矿石制造一些具有魔力的物品。	Ore for misc	
194	站住，你们还没缴纳亡灵巫师税呢！你们只要付我一千个金币，就能保证你们以后一路平安，畅通无阻。	站住，你们还没缴纳亡灵巫师税呢！你们只要付我一千个金币，就能保证你们以后一路平安，畅通无阻。	Ambush	
195	想挣些小钱吗？我一直买进图拉利昂的木料，卖出箭头，靠其中的差价挣钱，你们倒可以帮我点忙。放心，我不会让你们白干活的。	你们有图拉利昂的木料吗？我一直买进图拉利昂的木料，卖出箭头，靠其中的差价挣钱。	Trading Triangle 1 1	
196	或许我们可以合作一下。我一直靠买进箭头，卖出狮鹫羽毛，靠其中的差价赚钱。	你有箭头吗？我一直靠买进箭头，卖出狮鹫羽毛，靠其中的差价赚钱。	Trading Triangle 1 2	
197	想挣些小钱吗？我一直买进狮鹫羽毛，卖出图拉利昂木料，靠其中的差价挣钱，你们倒可以帮我点忙。放心，我不会让你们白干活的。	你们有狮鹫羽毛吗？我一直买进狮鹫羽毛，卖出图拉利昂木料，靠其中的差价挣钱。	Trading Triangle 1 3	
198	你们好！想挣些小钱吗？我一直买进恩洛斯的美酒，卖出矿砂，靠其中的差价挣钱，你们倒可以帮我点忙。放心，我不会让你们白干活的。	你有恩洛斯的美酒吗？我一直买进恩洛斯的美酒，卖出矿砂，靠其中的差价挣钱。	Trading Triangle 2 1	
199	想挣些小钱吗？我一直买进矿砂，卖出玻璃瓶，靠其中的差价挣钱，你们倒可以帮我点忙。放心，我不会让你们白干活的。	你们好！我一直买进矿砂，卖出玻璃瓶，靠其中的差价挣钱。	Trading Triangle 2 2	
200	你们好！想挣些小钱吗？我一直买进玻璃瓶，卖出恩洛斯的美酒，靠其中的差价挣钱，你们倒可以帮我点忙。放心，我不会让你们白干活的。	你们有玻璃瓶吗？我一直买进玻璃瓶，卖出恩洛斯的美酒，靠其中的差价挣钱。	Trading Triangle 2 3	
201	"你收到一份电报，全文如下：                                                               我的主人。我叫阿基巴德·艾恩法斯特。你大概听说过我，我以前是尼根地狱城的统治者。现在我已经退位了，决心不再关心什么国家大事了。虽然我们从前是对手，但我现在有件事想求你帮忙，作为回报，我以后将尽力为你效劳。
我最近有了一个新的实验室，通过里面的设备，我发现我的兄弟罗兰德，也就是埃拉西亚的凯瑟琳王后的丈夫竟然还活着，被关在克里根的巢穴里。我听说你正要收拾这帮恶魔，我希望你能顺便把他救出来，他已经偷到了克里根首领住的房间的钥匙，或许这会对你有用。
看到我兄弟现在的处境我很难受，请你无论如何要把他营救出来。这件武器你也许用得着，这是我的一个部下珍藏多年的物品，希望它能助你一臂之力。"	"你收到一份电报，全文如下：                                                               我的主人。我叫阿基巴德·艾恩法斯特。你大概听说过我，我以前是尼根地狱城的统治者。现在我已经退位了，决心不再关心什么国家大事了。虽然我们从前是对手，但我现在有件事想求你帮忙，作为回报，我以后将尽力为你效劳。
我最近有了一个新的实验室，通过里面的设备，我发现我的兄弟罗兰德，也就是埃拉西亚的凯瑟琳王后的丈夫竟然还活着，被关在克里根的巢穴里。我听说你正要收拾这帮恶魔，我希望你能顺便把他救出来，他已经偷到了克里根首领住的房间的钥匙，或许这会对你有用。
看到我兄弟现在的处境我很难受，请你无论如何要把他营救出来。这件武器你也许用得着，这是我的一个部下珍藏多年的物品，希望它能助你一臂之力。"	"Archibald contacts party, and party is good (Roland quest)"	
202	"你收到一份电报，全文如下：                                                               我的朋友，我知道你正和我原来的部下合作，现在我有件事想求你帮忙，希望你能答应。
我最近有了一个新的实验室，通过里面的设备，我发现我的兄弟罗兰德，也就是埃拉西亚的凯瑟琳王后的丈夫竟然还活着，被关在克里根的巢穴里。我听说你正要收拾这帮恶魔，我希望你能顺便把他救出来，他已经偷到了克里根首领住的房间的钥匙，或许这会对你有用。
看到我兄弟现在的处境我很难受，请你无论如何要把他营救出来。这件武器你也许用得着，这是我的一个部下珍藏多年的物品，希望它能助你一臂之力。"	"你收到一份电报，全文如下：                                                               我的朋友，我知道你正和我原来的部下合作，现在我有件事想求你帮忙，希望你能答应。
我最近有了一个新的实验室，通过里面的设备，我发现我的兄弟罗兰德，也就是埃拉西亚的凯瑟琳王后的丈夫竟然还活着，被关在克里根的巢穴里。我听说你正要收拾这帮恶魔，我希望你能顺便把他救出来，他已经偷到了克里根首领住的房间的钥匙，或许这会对你有用。
看到我兄弟现在的处境我很难受，请你无论如何要把他营救出来。这件武器你也许用得着，这是我的一个部下珍藏多年的物品，希望它能助你一臂之力。"	"Archibald contacts party, and party is evil (Roland quest)"	
203	站住！石头城此处闲人不得进入。你们要是找国王贺斯法的宫殿，可以去东面看看。	站住！石头城此处闲人不得进入。你们要是找国王贺斯法的宫殿，可以去东面看看。	Guard Stone City	
204	你们好，哈蒙代尔的领主，今天过得还好吧。	你们好，哈蒙代尔的领主，今天过得还好吧。	Goblin spy	
205	啊，是你们，寻宝比赛的优胜者，怎么又回来了。你们该不会是要把哈蒙代尔城堡退给我吧。咱们合同上写的清清楚楚，一旦你们拥有了城堡，是不允许反悔的。现在你们后悔也已经晚了。还是赶快去你们的城堡看看吧。如果你们还有什么困难，尽管说吧！	哦，你们又回来了，怎么这副样子，根本不象哈蒙代尔的领主，一点也没有贵族气派。唉，老人们常说“江山易改，本性难移”。你们还是这副吊儿郎当的样子，简直是丢我的脸。		


			贺斯法九世
