Q Bit	Quest Note Text	Notes	Owner
611		Chose the path of Light	Bryan
612		Chose the path of Dark	Bryan
613	Complete the Walls of Mist without killing a single opponent and return to Gavin Magnus in Castle Lambent in Celeste.		Bryan
614		Completed Proving Grounds without killing a single creature	Bryan
615	Retrieve the altar piece from the Temple of Light in Celeste and the Temple of Dark in the Pit and return them to Resurectra in Castle Lambent in Celeste.		Bryan
616	Go to Colony Zod in the Land of the Giants and slay Xenofex then return to Resurectra in Castle Lambent in Celeste.	0	Bryan
617		Slayed Xenofex	0
618	Investigate the Wine Cellar in Tatalia and return to Crag Hack in Castle Lambent in Celeste.	0	Bryan
619		Slayed the vampire	0
620	Retrieve the Case of Soul Jars from Castle Gloaming in the Pit and return to Sir Caneghem in Celeste.	0	Bryan
621	Assassinate Tolberti in his house in the Pit and return his control cube to Robert the Wise in Celeste.	0	Bryan
622		Finished Necro Proving Grounds	Bryan
623		Finished Necro Task 2 - Temple of Light	Bryan
624		Finished Necro Task 3 - Soul Jars	Bryan
625		Finished Necro Task 4 - Clanker's Lab	Bryan
626		Finished Wizard Proving Grounds	Bryan
627		Finished Wizard Task 2 - Temple of Dark	Bryan
628		Finished Wizard Task 3 - Wine Cellar	Bryan
629		Finished Wizard Task 4 - Soul Jars	Bryan
630		Killed Good MM3 Person	Bryan
631		Killed Evil MM3 Person	Bryan
632		Got Hive part	Bryan
633		Got the sci-fi part	Bryan
634	Retrieve the altar piece from the Temple of Light in Celeste and the Temple of Dark in the Pit and return them to Kastore in the Pit.	0	Bryan
635	Go to Colony Zod in the Land of the Giants and slay Xenofex then return to Kastore in the Pit.	0	Bryan
636	Retrieve the Case of Soul Jars from the Warlocks in Thunderfist Mountain and bring them to Maximus in the Pit.	0	Bryan
637	Destroy the magical defenses inside Clanker's Laboratory and return to Dark Shade in the Pit.	0	Bryan
638		Destroyed the magical defenses in Clanker's Lab	0
639	Assassinate Robert the Wise in his house in Celeste and return to Tolberti in the Pit.	0	Bryan
640	Complete the Breeding Zone and return to Archibald in the Pit.	0	Bryan
641		Completed Breeding Pit.	0
642	Go to the Lincoln in the sea west of Avlee and retrieve the Oscillation Overthruster and return it to Resurectra in Celeste.	0	0
643	Go to the Lincoln in the sea west of Avlee and retrieve the Oscillation Overthruster and return it to Kastore in the Pit.	0	0
644		Butler only shows up once (area 2)	Pete
645		Player castle timer only happens once	Pete
646		Arbiter Messenger only happens once	Pete
647		Player castle goblins are all dead	Riki
648		Party doesn't come back to Out01 temple anymore	Bryan
649		Artifact Messenger only happens once	Riki
650		Killed specific monster (Armsmaster GM quest) - important for Bob	Bryan
651		Completed fountain quest (Water Magic GM) - important for Bob	Bryan
652		Cleaned out the haunted mansion (Cavalier promo)	Bryan
653		"Only give Markham's vase once (Markham's manor, Thief promo)."	Bryan
654		Killed all monsters in Haunted mansion	Bryan
655		Killed all monsters in Bandit cave	Bryan
656		Alice Hargreaves in building only once	Bryan
657		Membership to the School of Sorcery Scroll Shop	Bryan
658	Talk to the Dwarves in Stone City in the Barrow Downs to find a way to repair Castle Harmondale.	0	0
659		Gave artifact to arbiter	Bryan
660		Got Lich Jar from Walls of Mist	Bryan
661		Got Lich Jar from Thunderfist Mountain	Bryan
662		Got Lich Jar from Castle Gloaming	Bryan
663	"Enter the Pit from the Hall of the Pit in the Deyja Moors, then talk to Archibald in Castle Gloaming in the Pit."	0	0
664	"Enter Celeste from the grand teleporter in the Bracada Desert, then talk to Gavin Magnus in Castle Lambent in Celeste."	0	0
665	Choose a judge to succeed Judge Grey as Arbiter in Harmondale.	0	0
666		Got Scroll of Waves	0
667	Retrieve the Lantern of Light from the Barrow Downs and return it to Tarin Withern in Harmondale.	Barrow Lantern Quest	James
668	Retrieve Haldar's Remains from the Maze in Nighon and return them to Mazim Dusk in Nighon.	Haldar's Remains Quest	James
669	Retrieve Davrik's Signet ring from the Bandit Caves in the northeast of Erathia and return it to Davrik Peladium in Harmondale.	Davrik's Ring Quest	James
670	Take Sealed Letter to Lord Markham in Lord Markham's Manor in Tatalia for collector Norbert Thrush.		James
671	Return Parson's Quill to Norbert Thrush in Erathia.		James
672		Got Signet ring out of chest	Tim
673		Got magic dust out of chest 	Tim
674		Got lantern of light	Tim
675		Got perfect bow out of chest	Tim
676		Visited Obelisk in Area 2	Riki
677		Visited Obelisk in Area 3	Riki
678		Visited Obelisk in Area 4	Riki
679		Visited Obelisk in Area 5	Riki
680		Visited Obelisk in Area 6	Riki
681		Visited Obelisk in Area 7	Riki
682		Visited Obelisk in Area 8	Riki
683		Visited Obelisk in Area 9	Riki
684		Visited Obelisk in Area 10	Riki
685		Visited Obelisk in Area 11	Riki
686		Visited Obelisk in Area 12	Riki
687		Visited Obelisk in Area 13	Riki
688		Visited Obelisk in Area 14	Riki
689		Visited Obelisk in Area 39	Riki
690		Open final Obelisk Chest	Riki
691	Take the sealed letter to the Faerie King in the Hall under the Hill in Avlee.		Bryan
692	Take the Faerie Pipes to Johann Kerrid in the Tularean Forest.		Bryan
693	Go to the Mercenary Guild in Tatalia and talk to Niles Stantley within two weeks.	Goto Merc Guild	Bryan
694	Steal the Tapestry from your associate's Castle and return it to Niles Stantley in the Mercenary Guild in Tatalia.	Do the Merc Guild Quest	Bryan
695		Failed either goto or do guild quest	Bryan
696		Killed all castle monsters	Bryan
697		Killed all outdoor monsters	Bryan
698	Kill all the Troglodytes underneath Stone City and return to Spark Burnkindle in Stone City.	0	Bryan
699	Kill all the Griffins in Erathia and the Bracada Desert and return to Seth Drakkson in the Deyja Moors.	0	Bryan
700		Killed all Erathian Griffins	Bryan
701		Killed all Bracada Desert Griffins	Bryan
702		Finished with Malwick & Assc.	Riki
703		Turn on map in mdtXX(Dwarven Barrow)	Riki
704		Turn on map in mdkXX(Dwarven Barrow)	Riki
705		Turn on map in mdrXX(Dwarven Barrow)	Riki
706	"Find the fate of Darron's brother in the White Cliff Caves, then return to Darron Temper in Harmondale."	0	0
707	Retrieve the Seasons' Stole from the Hall of the Pit and return it to Gary Zimm in the Bracada Desert.	0	0
708		Find second entrance to Watchtower6	James
709		Entered Faerie Mound	James
710		Archibald in Clankers Lab now	0
711		Take the Associate's Tapestry	0
712	"Retrieve the three statuettes and place them on the shrines in the Bracada Desert, Tatalia, and Avlee, then return to Thom Lumbra in the Tularean Forest."		0
713		Placed item 617 in out14(statue)	0
714		Place item 618 in out13(statue)	0
715		Place item 619 in out06(statue)	0
716	Retrieve the three paintings and return them to Ferdinand Visconti in Tatalia.	0	0
717	"Win a game of Arcomage in all thirteen taverns, then return to Gina Barnes in Erathia."	0	0
718		TP Buff Harmondale	0
719		TP Buff Erathia	0
720		TP Buff Tularean Forest	0
721		TP Buff Celeste	0
722		TP Buff The Pit	0
723		TP Buff Nighon	0
724		Vase - I lost it	0
725		Dagger - I lost it	0
726		Scroll of Waves - I lost it	0
727		Cipher - I lost it	0
728		Worn Belt - I lost it	0
729		Heart of Wood - I lost it	0
730		Map to Evenmorn - I lost it	0
731		Golem Head - I lost it	0
732		Abby normal head - I lost it	0
733		Right arm - I lost it	0
734		Left arm - I lost it	0
735		Right leg - I lost it	0
736		Left leg - I lost it	0
737		Torso - I lost it	0
738		Book of Divine Intervention - I lost it	0
739		Dragon Egg - I lost it	0
740		Dwarf Bones - I lost it	0
741		Lich Jar (Empty) - I lost it	0
742		Elixir - I lost it	0
743		Lich Jar Case - I lost it	0
744		Altar Piece (Good) - I lost it	0
745		Altar Piece (Evil) - I lost it	0
746		Control Cube - I lost it	0
747		Wetsuit - I lost it	0
748		Final Part - I lost it	0
749		Lich Jar (Full) - I lost it	0
750		Won all Arcomage games	0
751		Got the Divine Intervention	0
752		Talked to Roland	0
753		Perfect bow - I lost it	0
754		Opened chest with shadow mask	0
755		Killed High Preist of Baa	0
756		Finished ArcoMage Quest - Get the treasure	0
757	Congratulations	For Blinging	0
758		Visited The Land of the giants	0
759		Control Cube only once	0
760		Took area 2 hill fort	0
761		Don't get ambushed	0
762		Bought Item 1	0
763		Bought Item 2	0
764		Bought Item 3	0
765		Bought Item 4	0
766		Bought Item 5	0
767		Bought Item 6	0
768		Can't keep buying 1	0
769		Can't keep buying 2	0
770		Can't keep buying 3	0
771		Can't keep buying 4	0
772		Can't keep buying 5	0
773		Can't keep buying 6	0
774		Time for Gobs to appear in area 2(raiding camp)	0
775		Area 12 Archibald only once	0
776		Took Roland Painting	0
777		Took Archi Painting	0
778		Took Angel Painting	0
779		South Signal Fire Out02	0
780		North Signal Fire Out02	0
781		West Siganl Fire Out02	0
782		Your friends are mad at you 	0
783		Finished MM7 Story	
784		Finished MM6 Story	0
785	0	0	0
786	0	0	0
787	0	0	0
788	0	0	0
789	0	0	0
790	0	0	0
791	0	0	0
792	0	0	0
793	0	0	0
794	0	0	0
795	0	0	0
796	0	0	0
797	0	0	0
798	0	0	0
799	0	0	0
800	0	0	0
801	0	0	0
802	0	0	0
803	0	0	0
804	0	0	0
805	0	0	0
806	0	0	0
807	0	0	0
808	0	0	0
809	0	0	0
810	0	0	0
811	0	0	0
812	0	0	0
813	0	0	0
814	0	0	0
815	0	0	0
816	0	0	0
817	0	0	0
818	0	0	0
819	0	0	0
820	0	0	0
821	0	0	0
822	0	0	0
823	0	0	0
824	0	0	0
825	0	0	0
826	0	0	0
827	0	0	0
828	0	0	0
829	0	0	0
830	0	0	0
831	0	0	0
832	0	0	0
833	0	0	0
834	0	0	0
835	0	0	0
836	0	0	0
837	0	0	0
838	0	0	0
839	0	0	0
840	0	0	0
841	0	0	0
842	0	0	0
843	0	0	0
844	0	0	0
845	0	0	0
846	0	0	0
847	0	0	0
848	0	0	0
849	0	0	0
850	0	0	0
851	0	0	0
852	0	0	0
853	0	0	0
854	0	0	0
855	0	0	0
856	0	0	0
857	0	0	0
858	0	0	0
859	0	0	0
860	0	0	0
861	0	0	0
862	0	0	0
863	0	0	0
864	0	0	0
865	0	0	0
866	0	0	0
867	0	0	0
868	0	0	0
869	0	0	0
870	0	0	0
871	0	0	0
872	0	0	0
873	0	0	0
874	0	0	0
875	0	0	0
876	0	0	0
877	0	0	0
878	0	0	0
879	0	0	0
880	0	0	0
881	0	0	0
882	0	0	0
883	0	0	0
884	0	0	0
885	0	0	0
886	0	0	0
887	0	0	0
888	0	0	0
889	0	0	0
890	0	0	0
891	0	0	0
892	0	0	0
893	0	0	0
894	0	0	0
895	0	0	0
896	0	0	0
897	0	0	0
898	0	0	0
899	0	0	0
900	0	0	0
901	0	0	0
902	0	0	0
903	0	0	0
904	0	0	0
905	0	0	0
906	0	0	0
907	0	0	0
908	0	0	0
909	0	0	0
910	0	0	0
911	0	0	0
912	0	0	0
913	0	0	0
914	0	0	0
915	0	0	0
916	0	0	0
917	0	0	0
918	0	0	0
919	0	0	0
920	0	0	0
921	0	0	0
922	0	0	0
923	0	0	0
924	0	0	0
925	0	0	0
926	0	0	0
927	0	0	0
928	0	0	0
929	0	0	0
930	0	0	0
931	0	0	0
932	0	0	0
933	0	0	0
934	0	0	0
935	0	0	0
936	0	0	0
937	0	0	0
938	0	0	0
939	0	0	0
940	0	0	0
941	0	0	0
942	0	0	0
943	0	0	0
944	0	0	0
945	0	0	0
946	0	0	0
947	0	0	0
948	0	0	0
949	0	0	0
950	0	0	0
951	0	0	0
952	0	0	0
953	0	0	0
954	0	0	0
955	0	0	0
956	0	0	0
957	0	0	0
958	0	0	0
959	0	0	0
960	0	0	0
961	0	0	0
962	0	0	0
963	0	0	0
964	0	0	0
965	0	0	0
966	0	0	0
967	0	0	0
968	0	0	0
969	0	0	0
970	0	0	0
971	0	0	0
972	0	0	0
973	0	0	0
974	0	0	0
975	0	0	0
976	0	0	0
977	0	0	0
978	0	0	0
979	0	0	0
980	0	0	0
981	0	0	0
982	0	0	0
983	0	0	0
984	0	0	0
985	0	0	0
986	0	0	0
987	0	0	0
988	0	0	0
989	0	0	0
990	0	0	0
991	0	0	0
992	0	0	0
993	0	0	0
994	0	0	0
995	0	0	0
996	0	0	0
997	0	0	0
998	0	0	0
999	0	0	0
1000	0	0	0
1001	0	0	0
1002	0	0	0
1003	0	0	0
1004	0	0	0
1005	0	0	0
1006	0	0	0
1007	0	0	0
1008	0	0	0
1009	0	0	0
1010	0	0	0
1011	0	0	0
1012	0	0	0
1013	0	0	0
1014	0	0	0
1015	0	0	0
1016	0	0	0
1017	0	0	0
1018	0	0	0
1019	0	0	0
1020	0	0	0
1021	0	0	0
1022	0	0	0
1023	0	0	0
1024	0	0	0
1025		" 1 D09, key to open D05"	" D09, key to open D05"
1026		" 2 D11, given for glass shard for staff of terrax quest"	" D11, given for glass shard for staff of terrax quest"
1027		" 3 D06, given when harp is recovered"	" D06, given when harp is recovered"
1028		" 4 D10, given when you retreive artifact from chest"	" D10, given when you retreive artifact from chest"
1029		" 5 D18, questbit for getting hourglass"	" D18, questbit for getting hourglass"
1030		" 6 T3, given when you rescue prisoner"	" T3, given when you rescue prisoner"
1031		" 7 T5, when you are promoted to archdruid"	" T5, when you are promoted to archdruid"
1032		" 8 T7, given when you find the smoking gun"	" T7, given when you find the smoking gun"
1033		" 9, CD2, given when you destroy Lich book"	" CD2, given when you destroy Lich book"
1034		Tim	"Sewer, Capture Prince of Thieves."
1035		"11 D7, opens tomb in D18."	"D7, opens tomb in D18."
1036		"12 D3, given when you save Mom."	"D3, given when you save Mom."
1037		"13 D13, given when you save the damsel, Melody Silver, in D7."	"D13, given when you save the damsel, Melody Silver, in D7."
1038		"14 D6, given when Message 504 given out."	"D6, given when Message 504 given out."
1039		"15 D7, given when chest with evidence for Constable opened."	"D7, given when chest with evidence for Constable opened."
1040		"16 D17, given when party is turned into Werewolves."	"D17, given when party is turned into Werewolves."
1041		"17 D17, given when wolf altar is destroyed."	"D17, given when wolf altar is destroyed."
1042		"18 D17, given when party buries torture victims."	"D17, given when party buries torture victims."
1043		"19 D17, given when party buries more torture victims."	"D17, given when party buries more torture victims."
1044		"20 D17, given when party digs up tiger statue quest item."	"D17, given when party digs up tiger statue quest item."
1045		"21 T2, Given when evil crystal is destroyed"	"T2, Given when evil crystal is destroyed"
1046		"22 D05, Given to find Snergles axe"	"D05, Given to find Snergles axe"
1047		"23 D13, Given when Altar is desecrated"	"D13, Given when Altar is desecrated"
1048		"24 D14, Given to find Ethrics Skull"	"D14, Given to find Ethrics Skull"
1049		"25 D15, Given to find merchants White pearl"	"D15, Given to find merchants White pearl"
1050		"26 D19, Given to find White witches crown"	"D19, Given to find White witches crown"
1051		"27 D05, Given when axe is returned (so door can't be opened)"	"D05, Given when axe is returned (so door can't be opened)"
1052		Dave	
1053		Dave	
1054		Dave	
1055		"31 D02, given when spider quest is completed"	"D02, given when spider quest is completed"
1056		"32 D02, given when kid is rescued"	"D02, given when kid is rescued"
1057		"33 D02, given when egg quest is assigned"	"D02, given when egg quest is assigned"
1058		"34 D02, given when temple of Baa relic is found"	"D02, given when temple of Baa relic is found"
1059		35 D17 Brought back Black Pearl and Ghost will no longer show up.	Brought back Black Pearl and Ghost will no longer show up.
1060		"36 D02, given when bat quano is harvested"	"D02, given when bat quano is harvested"
1061		"37 D02, is given when you get all the dead guys"	"D02, is given when you get all the dead guys"
1062		"38 T07, given when you find the smoking gun"	"T07, given when you find the smoking gun"
1063		"39 CD2, given when you find the oracle gem"	"CD2, given when you find the oracle gem"
1064		"40 CD2, given when you get the knowledge to become a lich"	"CD2, given when you get the knowledge to become a lich"
1065		Bruce	
1066		Bruce	
1067		Bruce	
1068		Bruce	
1069		Bruce	
1070		Bruce	
1071		Bruce	
1072		Bruce	
1073		Bruce	
1074		Bruce	
1075		"51 T4, Given when characters find Silver Chalice."	"T4, Given when characters find Silver Chalice."
1076		"52 D16, Given when characters find the Eagle Statuette"	"D16, Given when characters find the Eagle Statuette"
1077		"53 T6, Given when characters take the Oracle Crystal from the altar."	"T6, Given when characters take the Oracle Crystal from the altar."
1078		Chris	
1079		Chris	
1080		Chris	
1081		Chris	
1082		Chris	
1083		Chris	
1084		Chris	
1085		Peter	
1086		Peter	
1087		Peter	
1088		Peter	
1089		Peter	
1090		Peter	
1091		Peter	
1092		Peter	
1093		Peter	
1094		Peter	
1095		Walt	Given when doors unwarded in D4.
1096		Walt	"D20, given when 1st artifact chest opened"
1097		Walt	"D20, given when 2nd artifact chest opened"
1098		Walt	"D17, given when message scroll 517 given out"
1099		Lisa	
1100		Lisa	
1101		Lisa	
1102		Lisa	
1103		Lisa	
1104		Lisa	
1105	Show Sulman's letter to Andover Potbello in New Sorpigal.	Set when the party starts	Show Sulman's letter to Andover Potbello in New Sorpigal
1106	Bring Sulman's letter to Regent Wilbur Humphrey at Castle Ironfist.	Set by Andover after you show him the letter	Bring Sulman's letter to Regent Wilbur Humphrey at Castle Ironfist
1107	Find the Combination to the vault door in Goblinwatch and return to the Town Hall in New Sorpigal.	Set by Town Hall	Find the Combination to the vault door in Goblinwatch
1108	Get the Chime of Harmony from the Temple of Baa and return to the New Sorpigal Town Hall.	Paul	Destroy the Altar of Evil in the Temple of Baa and return with the Chime of Harmony
1109		Paul	Discovered Combination in Goblin Watch
1110	Find Lord Kilburn's Shield and return to Wilbur Humphrey in Castle Ironfist to report.	Paul	Find Lord Kilburn's Shield
1111		Paul	Talked to Traitor
1112	Rescue a Damsel in Distress and return with her to Wilbur Humphrey in Castle Ironfist.	Paul	Rescue a Damsel in Distress
1113	Slay Longfang Witherhide in his cave near Castle Darkmoor and return to Wilbur Humphrey in Castle Ironfist.	Paul	Slay Longfang Witherhide
1114	Entertain Nicolai.	Paul	Entertain Nicolai
1115		91 D12 John Silver only talks to you once.	D12 John Silver only talks to you once.
1116		"92 D17, Given when Paladin Ghost tells party where Tiger Statue is."	"D17, Given when Paladin Ghost tells party where Tiger Statue is."
1117		"93 D17, Used when QB 18 corpses buried."	"D17, Used when QB 18 corpses buried."
1118		"94 D17, Used when QB 19 corpses buried."	"D17, Used when QB 19 corpses buried."
1119	Find and return Prince Nicolai to Castle Ironfist.	Walt	Find and return the Prince
1120	Find the Third Eye and bring it to Prince Nicolai in Castle Ironfist.	Walt	Find the Third Eye
1121		Walt	Dark Containment quest taken by Archibald in Library
1122	Capture the Prince of Thieves and bring him to Lord Anthony Stone at Castle Stone.	NPC	Capture the Prince of Thieves
1123		Oracle	
1124		Oracle	"Oracle, when memory crystal alpha inserted"
1125		Oracle	"Oracle, when memory crystal beta inserted"
1126		Oracle	"Oracle, when memory crystal delta inserted"
1127		Oracle	"Oracle, when memory crystal epsilon inserted"
1128		CD3	Given when you get memory crystal epsilon
1129	"Hire a Stonecutter and a Carpenter, bring them to Temple Stone in Free Haven to repair the Temple, and then return to Lord Anthony Stone at Castle Stone."	NPC	Rebuild Temple Stone
1130		NPC	Rebuilt Temple Stone Complete
1131	"Take the Sacred Chalice from the monks in their island temple east of Free Haven, return it to Temple Stone in Free Haven, and then return to Lord Stone at Castle Stone."	NPC	Find and replace the Sacred Chalice
1132		NPC	Placed Chalice in Temple
1133		NPC	Marton Ferris sets cleric quest
1134	Find and return the Hourglass of Time to Lord Albert Newton in Mist.	NPC	Retrieve the Hourglass of Time
1135	Drink from the Fountain of Magic and return to Lord Albert Newton in Mist.	NPC	Drink from the Fountain of Magic
1136	Retrieve the Crystal of Terrax and return to Lord Albert Newton in Mist.	NPC	Retrieve the Crystal of Terrax
1137	Destroy the Devil's Outpost and return to Lord Osric Temper at Castle Temper.	NPC	Destroy the Devil's Outpost
1138	Get Knight's nomination from Chadwick and return to Lord Osric Temper at Castle Temper.	NPC	Get nomination from Chadwick
1139	Defeat the Warlord and bring proof to Osric Temper	NPC	Defeat the Warlord
1140	Fix the prices of all 9 stables in the Kingdom and return to Lady Fleise in Silver Cove.	NPC	Fix the prices of all the stables in the Kingdom
1141		NPC	visited all the stables for price fixing quest
1142	Visit the Altar of the Sun in the circle of stones north of Silver Cove on an equinox or solstice (HINT:  March 20th is an equinox).	NPC	Visit the Altar of the Sun on an equinox or solstice
1143	Visit the Altar of the Moon in the Temple of the Moon at midnight of a full moon.	NPC	Visit the Altar of the Moon at midnight of a full moon
1144	"End winter for Lord Stromgard at Castle Stromgard, and return to him with the good news."	NPC	End winter for Lord Stromgard
1145	"Retrieve the key to the Dragon Towers from Icewind Keep south of Whitecap, and bring it to Lord Stromgard at Castle Stromgard."	NPC	Retrieve the key to the Dragon Towers
1146	Reset all of the Dragon Towers at each town and return to Lord Stromgard in Castle Stromgard.	NPC	Reset all of the Dragon Towers
1147		NPC	visited all the towers
1148	Kill Snergle in Snergle's Caverns and return with his axe to Avinril Smythers at The Haunt tavern in the Mire of the Damned.	NPC	Kill Snergle and return with his axe
1149	Storm the Silver Helm Outpost near Mist and return with evidence of their corruption to the Constable of Mist.	NPC	silver helms are bad quest
1150	Retrieve the candelabra from the Abandoned Temple for Andover Potbello in New Sorpigal.	NPC	Retrieve the candelabra for Andover Potbello
1151		NPC	rescued melody
1152	Retrieve the harp from the Dragoon's Caverns south of Castle Ironfist and return it to Andrew Besper in Castle Ironfist.	NPC	Retreive Andrew Besper's harp 
1153	Retrieve Ethric's skull from his tomb west of Free Haven for Gabriel Cartman in Free Haven.	NPC	Retrieve Ethric's skull for Gabriel Cartman in Free Haven
1154	Kill the Queen of the Spiders in the Abandoned Temple in New Sorpigal and return with her heart to Buford T. Allman in New Sorpigal.	NPC	kill the queen of the spiders
1155	Deface the altar in the Monolith west of Silver Cove and return to Eleanor Vanderbilt in Silver Cove.	NPC	deface the altar quest
1156		NPC	successfully defaced the altar bit
1157		NPC	bat guano quest
1158	Destroy the crystal in the Temple of the Fist and return to Winston Schezar in Bootleg Bay.	NPC	give destroy crystal quest
1159		NPC	destroyed the crystal bit
1160	Rescue Emmanuel from the Temple of the Snake near Blackshire and return him to Joanne Cravitz in Blackshire.	NPC	find the husband quest
1161	Find the lost artifact in the Dragoons' Keep near Castle Temper and return it to Zoltan Phelps in Free Haven.	NPC	give retrieve lost artifact quest
1162	Rescue Sharry from the Shadow Guild Hideout and return with her to Frank Fairchild in New Sorpigal.	NPC	save sharry quest
1163	Rescue Angela from the Abandoned Temple and return her to Violet Dawson in New Sorpigal.	NPC	save angela quest
1164	Rescue Sherell from the cannibals on the islands east of Free Haven and return with her to Carlo Tormini in Free Haven.	NPC	rescue the prisoner quest
1165	Destroy the Werewolf's altar in the Lair of the Wolf and return to Maria Trepan in Blackshire.	NPC	werewolf quest
1166		NPC	set pearl active
1167	"Find the Pearl of Putrescence in the Lair of the Wolf and bring it to the Ghost of Balthasar, also in the Lair of the Wolf."	NPC	give pearl quest
1168	Retrieve the jewelled egg from Castle Kriegspire and return it to Emil Lime in Kriegspire village.	NPC	give egg quest
1169	"Unward the doors in the Hall of the Fire Lord and return to the Lord of Fire, also in the Hall of the Fire Lord."	NPC	unward the doors quest
1170		NPC	unwarded the doors for fire lord
1171		NPC	visited stable 1
1172		NPC	visited stable 2
1173		NPC	visited stable 3
1174		NPC	visited stable 4
1175		NPC	visited stable 5
1176		NPC	visited stable 6
1177		NPC	visited stable 7
1178		NPC	visited stable 8
1179		NPC	visited stable 9
1180		NPC	dragon tower 1
1181		NPC	dragon tower 2
1182		NPC	dragon tower 3
1183		NPC	dragon tower 4
1184		NPC	dragon tower 5
1185		NPC	dragon tower 6
1186	Find Memory Crystal Alpha in the Supreme Temple of Baa and restore it to a module altar at the Oracle beneath the High Council..	NPC	Restore Memory Crystal Alpha
1187	Find Memory Crystal Beta in Castle Alamos and restore it to a module altar at the Oracle beneath the High Council.	NPC	Restore Memory Crystal Beta
1188	Find Memory Crystal Delta in Castle Darkmoor and restore it to a module altar at the Oracle beneath the High Council.	NPC	Restore Memory Crystal Delta
1189	Find Memory Crystal Epsilon in Castle Kriegspire and restore it to a module altar at the Oracle beneath the High Council.	NPC	Restore Memory Crystal Epsilon
1190	Retrieve the Control Cube from the Tomb of Varn in Dragonsand and return to the Oracle beneath the High Council.	NPC	Retrieve the Control Cube
1191		NPC	satisfied the council and exposed the traitor (you're allowed in)
1192		NPC	exposed the traitor
1193		NPC	you have the cube and are allowed to enter the sci fi dungeon
1194		NPC	captured the prince of thieves
1195		NPC	rescued melody silver
1196		NPC	talked to the monk in d7
1197		NPC	promoted to great druid
1198		NPC	promoted to arch druid
1199		NPC	ended winter
1200		NPC	teleporter pad from T6 to Free Haven sewer activated.
1201		NPC	Freed Archibald
1202		NPC	Visited C2
1203		NPC	Visited D1
1204		NPC	killed the reactor
1205		Quest item bits for seer	Sixth Letter
1206		Quest item bits for seer	Kilburn's Shield
1207		Quest item bits for seer	Houglass of Time
1208		Quest item bits for seer	Devil Plans
1209		Quest item bits for seer	Dragon Claw
1210		Quest item bits for seer	Crystal of Terrax
1211		Quest item bits for seer	Discharge Papers
1212		Quest item bits for seer	Sacred Chalice
1213		Quest item bits for seer	Dragon Tower Keys
1214		Quest item bits for seer	Smoking Gun
1215		Quest item bits for seer	Memory Crystal Alpha
1216		Quest item bits for seer	Memory Crystal Beta
1217		Quest item bits for seer	Memory Crystal Delta
1218		Quest item bits for seer	Memory Crystal Epsilon
1219		Quest item bits for seer	Control Cube
1220		Quest item bits for seer	Third Eye
1221		Quest item bits for seer	Tanir's Bell
1222		Quest item bits for seer	Dark Containment
1223		Quest item bits for seer	Key to Gharik's Laboratory
1224	Find a cure for Slicker Silvertongue in the Superior Temple of Baa east of Castle Kriegspire and return to Wilbur Humphrey with the good news.	Wilbur Humphrey	Expose the Traitor Quest
1225	Bring the the letter detailing Silvertongue's treason to the High Council in Free Haven.	NPC	
1226		NPC	Killed Demon Queen
1227		NPC	Once Emmanuel is found.
1228	Find and destroy the Book of Liches in Castle Darkmoor and return to Terry Ros in Darkmoor village.	NPC	Lich Quest
1229		NPC	Seer quest - On the quest for this month
1230		NPC	Seer quest - Completed the quest this month
1231		NPC	Seer quest - Finished January at least once
1232		NPC	Seer quest - Finished February at least once
1233		NPC	Seer quest - Finished March at least once
1234		NPC	Seer quest - Finished April at least once
1235		NPC	Seer quest - Finished May at least once
1236		NPC	Seer quest - Finished June at least once
1237		NPC	Seer quest - Finished July at least once
1238		NPC	Seer quest - Finished August at least once
1239		NPC	Seer quest - Finished September at least once
1240		NPC	Seer quest - Finished October at least once
1241		NPC	Seer quest - Finished November at least once
1242		NPC	Seer quest - Finished December at least once
1243	"Place the statuettes in Sweet Water, Kriegspire, Dragonsand, Mire of the Damned, and Bootleg Bay and return to Twillen in Blackshire."	NPC	Statuette Quest
1244		NPC	Give statuette chest
1245		NPC	Give reward chest
1246		NPC	Placed tiger
1247		NPC	Placed bear
1248		NPC	Placed eagle
1249		NPC	Placed wolf
1250		NPC	Placed dragon
1251		NPC	Don't give statuette chest again
1252		NPC	"Hermit ""no snow"""
1253		Quest item bits for seer	First Mate's Scroll
1254		Quest item bits for seer	Doctor's Scroll
1255		Quest item bits for seer	Captain's Scroll
1256		Quest item bits for seer	Navigator's Scroll
1257		Quest item bits for seer	Engineer's Scroll
1258		Quest item bits for seer	Communication Officer's Scroll
1259	Obtain Arcane Magic from Archibald in the Royal Library in Castle Ironfist	NPC	Archibald bit for Oracle Quest
1260		NPC	Sparkle for Wizard Quest
1261		NPC	No more Hive after you win
1262		NPC	
1263		NPC	
1264		NPC	
1265		NPC	
1266		NPC	
1267		NPC	
1268		NPC	
1269		NPC	
1270		NPC	
1271		NPC	
1272		NPC	
1273		NPC	
1274		NPC	
1275		NPC	
1276		NPC	
1277		NPC	
1278		NPC	
1279		NPC	
1280		NPC	
1281		NPC	
1282		NPC	
1283		NPC	
1284		NPC	
1285		NPC	
1286		NPC	
1287		NPC	
1288		NPC	
1289		NPC	
1290		NPC	
1291		NPC	
1292		NPC	
1293		NPC	
1294		NPC	
1295		NPC	
1296		NPC	
1297		NPC	
1298		NPC	
1299		NPC	
1300		NPC	
