	Map Stats			First					x5	D20's		Random Encounter																					
114	Barrow II	mdk03.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Zombie	Zombie	3	 1-3	Rat	Rat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
115	Barrow XIV	mdk04.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Ghoul	Ghoul	2	 1-3	Bat	Bat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
116	Barrow III	mdk05.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Ghoul	Ghoul	2	 1-3	Rat	Rat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
117	Barrow IX	mdt01.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	AGog	AGog	1	 1-3	Bat	Bat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
118	Barrow VI	mdt02.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Wight	Wight	1	 1-3	Rat	Rat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
119	Barrow I	mdt03.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Wight	Wight	1	 1-3	Bat	Bat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
120	Barrow VIII	mdt04.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Wight	Wight	1	 1-3	Rat	Rat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
121	Barrow XIII	mdt05.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Ghoul	Ghoul	2	 1-3	Bat	Bat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
122	Barrow X	mdr01.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	AGog	AGog	1	 1-3	Rat	Rat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
123	Barrow XII	mdr02.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Skeleton Warrior	Skeleton Warrior	3	 1-3	Bat	Bat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
124	Barrow V	mdr03.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Skeleton Warrior	Skeleton Warrior	3	 1-3	Rat	Rat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
125	Barrow XI	mdr04.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Zombie	Zombie	3	 1-3	Bat	Bat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
126	Barrow XV	mdr05.blv	0	0	5	672	7	10	5	3	1	10	50	50	0	Zombie	Zombie	3	 1-3	Rat	Rat	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
127	Wromthrax's Cave	mdt09.blv	0	0	10	672	7	10	10	5	3	10	100	0	0	ADragon	ADragon	1	 1-3	0	0	3	 1-3	0	0	1	 1-3	20	CAVE	0			-
128	William Setag's Tower	mdt10.blv	0	0	8	672	7	10	8	4	2	10	50	50	0	Fighter Plate	Fighter Plate	1	 1-3	Rat	Rat	3	 1-3	0	0	1	 1-3	34	STONEROOM	0			-
129	The Hidden Tomb	mdt11.blv	0	0	12	672	7	10	12	6	4	10	50	50	0	Lich	Lich	3	 1-3	Vampire	Vampire	3	 1-3	0	0	1	 1-3	18	CAVE	0			-
130	The Dragon Caves	mdt12.blv	0	0	20	672	7	15	20	10	6	10	100	0	0	ADragon	ADragon	5	 1-3	0	0	1	 1-3	0	0	1	 1-3	31	CAVE	0	Repeatable map (needs special coding)		-
131	The Bandit Caves	mdt14.blv	0	0	6	336	7	10	6	3	1	10	50	50	0	Thief	Thief	2	 1-3	Fighter Leather	Fighter Leather	1	 1-3	0	0	1	 1-3	34	CAVE	0	Repeatable map (needs special coding)		-
132	The Small House	mdt15.blv	0	0	20	672	7	10	20	10	6	10	0	0	0	zBlasterGuy	zBlasterGuy	1	1	Rat	Rat	3	 1-3	0	0	1	 1-3	34	STONEROOM	0			-
133	Temple of the Light	t01.blv	0	0	15	672	7	10	15	8	5	10	40	30	30	Cleric Sun	Cleric Sun	3	 1-3	Angel	Angel	3	 1-3	Monk	Monk	5	 1-3	28	STONEROOM	0	revival branch of the Church of the Sun	7	x
134	Temple of the Dark	t02.blv	0	0	15	672	7	10	15	8	5	10	40	30	30	Cleric Moon	Cleric Moon	4	 1-3	Vampire	Vampire	2	 1-3	Ghoul	Ghoul	4	 1-3	28	STONEROOM	0	revival branch of the Church of the Moon	8	x
135	Grand Temple of the Sun	t03.blv	0	0	9	672	7	10	9	4	3	10	50	50	0	Cleric Sun	Cleric Sun	3	 1-3	Monk	Monk	2	 1-3	0	0	1	 1-3	28	STONEROOM	0	Ruined old temple of the sun	9	-
136	The Hall of the Pit	t04.blv	0	0	9	672	7	10	9	4	2	10	40	30	30	Harpy	Harpy	3	 1-3	Gargoyle	Gargoyle	2	 1-3	Zombie	Zombie	4	 1-3	18	CAVE	0	Entrance to The Pit.  Small guard station.	5	-
137	Sweet Water	outa1.odm	0	0	0	224	0	0	8	9	6	10	50	50	0	Demon	Demon	3	 2-4	DemonFly	DemonFly	3	 2-4	0	0	1	 1-4	40	0	Peter	0	0	-
138	Paradise Valley	outa2.odm	0	0	0	168	0	0	7	8	6	10	40	30	30	DragonCover	DragonCover	3	 1-3	BHydra	BHydra	3	 2-4	BTitan	BTitan	3	 1-3	51	0	Peter	0	0	-
139	Hermit's Isle	outa3.odm	0	0	0	168	0	0	7	8	6	10	50	50	0	BTitan	BTitan	5	 2-3	BHydra	BHydra	5	 3-5	SeaSerpent	SeaSerpent	5	 3-5	41	0	Peter	0	0	-
140	Kriegspire	outb1.odm	0	0	0	224	0	0	6	8	6	10	40	30	30	BMinotaur	BMinotaur	2	 2-4	ElemEarth	ElemEarth	2	 2-4	BDragonFly	BDragonFly	2	 2-3	47	0	Peter	0	0	-
141	Blackshire	outb2.odm	0	0	0	672	0	0	6	8	6	10	10	70	20	DragonCave	DragonCave	3	 2-3	Werewolf	Werewolf	2	 3-5	ElemAir	ElemAir	2	 2-4	41	0	Peter	0	0	-
142	Dragonsand	outb3.odm	0	0	0	168	0	0	8	10	6	10	30	40	30	DragonLand	DragonLand	5	 2-4	DragonCover	DragonCover	5	 2-3	DragonCave	DragonCave	5	 2-4	41	0	Peter	0	0	-
143	Frozen Highlands	outc1.odm	0	0	0	672	0	0	4	6	6	10	20	40	20	BHarpy	BHarpy	3	 4-6	Barbarian	Barbarian	3	 3-5	BArcher	BArcher	3	 3-5	47	0	Peter	0	0	-
144	Free Haven	outc2.odm	0	0	0	672	0	0	4	6	6	10	30	70	0	BArcher	BArcher	2	 3-5	PeasantM2	PeasantM2	5	 4-6	0	0	0	0	51	0	Peter	0	0	-
145	Mire of the Damned	outc3.odm	0	0	0	168	0	0	3	7	6	10	10	20	70	BGhost	BGhost	2	 2-5	BHarpy	BHarpy	2	 3-5	Skeleton	Skeleton	4	 4-6	48	0	Peter	0	0	-
146	Silver Cove	outd1.odm	0	0	0	672	0	0	4	5	6	10	50	50	0	Druidess	Druidess	2	 2-4	BGargoyle	BGargoyle	3	 3-5	0	0	1	 1-4	37	0	Peter	0	0	-
147	Bootleg Bay	outd2.odm	0	0	0	224	0	0	3	2	6	10	40	40	20	PeasantM4	PeasantM4	3	 4-6	PeasantF4	PeasantF4	3	 4-6	LizardArch	LizardArch	3	 3-5	37	0	Peter	0	0	-
148	Castle Ironfist	outd3.odm	0	0	0	672	0	0	2	3	6	10	20	40	40	LizardArch	LizardArch	1	 3-5	Bloodsucker	Bloodsucker	3	 3-6	PeasantM3	PeasantM3	1	 4-6	37	0	Peter	0	0	-
149	Eel Infested Waters	oute1.odm	0	0	0	224	0	0	5	6	6	10	0	100	0	SeaSerpent	SeaSerpent	3	 1-3	Cockatrice	Cockatrice	3	 4-6	ElemWater	ElemWater	2	 2-4	37	0	Peter	0	0	-
150	Misty Islands	oute2.odm	0	0	0	672	0	0	2	2	6	10	50	50	0	PeasantM3	PeasantM3	2	 4-6	PeasantF3	PeasantF3	2	 4-6	0	0	1	 1-4	37	0	Peter	0	0	-
151	New Sorpigal	oute3.odm	0	0	0	168	0	0	0	1	6	10	50	50	0	BGoblin	BGoblin	1	 3-5	PeasantM2	PeasantM2	1	 3-5	0	0	1	 1-4	37	0	Peter	0	0	-
152	Goblinwatch	6d01.blv	0	0	0	672	0	0	0	1	6	10	40	30	30	BRat	BRat	2	 3-5	BGoblin	BGoblin	2	 3-5	Bloodsucker	Bloodsucker	1	 4-6	43	0	Bruce	0	0	-
153	Abandoned Temple	6d02.blv	0	0	0	672	0	0	1	1	6	10	30	40	30	BBat	BBat	2	 4-6	Cobra	Cobra	1	 3-5	BSpider	BSpider	1	 2-4	44	0	Bruce	0	0	-
154	Shadow Guild Hideout	6d03.blv	0	0	0	672	0	0	2	2	6	10	50	50	0	BThief	BThief	3	 3-7	FighterLeath	FighterLeath	2	 2-5	0	0	1	 1-4	42	0	Walter	0	0	-
155	Hall of the Fire Lord	6d04.blv	0	0	0	672	0	0	2	2	6	10	60	40	0	BGoblin	BGoblin	4	 3-5	Ogre	Ogre	2	 2-4	0	0	1	 1-4	42	0	Bruce	0	0	-
156	Snergle's Caverns	6d05.blv	0	0	0	672	0	0	3	3	6	10	20	80	0	BDwarf	BDwarf	3	 3-5	BBat	BBat	5	 2-6	0	0	1	 1-4	42	0	Dave	0	0	-
157	Dragoons' Caverns	6d06.blv	0	0	0	672	0	0	2	3	6	10	60	40	0	FighterLeath	FighterLeath	3	 2-6	FighterChain	FighterChain	3	 2-3	BOoze	BOoze	3	 2-3	42	0	Tim	0	0	-
158	Silver Helm Outpost	6d07.blv	0	0	0	672	0	0	3	3	6	10	20	30	50	Nobleman	Nobleman	3	 3-4	BMonk	BMonk	3	 3-4	Guard	Guard	3	 2-4	42	0	Walter	0	0	-
159	Shadow Guild	6d08.blv	0	0	0	672	0	0	4	3	6	10	50	50	0	BThief	BThief	5	 2-4	PeasantF3	PeasantF3	5	 2-4	BGenie	BGenie	1	 1-2	42	0	Lisa	0	0	-
160	Snergle's Iron Mines	6d09.blv	0	0	0	672	0	0	3	3	6	10	50	50	0	BDwarf	BDwarf	4	 2-4	BOoze	BOoze	4	 2-4	Demon	Demon	1	 2-3	42	0	Tim	0	0	-
161	Dragoons' Keep	6d10.blv	0	0	0	672	0	0	3	3	6	10	40	60	0	FighterChain	FighterChain	3	 3-5	BRat	BRat	5	 4-8	0	0	1	 1-4	42	0	Tim	0	0	-
162	Corlagon's Estate	6d11.blv	0	0	0	672	0	0	4	4	6	10	20	80	0	BGhost	BGhost	4	 3-6	Skeleton	Skeleton	5	 4-8	BLich	BLich	2	 1-1	42	0	Tim	0	0	-
163	Silver Helm Stronghold	6d12.blv	0	0	0	672	0	0	3	4	6	10	40	40	20	Nobleman	Nobleman	5	 3-8	FighterChain	FighterChain	4	 3-6	Sorcerer	Sorcerer	3	 2-3	42	0	Walter	0	0	-
164	The Monolith	6d13.blv	0	0	0	672	0	0	3	5	6	10	80	10	10	Druidess	Druidess	3	 2-5	ElemEarth	ElemEarth	3	 2-3	ElemWater	ElemWater	3	 2-3	42	0	Dave	0	0	-
165	Tomb of Ethric the Mad	6d14.blv	0	0	0	672	0	0	4	5	6	10	10	60	30	BLich	BLich	4	 2-3	Skeleton	Skeleton	5	 4-7	BGhost	BGhost	5	 2-3	42	0	Dave	0	0	-
166	Icewind Keep	6d15.blv	0	0	0	672	0	0	4	5	6	10	40	60	0	Ogre	Ogre	4	 3-5	Guard	Guard	4	 3-5	0	0	1	 1-4	42	0	Dave	0	0	-
167	Warlord's Fortress	6d16.blv	0	0	0	672	0	0	5	6	6	10	80	20	0	FighterLeath	FighterLeath	5	 2-4	FighterChain	FighterChain	5	 2-4	KnightPlate	KnightPlate	5	 2-4	42	0	Chris	0	0	-
168	Lair of the Wolf	6d17.blv	0	0	0	672	0	0	5	6	6	10	100	0	0	Werewolf	Werewolf	4	 2-5	Nobleman	Nobleman	5	 4-6	BOoze	BOoze	5	 5-7	42	0	Walter	0	0	-
169	Gharik's Forge	6d18.blv	0	0	0	672	0	0	7	8	6	10	40	40	20	Sorcerer	Sorcerer	4	 3-6	ElemFire	ElemFire	4	 2-3	ElemFire	ElemFire	4	 2-3	42	0	Tim	0	0	-
170	Agar's Laboratory	6d19.blv	0	0	0	672	0	0	5	9	6	10	80	20	0	BBeholder	BBeholder	4	 2-3	Cockatrice	Cockatrice	5	 2-3	BLich	BLich	5	 1-1	42	0	Dave	0	0	-
171	Caves of the Dragon Riders	6d20.blv	0	0	0	672	0	0	6	10	6	10	10	20	70	KnightPlate	KnightPlate	5	 2-4	DragonLand	DragonLand	5	 2-4	0	0	1	 1-4	42	0	Lisa	0	0	-
172	Temple of Baa	6t1.blv	0	0	0	672	0	0	2	1	6	10	10	40	50	Cleric	Cleric	1	 3-5	BSpider	BSpider	3	 3-5	Skeleton	Skeleton	3	 3-5	50	0	Tony	0	0	-
173	Temple of the Fist	6t2.blv	0	0	0	672	0	0	2	1	6	10	20	80	0	BMonk	BMonk	3	 2-4	BRat	BRat	5	 3-5	0	0	1	 1-4	49	0	Dave	0	0	-
174	Temple of Tsantsa	6t3.blv	0	0	0	672	0	0	2	1	6	10	30	30	40	PeasantM4	PeasantM4	4	 3-4	PeasantF4	PeasantF4	4	 3-4	Cobra	Cobra	5	 4-6	49	0	Chris	0	0	-
175	Temple of the Sun	6t4.blv	0	0	0	672	0	0	3	2	6	10	100	0	0	BMonk	BMonk	4	 2-4	BMinotaur	BMinotaur	5	 1-1	0	0	1	 1-4	49	0	Chris	0	0	-
176	Temple of the Moon	6t5.blv	0	0	0	672	0	0	3	2	6	10	40	60	0	Druidess	Druidess	4	 3-6	Cobra	Cobra	5	 3-5	BMedusa	BMedusa	2	 2-3	49	0	Tim	0	0	-
177	Supreme Temple of Baa	6t6.blv	0	0	0	672	0	0	4	4	6	10	90	0	10	Cleric	Cleric	4	 3-5	Demon	Demon	1	 2-3	ElemFire	ElemFire	3	 2-4	50	0	Chris	0	0	-
178	Superior Temple of Baa	6t7.blv	0	0	0	672	0	0	4	4	6	10	70	20	10	Cleric	Cleric	5	 3-6	Druidess	Druidess	4	 3-6	Sorcerer	Sorcerer	3	 3-6	50	0	Tony	0	0	-
179	Temple of the Snake	6t8.blv	0	0	0	672	0	0	5	5	6	10	100	0	0	BMedusa	BMedusa	5	 2-5	PeasantM1	PeasantM1	3	 1-1	DragonCover	DragonCover	1	 1-1	49	0	Chris	0	0	-
180	Castle Alamos	cd1.blv	0	0	0	672	0	0	5	5	6	10	10	80	10	Sorcerer	Sorcerer	4	 2-3	Barbarian	Barbarian	5	 3-5	ElemAir	ElemAir	4	 2-3	49	0	Bruce	0	0	-
181	Castle Darkmoor	cd2.blv	0	0	0	672	0	0	5	5	6	10	10	10	80	BLich	BLich	4	 2-4	BBeholder	BBeholder	3	 2-4	Ogre	Ogre	5	 2-4	49	0	Tony	0	0	-
182	Castle Kriegspire	cd3.blv	0	0	0	672	0	0	6	6	6	10	80	20	0	BMinotaur	BMinotaur	4	 2-4	Cockatrice	Cockatrice	5	 3-4	BDragonFly	BDragonFly	4	 2-3	49	0	Bruce	0	0	-
183	Free Haven Sewer	sewer.blv	0	0	0	672	0	0	4	2	6	10	30	30	40	BRat	BRat	5	 3-5	Cleric	Cleric	3	 2-4	BThief	BThief	5	 2-4	44	0	???	0	0	-
184	Tomb of VARN	pyramid.blv	0	0	0	672	0	0	8	8	6	10	100	0	0	Jackalman	Jackalman	4	 3-4	BGenie	BGenie	4	 2-3	BRobot	BRobot	1	 1-2	46	0	Bruce	0	0	-
185	Oracle of Enroth	oracle.blv	0	0	0	672	0	0	0	0	6	10	0	0	0	PeasantM1	PeasantM1	1	 1-4	0	0	1	 1-4	0	0	1	 1-4	46	0	Tony	0	0	-
186	Control Center	sci-fi.blv	0	0	0	672	0	0	5	8	6	10	100	0	0	BRobot	BRobot	2	 1-3	0	0	1	 1-4	0	0	1	 1-4	46	0	Tony	0	0	-
187	The Hive	hive.blv	0	0	0	7	0	0	10	10	6	10	50	50	0	Demon	Demon	5	 2-4	DemonFly	DemonFly	5	 2-4	DemonQueen	DemonQueen	1	 1-1	40	0	Bruce	0	0	-
188	The Arena	zarena.blv	0	0	0	1	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	45	0		0	0	-
189	Dragon's Lair	zddb01.blv	0	0	0	672	0	0	1	1	6	10	0	0	0	DragonCover	DragonCover	2	 1-2	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
190	pending	zddb02.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
191	pending	zddb03.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
192	pending	zddb04.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
193	pending	zddb05.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
194	pending	zddb06.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
195	pending	zddb07.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
196	pending	zddb08.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
197	pending	zddb09.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
198	pending	zddb10.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
199	pending	zdtl01.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
200	pending	zdtl02.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
201	pending	zdwj01.blv	0	0	0	672	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
202	Devil Outpost	zdwj02.blv	0	0	0	672	0	0	1	1	6	10	0	0	0	Demon	Demon	2	 2-3	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
203	New World Computing	znwc.blv	0	0	0	7	0	0	1	1	6	0	0	0	0	0	0	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	37	0		0	0	-
204	The Breach	Breach.odm	0	0	0	-1	0	0	1	7	6	0	100	0	0	Will ' O Wisp	Will ' O Wisp	1	 1-1	0	0	1	 1-4	0	0	1	 1-4	37	0		0	0	-
205	The Breach	BrAlvar.odm	0	0	2	-1	0	0	2	7	6	80	10	10	80	Fire Elemental	Fire Elemental	5	 1-3	ATroll	ATroll	5	 1-3	Cactus	Cactus	1	 1-3	3	PSYCHOTIC		0	0	-
206	Basement of the Breach	BrBase.blv	0	0	0	1	0	0	0	1	1	50	100	0	0	Cactus	Cactus	1	 1-3	0	0	1	 1-4	0	0	1	 1-4	42	0		0	0	-
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	



