News # 	Text	Notes / Topic	
263	"When Ethric the Necromancer…died, he left instructions for his body to be placed in a tomb he had built next to the mountains south of the Pearblossom river.  It's said that he rose from the dead a few days later in a sort of infernal miracle.  Since then, the tomb has become a spiritual sink where all manner of lost souls drift to after death.  There they languish, mindlessly attacking the living in defense of their new master Ethric the Mad."	Ethric's Tomb	
264	"An unsavory company of mercenaries has moved into a fortification built by Roland during the Succession War, near Crescent Lake.  Far as I know, the mercenaries haven't done anything wrong yet, but their presence is ominous, don't you think?"	Mercenary Stronghold	
265	"Free Haven is the oldest and most prosperous city in the Kingdom.  With a natural harbor and the Oracle, it was only common sense for people to gather here since the Silence."	Free Haven	
266	"Glimmervale Lake has been the source of many supernatural sightings lately.  People say the sightings are caused by the tampering of the Necromancer's Guild, disbanded now for ten years.  Who knows what damage they caused before King Roland put a stop to their evil?"	Glimmervale Lake	
267	"Temple Stone in Free Haven was recently burnt to the ground by a group of monks trying to steal the sacred chalice from the temple.  They fled east by boat, and nobody's seen them since."	Temple Stone	
268	"I don't know if you've noticed, but those creepy followers of Baa keep popping in and out of buildings around town in the strangest manner.  Could be that they've located one of their temples in the city sewer system."	Baa in the Sewer	
269	"Maybe there really is something to the notion that evil is down, while good is up.  Both the followers of Baa and members of the Shadow Guild can be found in the city sewers.  Would that we have a big flood one day to wash all that trash out to sea!"	Prince of Thieves	
270	"Beware bandits on the road to Blackshire!  Ever since the King went off to who knows where, criminals have been plying the roads between all the major cities."	Bandits	
271	"Liches are the only form of the living dead that actually chooses to be living dead.  A lich is the rotting skeleton of a powerful cleric or sorcerer, held together by necromantic rites performed during life.  A relatively new monster, it is said that Ethric the Mad was the first sorcerer to discover and perform the Ritual of the Endless Night, simultaneously becoming the world's first lich and necromancer. <Shuddering> Creepy, huh?"	Liches	
272	"The mercenaries living in that stronghold near Castle Temper seem to have a lot of money, because they keep ordering up weapons and supplies.  Someone must be paying them for some reason, but who?"	Mercenary Stronghold	
273	"I hear the former King of the Dwarves is hiding out in some local tavern, drowning his sorrows after being deposed by Snergle.  A sorry fate for Roland's most steadfast ally during the War!  I'll bet if King Roland were around he would help him out."	Rocklin	
274	Timothy teaches expert body magic southwest of the four elemental guilds.	Timothy O'Hoolihan	
275	Michael teaches expert sword skill just northeast of the body guild.	Michael Ogilvy	
276	Sylvester can show you new diplomacy tricks south of Town Square.	Sylvester Moor	
277	Livia will teach promising merchants a few expert techniques south of Town Square.	Livia Farrel	
278	Takao teaches expert shield just west of the Sharpening Stone.	Takao	
279	Mynasia teaches expert mind magic southwest of the four elemental guilds.	Mynasia	
280	Michele teaches expert spirit magic southwest of the four elemental guilds.	Michele Blackshire	
281	You can find expert disarm training from Ivan right near the Smugglers' Guild.	Ivan Magyar	
282	"Logan lives just northeast of the body guild, and he teaches expert dagger skill."	Logan Dasher	
283	Jack teaches expert fire magic just south of Temple Stone.	Jack Van Imp	
284	"Woodrow lives just southwest of the mind guild, and he teaches expert plate skill."	Woodrow Albright	
285	Hitomi teaches expert water magic just south of Temple Stone.	Hitomi Mirumoto	
286	Li teaches expert earth magic just south of Temple Stone.	Li Tizare	
287	Zodahn teaches expert air magic just south of Temple Stone.	Zodahn Delphi	
288	"Zoltan was complaining recently that a new artifact for his collection was stolen by the Dragoons to the south of here.  He's put up a bounty for its return, go to his house just south of Town Square for more information."	Zoltan Phelps	
289	"Gabriel said he was working on a way to reverse some weird undead ritual.  I don't know much about rituals, but I do know that Gabriel lives just south of Temple Stone if you want to ask him about it."	Gabriel Cartman	
290	Carlo's good friend Sherell is lost in Bootleg Bay; he's looking for people to help him out near the docks.	Carlo Tormini	
291	Rumor has it that the main Shadow Guild guildhall is located very close to Castle Stone.  	Shadow Guild	
292	The pass to the Frozen Highlands is unsafe to travel now because of the ogres and humans that took over Icewind Keep.	Icewind Pass	
293	"Magyars are straightforward fighters, but the magyar matrons can attack with a deadly electrical blast."	Magyar	
294	"This seemingly simple mace bursts into flames when used, simultaneously dealing a vicious flame attack on its victim and also protecting its wielder from fire."	Ares	
295	"Anthony Stone, among other things, promotes deserving Clerics to Priests."	Priests	
296	"Erik Von Stromgard is the finest archer in the lands, and as such is given the task of training and promoting archers."	Warrior Mages	
297	"Lord Stromgard is without a doubt the greatest archer in the land.  He always competes in the major competitions, and I've never seen him lose.  "	Erik Von Stromgard	
298	"Lord Stone has the dual role of being the High Priest of the Realm and the overseer of underworld activity.  A very strange combination, I suppose, but he certainly does seem to keep the peace.  Long may he live!"	Anthony Stone	
299	"Icewind Keep was once Lord Stromgard's first castle, but he lost it to an attack of ogres and evil humans about a year ago.  He's moved to his second castle east of White Cap, but they say he's rather bitter about the loss and thinks only of revenge these days."	Icewind Keep	
300	The Shadow Guild is a new Thieves' Guild created to challenge Lord Stone's authority over the underworld.  They have two hideouts– one near Castle Ironfist and the other within spitting distance of Castle Stone.  It looks to me like they're spoiling for a fight!	Shadow Guild	
301	"White Cap is the third largest town in Enroth, and it's been suffering ever since Lord Stromgard lost Icewind Keep to the ogres last year.  The ogres keep raiding caravans trying to go through the pass.  If the caravans ever stop, it'll be the end for the town."	White Cap	
302	"Sure has been a long time since last summer, I think.  MUCH too long.  Something is wrong with the weather, and I'm beginning to think the gods are punishing us for supporting the Ironfist dynasty!"	Long winter	
303	"If tales told be true, the Shadow Guild and the Temple of Baa are in cahoots to ruin the Kingdom.  I hear the Temple has been magically extending winter in these parts, and the ritual materials they need are being supplied by the Shadow Guild."	Shadow Guild	
304	"If you've ever seen a sorcerer try to fly near a town, you may have been treated to the sight of the Dragon Towers shooting him down.  Dragon Towers shoot at anything that flies near a town, because they have trouble telling the difference between a man and a dragon.  Be careful!"	Dragon Towers	
305	"It sure is a bad thing that those ogres have control over Icewind keep!  Some of their human allies are archers, and they like to shoot at people going through the pass.  They've been real bad for business at White Cap, believe me."	Icewind Keep	
306	"There are a few important passes in the kingdom, and more and more they're controlled by monsters rather than the king's men.  If things go the way they're going much longer, we'll have to pay taxes to the devils instead of the king!"	Passes	
307	A master of air I spoke with some time ago claims that someone is tinkering with the weather using ritual magic.  He says he traced the magic back to one of those temples of Baa that've been springing up all over the place recently.  	Winter from Baa	
308	"The mountains around here have some mighty strange hermits living in them here and there.  Most are crazy, but a few go there to meditate on truths not meant for mortal man to know."	Hermits	
309	"If you look carefully in the mountains of this Kingdom, you might come across a pass that can cut days off your travel."	Secret Pass	
310	"Both Lord Stromgard and Lord Stone were key supporters of King Roland during the Succession Wars.  They owe their current positions to that support, and I think they have been amongst the most conscientious of the Lords of the Realm."	Succession War	
311	Dickson teaches expert mace just west of Castle Stromgard.	Dickson Parks	
312	Jed teaches expert bow just west of Castle Stromgard.	Jed Morrison	
313	Morton teaches expert dark magic in the southwest of White Cap.	Morton Holovin	
314	I've heard that Abdul has his resort in the south of Dragonsand.  Some resort!  It's probably filled with dragons.	Abdul's Resort Isle	
315	"There's a strange pyramid in the middle of Dragonsand.  No one has any idea who built it, though."	Pyramid	
316	"Wyrms move very quickly on the ground, but cannot fly.  They attack with a poisonous breath attack."	Wyrm	
317	Fire Lizards are just one of a variety of draconian creatures found in Dragonsand.	Fire Lizard	
318	"Wielders of Cronos gain an incredible boost to their vitality.  They'll need anything they can get, because troubles and misfortune constantly follow this axe."	Cronos	
319	A cave near Blackshire opened about the same time that people in the town started disappearing.	Lair of the Wolf	
320	The people of Blackshire have fallen under a terrible curse– they turn into werewolves at night!	Blackshire	
321	"An old temple sits in the center of Star Island.  Strangely enough, the number of statues on the island has slowly increased over time."	Star Island	
322	"Werewolves are simply people that turn into a half-man, half-beast creature at night.  They are especially powerful under a full moon."	Werewolf	
323	"Air elementals flitter about in the valley between the Frozen Highlands and Dragonsand.  Though the weakest elementals, they're fast and have a nasty electrical attack."	Air Elemental	
324	"The sword of a mighty warrior, Hercules confers a huge boost to might and endurance, but at the cost of the wielder's intellect."	Hercules	
325	No one has been promoted to high priest in ages.  I wonder what Anthony Stone requires from Priests for that promotion?	High Priests	
326	"The island at the center of Star Lake is home to some monsters straight from the heart of hell!  I heard about someone who rowed out there one night with some friends and these huge snake creatures came boiling up out of the ground.  They had to but look you in the eye to turn you right to stone!  Anyway, this guy was the only one to make it back alive, he says, and he did it by running and not looking back! "	Medusas	
327	"A terrible curse has befallen the people in this area, and everyone thinks they know the source– it's that new cave that opened itself up in the side of the mountain south of town.  Someone needs to go in there and end the curse, but bravery's at a premium in Blackshire, these days."	Lair of the Wolf	
328	"Dragonsand is the home and breeding ground of the dragons of Enroth.  Never will you find a more fierce or terrible monster than a dragon, and never will you find one that is gentle or kind.  "	Dragons	
329	The Circus of the Sun likes to set up alongside the road between Blackshire and Star Lake.  They're around here every year during April.  It's a good show– well worth the money to go see it!	Circus of the Sun	
330	"The road leading west from Blackshire has gone from the safest road in the Kingdom to the most dangerous.  West of here lies Pleasant Valley, and the name has long since become a joke.  Now that valley is a barren and ruined land, crawling with those hideous new monsters– the devils."	Western Trade Road	
331	"Just go west down the road from Blackshire a few days and you're sure to see some devils.  You better be able to run pretty fast, though!"	Devils	
332	"Lord Kilburn disappeared while patrolling the road leading from Blackshire to Pleasant Valley.  At least, that's what people are saying.  If you're looking for him, you might want to start looking around there."	Rangers	
333	"We all saw the king fleeing from the devils toward Castle Kriegspire a while back.  Haven't heard from him since.  Sad.  I think the devils will take us all, before long."	Roland	
334	Ambrose teaches expert dark magic in the town of Blackshire.	Ambrose Brusse	
335	"Castle Kriegspire, at one time, was the center of magical experimentation in creating creatures.  Now, it's abandoned and the creatures run rampant inside.  The volcano it rests in was created to keep all the monsters in."	Kriegspire	
336	"Agar, one of Archibald's sorcerers, was the most skilled of the experimenters in Kriegspire.  His monsters are the ones crawling around the castle now.  He left with the rest of the mages, but no one knows where he went to."	Agar	
337	"Though weaker than dragons, drakes are nothing to sneer at.  These flying reptiles have powerful elemental attacks."	Flame Drake	
338	Some of the minotaurs escaped from Kriegspire and now roam in and around the volcano surrounding the old castle.	Minotaur	
339	"Earth elementals prowl around the area of Kriegspire.  Free from the mages that summoned them, theses elementals look to destroy whatever they come across."	Earth Elemental	
340	"No armor in the world can match Apollo for protection against elemental spells.  Unfortunately, the armor gains its power from sapping the endurance of its wearer."	Apollo	
341	"The Superior Temple of Baa was constructed about a year ago against the mountains east of Castle Kriegspire.  Unlike most of their temples, it's closed to the public.  You'll have to join them if you ever want to be let in."	Superior Temple	
342	The village of Edenbrook wouldn't be around these days if it weren't for King Roland and his men.  They saved it from a horde of devils a little while back.	Battle of Edenbrook	
343	"When the king fled to Castle Kriegspire he was followed by an enormous army of devils.  A couple of days later a few dozen devils were seen leaving the old volcano the castle occupies, but the King himself hasn't been seen since."	Battle at Kriegspire	
344	"Rarely do humans and dragons get along, but the death knights have formed some sort of pact with a group of dragons in a keep on the north side of the mountains near Kriegspire."	Death Knights	
345	Nicholas can show you expert techniques with the magic of light in the village of Kriegspire.	Nicholas Roth	
346	"Titans are second in power only to the mighty dragons.  Not only do titans possess an incredible electric attack, they are skilled in mind magic and favor the Psychic Shock spell."	Titan	
347	"Fire elementals seem to like Hermit's Isle, though who would summon them there is a mystery."	Fire Elemental	
348	"Although this crown reduces the reaction time of its wearer, it also makes the wearer incredibly resistant to elemental magic."	Odin	
349	"Hermit's Island has recently become home to the Supreme Temple of Baa.  They have found an ancient installation to put their temple in, and are no doubt performing dark experiments as we speak."	Hermit's Isle	
350	"Dragonsand, the great desert of Enroth, is home to all the worst monsters in the world.  Dragons, titans, and other oversized killer monsters roam the sands freely on whatever errands such creatures find important.  Humans foolish enough to travel the desert learn to run and hide very quickly, or they don't last long."	Dragonsand	
351	"Once the greenest and most fertile of lands in Enroth, Pleasant Valley has fallen under a curse that has caused the plants to wither, the animals to sicken, and the people to leave.  It is a barren land now, and no one wants to live there."	Pleasant valley	
352	"Shortly after the Night of Shooting Stars, the blight began to eat away at Pleasant Valley.  In a few short years, nearly all the plants and animals had sickened and died, and the villagers and farmers living in the valley had to move east to find food.  The blight has shown no signs of abating– rather, it has accelerated, and will one day cover the entire continent unless something is done to stop it."	The Blight	
353	"Most of the devils you see in Pleasant Valley are in fact worker or soldier devils.  They are organized like ants, only they have intelligent leaders.  The leaders can fly, and their best leaders can use human speech and writing."	Devils	
354	"Though powerful, the devils are far from invincible.  King Roland fought and won a battle at Sweet Water Pass by outmaneuvering them and outthinking them.  They're tough, but they die like anything else does when you put a sword through it!"	Sweet Water Pass	
355	"These legendary boots make the wearer a blur, able to react instantly to any situation."	Hermes	
356	The devils seem to swarm around a strange building near the remains of Sweet Water.	Hive	
357	"Although the ruins of the buildings are still there, the town is completely destroyed.  No one lives there anymore."	Sweet Water	
358	The forest of Blackwoode has been wiped out completely since the night of Shooting Stars.	Blackwoode	
359	The devils seem to prefer fire attacks and enjoy attacking in large groups.  Some of the most powerful can cast spells from the fire school.	Devils	
360	"This odd amulet will grant its wearer extra vitality, spell points, and luck."	Hera	
361	"Sweet Water used to be the most beautiful town in the kingdom, but no news has come from it since the Night of Shooting Stars.  I think the shooting star landed right on top of the town, leaving no survivors to tell the tale."	Sweet Water	
362	"The Oracle had warned of the coming of devils from the sky in writings long ago.  I don't think anyone remembers, and of those who do, no one thinks the Night of Shooting Stars and the devils are connected.  "	Night of Shooting Stars	
363	"I met a man who went to discover the fate of the town of Sweet Water, and he says that the place was burnt to the ground by the devils.  The devils have built a strange tower near the old town, and eerie noises come from it every twenty minutes.  He would have explored further, but there were so many devils near the tower he didn't dare."	Lair of the Devils	
364	"Have you noticed how Temples of Baa have been sprouting up throughout the kingdom?  They're everywhere, and I for one think it's an ominous development.  Although they offer free healing, they don't seem to be doing it out of kindness– there must be a method to their madness!"	Agents of Baa	
365	The queen left quite a while ago for her home country of Erathia.  People are getting worried– what if something happened to her during her trip?	Queen Catherine	
366	"Most of the shipping in Enroth follows a set schedule.  If you're in the right place at the right time, the shipping companies can take you great distances quickly and cheaply."	Sea Travel	
367	"The legends say that the great ship used in the Crossing lies buried under a giant stone tomb in the middle of Dragonsand.  There must have been a lake or ocean long ago where the desert is now, for the ship to end up in the middle of the desert!"	Tomb of VARN	
368	"If you touch one of the obelisks scattered around the kingdom, you'll get a part of a riddle no one's yet unraveled.  People say that a great treasure lies buried somewhere in Enroth, and the one who finds the answer to the riddle will find the treasure."	Obelisks	
369	"Beware the Dragon Towers you'll find near every major settlement.  They will shoot a fireball at anyone flying.  I guess they're meant to protect the towns from dragons and other flying monsters, but they can't tell the difference between a man and a monster."	Dragon Towers	
370	"Some people are saying the Temple of Baa and the devils are in league!  It makes sense– the temple first appeared a few months after the Night of Shooting Stars, and we all know the devils and that night are related!"	Devils and Baa	
371	"There's a rumor going 'round that Slicker Silvertongue, Wilbur Humphrey's representative on the High Council, is a traitor.  People are saying he's been seen in several Temples of Baa, and everyone knows the temple is against the king!"	Traitor on the Council	
372	"Weather sure has turned sour since the Night of Shooting Stars.  Every summer seems colder than the last.  Why, I'd venture to say last summer was the coldest winter I've ever experienced!  'Course, that's an exaggeration, but you know what I mean.  Something's wrong!"	Weather	
373	Doesn't it seem there's been more floods and earthquakes since the king disappeared?  It's as though the gods are angry with the king and his dynasty.  Perhaps they have lost the Mandate of Heaven.	Disasters	
374	"Though the Temple of Baa may offer free healing, it seems to me that more things go wrong, and more people get hurt, when one of their temples is nearby.  Could it be they are cursing the people near them, and then healing them for some bizarre reason?"	Curses	
375	Have you ever seen Archibald's statue in the library behind Castle Ironfist?  It is amazingly lifelike… almost as though he was turned to stone rather than sculpted.	Archibald	
376	"The western province of Pleasant Valley has undergone a shocking transformation in the last few years.  Once it was a rich, fertile farming region.  Now all the plants have died from a terrible blight, and the water has dried up.  All the animals sickened or died, and all the people had to move away to find food to eat."	The Blight	
377	"Ancient legends say that all the greatest artifacts from before the Silence came with the ship our distant ancestors used to get here from their homeland.  They say the voyage was so long that three generations of people were born, lived, and died while aboard the ship!  How's that for a whopper of a tale?!"	Legend of the Crossing	
378	"Erathia is the second major continent to be settled in the world.  It is a lot wilder and more unsafe than Enroth, and all the little kingdoms there are always bickering and fighting."	Erathia	
379	"The islands east of Enroth are all part of the 'Kingdom' of Regna.  They were settled by the most nasty and violent of people hundreds of years ago, and they haven't changed their ways.  They are pirates and mercenaries to a man, and have no regard for the sorrow they cause by siding with petty tyrants and usurpers like Archibald was."	Regna	
380	"If the old tales are true, the dwarves were once just like the rest of us, but before the Crossing, the dwarves lived in a place where they and everything around them weighed a lot more.  The stories say this made them very short and very strong, and they haven't changed since."	Dwarves	
381 M	I don't like Mondays.	Monday
382	The best armor shop in all of Enroth is the Enchanted Hauberk.  The proprietor's name is Teddy, but he hates to be called that.  Safer to refer to him as Theodore.	The Enchanted Hauberk
383	The best magic shop in the kingdom is Mighty Magicks.  It is possible to find there the most unusual and powerful enchanted items for sale anywhere.	Magic Shops
384	Be careful with even ordinary objects.  If something is magical, get an expert like me to identify it before you sell it for pennies on the gold piece of its true worth.  You can be surprised by what there is to find out there, and you might sell off something very useful.	Treasures
385	The lands to the far west of the continent used to be green and fertile, but have wasted to an unhappy land of cracked earth, bad smells, and barren landscapes.	Western Wastes
386	Most civilized areas you'll find are in the east.  While there are some small towns and villages located to the west, don't count on finding many.	Eastern Seaboard
387	This ghastly place is named for all of the undead that prowl it.  Rumor has it that people killed in the mire return as undead guardians of the place.  	Mire of the Damned
388	There are some places you can't get to by boat, during different times of the year.  You should plan your trips carefully to avoid inconvenience.	Travel Seasons
389	Many areas of the oceans are home to giant sea serpents.  Though not much danger to ships, they can be lethal to people, water walking or even bystanders on the coast.	Sea Serpents
390	If you are wounded enough, you will fall unconscious.  Taking a wound while unconscious almost always leads to death.	Unconscious
391	Mixing poppysnaps, phirna root, or widoweeps berries with water in an empty potion bottle will make a simple potion.  These simple potions have limited beneficial effects, but are stronger than the herbs by themselves.	Alchemy Basics
392	Let me tell you the effects of the simple potions.  Red potions are minor healing, blue potions are minor spell point gain, and yellow potions are a boost to all seven statistics.	Advanced Alchemy
393	Because skills get so difficult to learn once you've achieved a high level in them, it is much more efficient to learn many skills to a moderate level, rather than a couple of skills to a high level.	Skills
394	Kriegspire, one of the centers of magical experimentation, has been swallowed by an enormous volcano.  Surely one of their experiments must have gone completely awry.	Kriegspire
395	The three most important things to remember in a battle are:  Don't get surrounded, concentrate on killing a single enemy before moving on to another, and don't be afraid to run.  No shame in living another day!	Battle Tactics
396	A finely crafted weapon is a rare find, but a magic weapon is a treasure indeed.  Magic weapons are often more damaging, faster, and sometimes even have spells imbedded into them.  Your skill is important, but having a great weapon certainly doesn't hurt either.	Magic Weapons
397	When fighting in a place that is very hot or cold, try using the opposite kind of spell on your enemies.  Often they are resistant or immune to the element they're used to living in.	Elemental Spells
398	Some sorcerers have cheated death itself in their attempts to gain power.  These sorcerers trade their lives for eternal life as an undead.   I can't imagine the lust for power that would cause someone to trade their soul.  Liches are powerful and determined; you should be careful fighting them. 	Liches
399	Light magic makes up one half of the Mirrored Path.  Light cannot exist without dark, nor dark without light.  The spells in the school of light are what most people would call 'holy.'  It is difficult to find training in this path, but the rewards are certainly worth the effort.	Light Magic
400	Merchants respond to a customer's skill in bargaining.  It's important to only use your best negotiator when you buy or sell anything with a  merchant. 	Merchants
401	A group of bandits called the Dragoons are now preying on merchants travelling between Free Haven and New Sorpigal.	Dragoons
402	A while back I was exploring the Star Lake area, and saw a bunch of statues on the island at the center of the lake.  They were marvelously carved– the most lifelike statues I've ever seen.  I wonder who put them there?	Star Lake
403	The law of the land is simple:  Do not murder, do not threaten, do not bribe.  Begging is frowned upon, as is keeping company with known criminals.  Reputation is everything.	The Ironfist Code
404	Enroth is ruled by a king, and the council of five lords.  These six people handle the laws, rules, and matters of state for all of Enroth.	Lords
405	When someone has a chest or other lock they don't want you to get into, they'll usually trap it rather than lock it.  Everyone knows that a determined thief will eventually get through a lock, but not every determined thief will survive the trap once he opens the chest.	Locks
406	Some locks are bound by magical enchantments.  You won't be able to open them, no matter how fine a locksmith you are, unless you have the magical key necessary.	Magical Locks 
407	Have you heard of the Temple of Baa?  They're wonderful!  My family was hungry and they fed us when no one else would.  All we had to do was promise to come back!	Temple of Baa
408	People often remark at how lucky I am.  It's not so much that I'm lucky, it's that I look on the bright side of everything.  You'd be amazed at how trivial some of your worst problems are if you look at them from the right angle.	Positive Thinking
409	Every now and then there's someone who needs to go to a strange place, like Castle Kriegspire.  Like this one fellow the other day, he paid me well to help him and his servants carry stuff over the lip of Kriegspire Mountain and into its center.  His servants didn't look too healthy, either, but they never got tired.  Smelled bad, too.	Kriegspire
410	Paradise Valley is no more.  All that's left from the Night of the Shooting Stars is a barren wasteland.  I've seen it, but I didn't have the courage to venture into it.  I'm not sure what sort of acts the people of Paradise Valley did to justify that sort of Heavenly retribution, but they must have been foul indeed.	Wastelands
411	Ah!  There's nothing like sitting next to the fire at home with a glass of wine, my dog at my feet, and a good balance sheet to work on.  That's the life!	Accountancy
412	There's no two ways about it– you always need gold.  Everything has a price; hopefully you can pay it.	Gold
413	Terrible things have been happening lately.  I heard about a village that was washed away in the recent heavy rains when their local creek overflowed its banks, and the news from Sweet Water is so bad there's been no news– people are saying the entire town was wiped out!	Evil Tidings
414	I've heard the tales of the supper served to Roland's expedition the night before they left.  I wonder if any of them expected to return based on the accounts I've heard of that feast.  The luxury afforded to those men certainly sounded to me like some sort of last meal.	Roland's Last Supper
415	Our horses around here are thankfully very tame, but there are some centaurs– half man, half horse– roaming the countryside of Erathia.  The centaurs like to gather in tribes and make war on the humans and elves living near them.	Centaurs
416	The sewers under Free Haven house all sorts of interesting things.  I've heard stories of hideouts, temples, treasure, and well, sewage.  I don’t know which to believe, but it certainly seems like an interesting place.	Free Haven
417	Beware taking long trips for a few days– three planets are in retrograde, and one is actually on its third epicycle stage this month, all while Leo is ascending against Pisces' lateral movement.  Don't say I didn’t warn you!	Retrograde
418	There are some places you can't get to during different parts of the year by boat.  You should plan your trips carefully to avoid inconvenience.	Travel Seasons
419	Magical flying is constrained to a certain altitude, so certain high mountains will block magical flight.  Given all the advantages of flight, that's really a very minor drawback.	Mountains
420	The water in the lakes and seas around Enroth is very cold, and even the best swimmers can drown in it.  If you fall in the water, get out as fast as you can!  You can't survive long there, no matter how tough you think you are.	Drowning
421	An excellent spell, but unfortunately most towns are in the east, so you won't get very far exploring with this spell.  Of course, if you need to run back to town, this is the easiest way to go.	Town Portal
422	Although they were a heretical religion, their heart was in the right place.  The Church helped the poor, healed the sick, and comforted the distraught.  But they grew rich, powerful, and prideful, and pride indeed goeth before a fall.  When they attacked their rival, the Church of the Moon, they brought both their enemy and themselves down.	Church of the Sun
423	It's hard to make a living these days playing music in the taverns.  I've been travelling between the towns for years, but people are really scared these days.  Everyone is afraid to spend money.	Taverns
424	Boats don't always travel on the schedules or to the destinations you want.  If you want personal control over your water travel, the water walk spell is the way to go.	Walk on Water
425	The cutlass is a better weapon than the broadsword for many reasons, but the best is the way it's swept backward to deceive your opponent about the length of your weapon's reach.  The smithies of Regna turn out the best cutlasses in the world, you can bet on that, matey!	Cutlasses
426	Chadwick, a veteran of the Succession Wars, lives in Free Haven.  He's the most decorated living cavalier in Enroth, and one of Osric's favorite knights.	Chadwick
427	Most games of chance are made to separate fools from their money.  Unless you're a psychic or phenomenally lucky, don't waste your hard earned gold on them.	Games of Chance
428	With the death of Roland and rumors of a collapse of the Ironfist Rule, the roads are almost unsafe to travel anymore.  Brigands and bandits of all sorts now prey on anyone travelling too far from the protection of the castles.	Brigands
429	If you must resort to 'special' measures to get someone to talk to you, remember that begging is almost free of consequences.  Some types, however, just won't listen to a beggar, forcing you to try another tack.  Thieves and merchants never tolerate begging.	Begging
430	Nicolai Ironfist is my twin brother.  I'll bet you didn't know that, did you?  We were separated a long time ago by our father, Roland.  They've used magic to keep Nicolai looking so young, but he's really my age.	Nicolai 
431	Most people like to talk about the sewers of Free Haven as a home for all sorts of thieves.  I doubt it though.  I'd certainly live in a nice house with plenty of butlers and maids if I had my druthers.  Why would I choose to live in a sewer?	Sewers
432	Have you heard of the Temple of Baa?  They're wonderful!  My family was hungry and they fed us when no one else would.  All we had to do was promise to come back!	Temple of Baa
433	We need a real king, not a child.  How can Nicolai be a good ruler when he's still a child?	Nicolai 
434	There's not much difference in cloak styles, except a general color or fabric choice.  There is one that stands out,  however, as quite unusual.  That's the Doomsday Cloak, fabricated 80 years ago by the Church of the Moon.  You can recognize it buy it's black interior lining and silver hem.  These cloaks are invariably highly enchanted.	Cloaks
435	Someone has to do all the grunt labor around here.  Too bad that someone is me.	Work
436	All this cold weather's really got me worried.  It's really unusual, and I'm concerned for the health of my crop.	Cold Weather
437	If I had a Heavenly Forge, I could make hundreds of barrels a day and not break a sweat.  I guess those forges were one good thing about the Time of Wonders.	Heavenly Forge
438	To make strong, excellent pottery, you really need a hot fire.  If it weren't so dangerous, I'd make a trip to Castle Kriegspire to try out the fires they're supposed to have under the castle.  	Hot Fires
439	When the storms hit in July, I was completely unprepared for the demand for winter clothes.  Now that I'm ready for the winter demand, it hasn't been all that cold.  I must have done something to anger the Heavens!	Weather
440	There are a few different kinds of magical boots that alchemists have been making.  Most of the metallic ones have some sort of enchantment on them.	Magical Boots
441	Why isn't anyone doing anything about all the bad things happening?  Isn't that what the council is there for?	High Council
442	There must be something wrong with this year's grain crops.  I can't seem to find enough sellers of raw wheat and corn to make my business run properly.  I don't know how much longer this can go on before I'm broke.	Grain Prices
443	The metal weapons aren't the only things to be enchanted.  Wooden weapons, like bows, sometimes have powerful spells placed in them as well.	Enchanting
444	Marble is the finest building material money can buy.  Most of it comes from the hills near Blackshire...   which is too bad, since people are saying there's some sort of terrible curse on the people of that area. Not much work is getting done around there these days.	Marble
445	"How can you recognize a goblin pirate?

He is the one with the patch over both eyes!"	Joke of the Day
446	Monsters been eating the good game animals, lately.  Lots more monsters than usual.	Monsters
447	I can't believe how few people will actually part with a little money for a wretch like me.  Is everyone so selfish?	Wealth
448	Don't tell no one, but I have a cleric friend who heals the brand marks right off the cattle we, ah, borrow from all the ranchers.  Works like a charm!	Fencing
449	The destruction of Paradise Valley wiped out the grandest forest in Enroth, Blackwoode Forest.  A peaceful place, Blackwoode Forest was full of game.  I made a good living there among the trees.  Now I'm not sure where to hunt.	Blackwoode
450	You can't even begin to understand how unpleasant working for the nobility is.  They may have money, but no other client is so pushy, demanding, or uncaring about the way they use your time.	Pushy Nobles
451	The Island Empire of Regna hasn't converted to Baa yet.  I'm hoping to travel there to spread the word of Baa.	Regna
452	We get all of our important shipments in on Tuesdays.	Tuesday
453	Fortunately, most violent people take their aggressions out in the Arena, and not in the towns.	Arena
454	The High Council hasn't consulted the Oracle for years.  The last person to try was Archibald, and the Oracle didn't help him out at all.	Oracle
455	There is nothing worse than new religions promising the world to the underprivileged.  They are upsetting the applecart and fomenting rebellion.  This Temple of Baa that everyone is talking about– now, they're no good.  I do wish the regent would mobilize against them.	Upstart Religions
456	Baa, friend…oh.  Uh, I thought you were a member of my temple.  Sorry, my mistake.  	Fellow Travelers
457	I hate school.  My father says I need to work hard so that I can get a good job, maybe even learn to study magic.  Who cares about that?  I just want to play!	School
458 T	Not to ruin my business, but to be honest, if you think about it, it really pays to only hire us smiths when you need us, rather than carrying us around wherever you go.	Hiring Smiths
459	Not to ruin my business, but to be honest, if you think about it, it really pays to only hire us smiths when you need us, rather than carrying us around wherever you go.	Hiring smiths
460	If you ever find an item containing the Lloyd's Beacon spell, remember that the locations you are able to transport to are based per person.  That means that even a non-spell using person could have a location that they can transport to with the use of a Lloyd's Beacon item.	Lloyd's Beacon items
461	There are three plants that can be used to make the three basic potions.  They are poppysnaps, phirna root, and widoweeps berries.  Just mix the crushed flowers, roots, or berries respectively with water to get the potion.	Herbs
