Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack				Resistances				Misc
#	Picture	Name	LVL	 HP 	AC	 EXP 	Treasure	Quest	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	"Spl,Mas,Skil"	Fire	Elec	Cold	Pois	Phys	Mag	Special
125	PeasantF2B	_(TRANS)_	2	 6 	5	 24 	3D6	0	N	Long	Wimp	0	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	PeasantF2C	_(TRANS)_	3	 9 	6	 39 	4D6	0	N	Long	Wimp	0	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	PeasantF3A	_(TRANS)_	3	 9 	3	 39 	10%3D6+L1Dagger	0	N	Med	Normal	4	200	100	0	Stealx2	Phys	2D2+3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	PeasantF3B	_(TRANS)_	5	 17 	5	 75 	20%5D6+L1Dagger	0	N	Med	Aggress	4	220	100	0	Stealx2	Phys	2D2+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	PeasantF3C	_(TRANS)_	7	 25 	10	 119 	50%10D6+L2Dagger	0	N	Med	Aggress	4	240	90	0	Dead	Phys	2D2+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	PeasantF4A	_(TRANS)_	6	 21 	5	 96 	5%2D6+L1Shield	0	N	Med	Suicidal	4	220	90	0	0	Phys	3D3+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	PeasantF4B	_(TRANS)_	8	 30 	7	 144 	10%4D6+L1Shield	0	N	Med	Suicidal	4	250	90	0	Weak	Phys	3D3+4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	PeasantF4C	_(TRANS)_	10	 40 	9	 200 	5%6D6+L1Amulet	0	N	Med	Suicidal	4	280	80	0	0	Phys	3D3+6	0	0	0	0	0	30	"Deadly Swarm,N,2"	5	5	5	5	0	5	0
133	PeasantM1A	_(TRANS)_	1	 3 	3	 11 	3D3	0	N	Long	Wimp	0	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	PeasantM1B	_(TRANS)_	2	 6 	5	 24 	4D4	0	N	Long	Wimp	0	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	PeasantM1C	_(TRANS)_	3	 9 	6	 39 	8D8	0	N	Long	Wimp	0	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	PeasantM2A	_(TRANS)_	2	 6 	3	 24 	5%2D6+L1Staff	0	N	Med	Wimp	4	140	100	0	0	Phys	2D4	0	0	0	0	0	20	"Flame Arrow,N,1"	0	0	0	0	0	0	0
137	PeasantM2B	_(TRANS)_	6	 21 	5	 96 	5%5D6+L1Staff	0	N	Med	Normal	4	140	100	0	0	Phys	2D4+2	0	0	0	0	0	30	"Cold Beam,N,1"	0	0	0	0	0	0	0
138	PeasantM2C	_(TRANS)_	10	 40 	7	 200 	10%10D6+L1Misc	0	N	Med	Aggress	4	140	100	0	0	Phys	2D4+6	0	0	0	0	0	50	"Lightning Bolt,N,2"	0	0	0	0	0	0	0
139	PeasantM3A	_(TRANS)_	3	 9 	3	 39 	2D6	0	N	Med	Normal	4	140	100	0	0	Phys	2D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	PeasantM3B	_(TRANS)_	5	 17 	5	 75 	5%3D6+L1Staff	0	N	Med	Aggress	4	160	90	0	0	Phys	2D4+2	0	0	0	0	0	30	"Mind Blast,N,1"	0	0	0	0	0	0	0
141	PeasantM3C	_(TRANS)_	7	 25 	6	 119 	5%4d6+L2Staff	0	N	Med	Suicidal	4	200	70	0	0	Phys	2D4+4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	PeasantM4A	_(TRANS)_	6	 21 	5	 96 	5%2D6+L1Spear	0	N	Med	Suicidal	4	220	90	0	0	Phys	1D9+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	PeasantM4B	_(TRANS)_	8	 30 	7	 144 	10%4D6+L1Spear	0	N	Med	Suicidal	4	250	90	0	Poison1	Phys	1D9+4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	PeasantM4C	_(TRANS)_	10	 40 	9	 200 	5%6D6+L2Ring	0	N	Long	Suicidal	4	280	80	0	0	Phys	1D9+6	0	0	0	0	0	30	"Fire Bolt,N,2"	5	5	5	5	0	5	0
145	RatA	_(TRANS)_	2	 6 	4	 24 	2%L1Ring	0	N	Free	Wimp	4	250	75	0	Disease1x2	Phys	1D8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	RatB	_(TRANS)_	4	 13 	5	 56 	2%L1Ring	0	N	Free	Normal	4	250	75	0	Disease1x2	Phys	1D8+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	RatC	_(TRANS)_	6	 21 	8	 96 	2%L1Ring	0	N	Free	Aggress	4	250	75	0	Disease2x2	Phys	1D8+6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	RobotA	_(TRANS)_	50	 400 	60	" 3,000 "	0	0	Y	Med	Aggress	4	200	50	0	BrkItem	Ener	10D5+10	Ener	0	0	0	0	0	0	30	10	30	Imm	20	Imm	0
149	RobotB	_(TRANS)_	70	 700 	80	" 5,600 "	0	0	Y	Short	Suicidal	4	200	50	0	BrkItem	Ener	12D5+15	Ener	0	0	0	0	0	0	40	20	40	Imm	30	Imm	0
150	RobotC	_(TRANS)_	90	" 1,080 "	100	" 9,000 "	0	0	Y	Short	Suicidal	4	200	50	0	Errad	Ener	20D5+20	Ener	0	0	0	0	0	0	60	30	60	Imm	50	Imm	0
151	SeaSerpentA	_(TRANS)_	28	 162 	30	" 1,064 "	0	0	N	Free	Aggress	4	200	90	0	0	Cold	1D20+25	Cold	0	0	0	0	0	0	5	0	Imm	0	0	5	0
152	SeaSerpentB	_(TRANS)_	36	 237 	35	" 1,656 "	0	0	N	Free	Aggress	4	200	90	0	0	Cold	1D20+35	Cold	0	0	0	0	0	0	10	0	Imm	0	0	10	0
153	SeaSerpentC	_(TRANS)_	48	 374 	40	" 2,784 "	0	0	N	Free	Aggress	4	200	80	2	Affraid	Cold	1D20+45	Cold	0	0	0	0	0	0	20	0	Imm	0	0	10	0
154	SkeletonA	_(TRANS)_	6	 21 	8	 96 	4D6	0	N	Med	Aggress	4	220	100	0	0	Phys	3D4	0	0	0	0	0	0	0	0	0	0	Imm	0	Imm	0
155	SkeletonB	_(TRANS)_	10	 40 	10	 200 	7D6	0	N	Med	Aggress	4	250	90	0	Affraid	Phys	3D4+2	0	0	0	0	0	0	0	0	0	0	Imm	0	Imm	0
156	SkeletonC	_(TRANS)_	14	 61 	14	 336 	5%10D6+L2Sword	0	N	Short	Suicidal	4	280	80	0	Cursex2	Phys	3D4+6	0	0	0	0	0	0	0	0	0	0	Imm	0	Imm	0
157	SorcererA	_(TRANS)_	25	 137 	14	 875 	10%10D10+L2Staff	0	N	Med	Aggress	4	200	90	"K,A"	0	Elec	9D4	Elec	0	0	0	0	20	"Lightning Bolt,M,8"	10	Imm	10	10	0	10	0
158	SorcererB	_(TRANS)_	35	 227 	18	" 1,575 "	10%20D10+L3Staff	0	N	Med	Aggress	4	220	80	2	0	Elec	12D4	Elec	0	0	0	0	20	"Lightning Bolt,M,12"	20	Imm	20	20	0	20	0
159	SorcererC	_(TRANS)_	50	 400 	30	" 3,000 "	20%40D10+L5Staff	0	N	Short	Aggress	4	240	70	2	Insane	Ener	16D4	Ener	0	0	0	0	20	"Lightning Bolt,M,16"	30	Imm	30	30	0	30	0
160	SpiderA	_(TRANS)_	5	 17 	10	 75 	0	0	N	Med	Normal	4	300	90	0	Poison1x5	Phys	3D2	0	0	0	0	0	0	0	0	0	0	Imm	0	0	0
161	SpiderB	_(TRANS)_	8	 30 	12	 144 	0	0	N	Med	Aggress	4	280	90	0	Poison2x3	Phys	3D2+3	0	10	Pois	3D2	Pois	0	0	0	0	0	Imm	0	0	0
162	SpiderC	_(TRANS)_	12	 50 	16	 264 	0	0	N	Short	Aggress	4	260	90	0	Poison3x2	Phys	3D2+6	0	20	Pois	4D2	Pois	0	0	0	5	5	Imm	0	5	0
163	ThiefA	_(TRANS)_	8	 30 	10	 144 	5%3D10+L1	0	N	Med	Wimp	4	250	60	0	Stealx2	Phys	3D4+3	0	20	Phys	3D4+1	Dagger	0	0	0	0	0	0	0	0	0
164	ThiefB	_(TRANS)_	12	 50 	14	 264 	10%4D10+L1	0	N	Med	Normal	4	260	60	0	Stealx2	Phys	3D4+6	0	20	Phys	3D4+3	Dagger	0	0	0	0	0	0	0	0	0
165	ThiefC	_(TRANS)_	18	 86 	20	 504 	20%5D10+L2Cape	0	N	Med	Aggress	4	270	60	0	Stealx2	Phys	3D4+12	0	20	Phys	3D4+6	Dagger	0	0	0	0	0	0	0	0	0
166	TitanA	_(TRANS)_	65	 617 	60	" 4,875 "	40%200D10+L5	0	N	Short	Aggress	4	200	70	F	BrkItem	Elec	2D20+60	Elec	0	0	0	0	30	"Psychic Shock,M,15"	30	Imm	30	30	30	Imm	0
167	TitanB	_(TRANS)_	75	 787 	70	" 6,375 "	300D10+L5	0	N	Short	Aggress	4	200	70	F	BrkItem	Elec	2D20+80	Elec	0	0	0	0	40	"Psychic Shockt,M,18"	50	Imm	50	50	50	Imm	0
168	TitanC	_(TRANS)_	95	" 1,187 "	80	" 9,975 "	400D10+L6	0	N	Short	Aggress	4	200	70	F	Dead	Elec	2D20+120	Elec	0	0	0	0	50	"Psychic Shock,M,25"	80	Imm	80	80	80	Imm	0
169	WerewolfA	_(TRANS)_	20	 100 	20	 600 	10%5D20+L3Misc	0	N	Med	Aggress	4	300	90	"P,C"	Disease2x2	Phys	2D12+12	0	0	0	0	0	0	0	5	5	5	5	5	5	0
170	WerewolfB	_(TRANS)_	30	 180 	25	" 1,200 "	10%10D20+L4MIsc	0	N	Med	Aggress	4	320	80	"P,C"	Disease3x2	Phys	2D12+16	0	0	0	0	0	0	0	10	10	10	10	10	10	0
171	WerewolfC	_(TRANS)_	40	 280 	30	" 2,000 "	10%20D20+L5Misc	0	N	Short	Suicidal	4	350	70	"P,C"	Uncon	Phys	2D12+20	0	0	0	0	0	0	0	15	15	15	15	15	15	0
172	zDemonqueen	_(TRANS)_	100	" 1,300 "	40	" 11,000 "	0	0	N	Med	Suicidal	4	0	70	0	DrainSP	Phys	2D8+20	0	0	0	0	0	40	"Incinerate,M,14"	Imm	50	50	50	50	Imm	0
173	zReactor	_(TRANS)_	100	" 1,300 "	40	" 11,000 "	0	0	N	Short	Suicidal	4	0	60	0	0	Ener	20D5+20	Ener	0	0	0	0	0	0	Imm	Imm	Imm	Imm	Imm	Imm	0
			
