Soundtype/Voicesetid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
n/u	5068	5168	5268	5368	5468	5568	5668	5768	5868	5968	6068	6168	6268	6368	6468	6568	6668	6768	6868	6968	7068	7168	7268	7368	7468	7568	7668	7768	7868	7968	7468	41091	40935	41155	41020	40488	40707	0	0	0	0	0	0	0	0	0	0	0	0	40347	40629	40411	40784	40552	40863	41517	41669	41594	41747	41824	41893	41223	41296	41377	41442	0
n/u	5069	5169	5269	5369	5469	5569	5669	5769	5869	5969	6069	6169	6269	6369	6469	6569	6669	6769	6869	6969	7069	7169	7269	7369	7469	7569	7669	7769	7869	7969	7469	41092	40935	41155	41021	40488	40708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40785	40553	0	41518	41670	41595	0	41825	41894	41224	41297	0	41443	0
n/u	5070	5170	5270	5370	5470	5570	5670	5770	5870	5970	6070	6170	6270	6370	6470	6570	6670	6770	6870	6970	7070	7170	7270	7370	7470	7570	7670	7770	7870	7970	7470	41093	40936	41156	41022	40489	40709	0	0	0	0	0	0	0	0	0	0	0	0	40348	40630	40412	40786	40554	40864	41519	41671	41596	41748	41826	41895	41225	41298	41378	41444	0
n/u	5071	5171	5271	5371	5471	5571	5671	5771	5871	5971	6071	6171	6271	6371	6471	6571	6671	6771	6871	6971	7071	7171	7271	7371	7471	7571	7671	7771	7871	7971	7471	41093	40937	41157	41022	40489	40709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41520	41672	41597	0	41827	41896	41226	41299	41379	41445	0
Win!1	5072	5172	5272	5372	5472	5572	5672	5772	5872	5972	6072	6172	6272	6372	6472	6572	6672	6772	6872	6972	7072	7172	7272	7372	7472	7572	7672	7772	7872	7972	7472	41094	40938	41158	41023	40490	40710	43346	43133	43400	43188	43454	43240	43707	43292	43509	43556	43609	43657	40349	40631	40413	40787	40555	40865	41521	41673	41598	41749	41828	41897	41227	41300	41380	41446	0
Win!2	5073	5173	5273	5373	5473	5573	5673	5773	5873	5973	6073	6173	6273	6373	6473	6573	6673	6773	6873	6973	7073	7173	7273	7373	7473	7573	7673	7773	7873	7973	7473	41095	40939	41159	41024	40491	40711	43347	43133	43401	43189	43455	43241	43707	43292	43509	43557	43609	43658	40350	40632	40414	40788	40556	40866	41522	41674	41599	0	41829	41898	41228	41301	41381	41447	0
Heh1	5074	5174	5274	5374	5474	5574	5674	5774	5874	5974	6074	6174	6274	6374	6474	6574	6674	6774	6874	6974	7074	7174	7274	7374	7474	7574	7674	7774	7874	7974	7474	41096	40940	41160	41025	40492	40712	43351	43137	43405	43193	43459	0	43711	43296	43513	43561	43613	0	40351	40633	40415	40789	40557	40867	41523	41675	41600	41750	41830	41899	41229	41302	41382	41448	0
Heh2	5075	5175	5275	5375	5475	5575	5675	5775	5875	5975	6075	6175	6275	6375	6475	6575	6675	6775	6875	6975	7075	7175	7275	7375	7475	7575	7675	7775	7875	7975	7475	41096	40941	41161	41026	40493	40713	0	0	0	0	0	0	0	0	43513	43561	43613	0	40352	40634	0	40790	40558	40868	41524	0	41601	41751	41831	0	41230	41303	41383	41449	0
LastStanding1	5076	5176	5276	5376	5476	5576	5676	5776	5876	5976	6076	6176	6276	6376	6476	6576	6676	6776	6876	6976	7076	7176	7276	7376	7476	7576	7676	7776	7876	7976	7476	41097	40942	41162	41027	40494	40714	0	0	0	0	0	0	0	0	0	0	0	0	40353	40635	40416	40791	40559	40869	41525	41676	41602	41752	41832	41900	41231	41304	41384	41450	0
LastStanding2	5077	5177	5277	5377	5477	5577	5677	5777	5877	5977	6077	6177	6277	6377	6477	6577	6677	6777	6877	6977	7077	7177	7277	7377	7477	7577	7677	7777	7877	7977	7477	41097	40942	41162	41027	40494	40715	0	0	0	0	0	0	0	0	0	0	0	0	0	40636	0	0	0	40870	41526	0	0	0	0	0	0	41305	0	0	0
HardFightEnd	5078	5178	5278	5378	5478	5578	5678	5778	5878	5978	6078	6178	6278	6378	6478	6578	6678	6778	6878	6978	7078	7178	7278	7378	7478	7578	7678	7778	7878	7978	7478	41098	40943	41163	41028	40495	40716	43328	43114	0	0	0	0	0	0	0	0	0	0	40354	40637	40417	40792	40560	40871	41527	41677	41603	41753	41833	41901	41232	41306	41385	41451	0
Enter1	5079	5179	5279	5379	5479	5579	5679	5779	5879	5979	6079	6179	6279	6379	6479	6579	6679	6779	6879	6979	7079	7179	7279	7379	7479	7579	7679	7779	7879	7979	7479	41098	40944	41163	41028	40496	40717	43341	43128	43394	43183	43448	43235	43702	43287	43503	43551	43604	43653	0	40638	40418	40793	0	40872	0	0	0	0	0	0	0	41307	0	0	0
Enter2	5080	5180	5280	5380	5480	5580	5680	5780	5880	5980	6080	6180	6280	6380	6480	6580	6680	6780	6880	6980	7080	7180	7280	7380	7480	7580	7680	7780	7880	7980	7480	41099	40945	41164	41029	40497	40718	43342	43129	43395	43184	43449	43236	43703	43288	43503	43552	43605	43653	40355	40639	40419	40794	40561	40873	41528	41678	41604	41754	41834	41902	41233	41308	41386	41452	0
Enter3	5081	5181	5281	5381	5481	5581	5681	5781	5881	5981	6081	6181	6281	6381	6481	6581	6681	6781	6881	6981	7081	7181	7281	7381	7481	7581	7681	7781	7881	7981	7481	41099	40946	41165	41029	40498	40718	43342	43129	43395	43184	43449	43236	43703	43288	43504	43552	43605	43653	40356	40640	0	40795	0	40874	0	41679	41605	0	0	0	0	41309	0	0	0
Yes1	5082	5182	5282	5382	5482	5582	5682	5782	5882	5982	6082	6182	6282	6382	6482	6582	6682	6782	6882	6982	7082	7182	7282	7382	7482	7582	7682	7782	7882	7982	7482	41100	40947	41166	41030	40499	40719	43305	43087	43360	43146	43414	43202	43670	43253	43468	43522	43570	43620	40357	40641	40420	40796	40562	40875	41529	41680	41606	41755	41835	41903	41234	41310	41387	41453	0
Yes2	5083	5183	5283	5383	5483	5583	5683	5783	5883	5983	6083	6183	6283	6383	6483	6583	6683	6783	6883	6983	7083	7183	7283	7383	7483	7583	7683	7783	7883	7983	7483	41100	40947	41166	41030	40499	40719	43306	43087	43360	43146	43414	43202	43670	43253	43468	43522	43570	43620	0	40642	40421	0	0	0	0	41681	0	0	41836	0	0	0	0	0	0
Thanks1	5084	5184	5284	5384	5484	5584	5684	5784	5884	5984	6084	6184	6284	6384	6484	6584	6684	6784	6884	6984	7084	7184	7284	7384	7484	7584	7684	7784	7884	7984	7484	41101	40948	41167	41031	40500	40720	43340	43127	43393	43182	43447	43234	43701	43286	43502	43550	43603	43652	40358	40643	40422	40797	40563	40876	41530	41682	41607	41756	41837	41904	41235	41311	41388	41454	0
Thanks2	5085	5185	5285	5385	5485	5585	5685	5785	5885	5985	6085	6185	6285	6385	6485	6585	6685	6785	6885	6985	7085	7185	7285	7385	7485	7585	7685	7785	7885	7985	7485	41101	40948	41167	41031	40500	40720	43340	43127	43393	43182	43447	43234	43701	43286	43502	43550	43603	43652	0	40644	40423	0	40564	0	0	0	0	0	0	0	0	0	0	0	0
GoodFight1	5086	5186	5286	5386	5486	5586	5686	5786	5886	5986	6086	6186	6286	6386	6486	6586	6686	6786	6886	6986	7086	7186	7286	7386	7486	7586	7686	7786	7886	7986	7486	41102	40949	41168	41032	40501	40721	43339	43126	43392	0	43446	43233	43700	43285	43501	43549	43181	43651	40359	40645	40424	40798	40565	40877	41531	41683	41608	41757	41838	41905	41236	41312	41389	41455	0
GoodFight2	5087	5187	5287	5387	5487	5587	5687	5787	5887	5987	6087	6187	6287	6387	6487	6587	6687	6787	6887	6987	7087	7187	7287	7387	7487	7587	7687	7787	7887	7987	7487	41102	40949	41168	41032	40501	40722	43339	43126	43392	0	43446	43233	43700	43285	43501	43549	43602	43651	0	40646	40425	40799	40566	40878	41532	41684	0	0	0	41906	0	41313	0	0	0
n/u	5088	5188	5288	5388	5488	5588	5688	5788	5888	5988	6088	6188	6288	6388	6488	6588	6688	6788	6888	6988	7088	7188	7288	7388	7488	7588	7688	7788	7888	7988	7488	41103	40950	41169	41033	40502	40723	0	0	0	0	0	0	0	0	0	0	0	0	40360	40647	40426	40800	40567	40879	41533	41685	41609	41758	41839	41907	41237	41314	41390	41456	0
n/u	5089	5189	5289	5389	5489	5589	5689	5789	5889	5989	6089	6189	6289	6389	6489	6589	6689	6789	6889	6989	7089	7189	7289	7389	7489	7589	7689	7789	7889	7989	7489	41104	40951	41169	41033	40502	40724	0	0	0	0	0	0	0	0	0	0	0	0	40361	40648	0	0	0	0	0	41686	41610	41759	0	41908	41238	0	0	41457	0
n/u	5090	5190	5290	5390	5490	5590	5690	5790	5890	5990	6090	6190	6290	6390	6490	6590	6690	6790	6890	6990	7090	7190	7290	7390	7490	7590	7690	7790	7890	7990	7490	41105	40952	41170	41034	40503	40725	0	0	0	0	0	0	0	0	0	0	0	0	40362	40649	40427	40801	40568	40880	41534	41687	41611	41760	41840	41909	41239	41315	41391	41458	0
n/u	5091	5191	5291	5391	5491	5591	5691	5791	5891	5991	6091	6191	6291	6391	6491	6591	6691	6791	6891	6991	7091	7191	7291	7391	7491	7591	7691	7791	7891	7991	7491	41106	40953	41170	41034	40503	40726	0	0	0	0	0	0	0	0	0	0	0	0	0	40650	0	0	40569	0	41535	0	0	41761	0	41910	41240	41316	41392	41459	0
Move!1	5092	5192	5292	5392	5492	5592	5692	5792	5892	5992	6092	6192	6292	6392	6492	6592	6692	6792	6892	6992	7092	7192	7292	7392	7492	7592	7692	7792	7892	7992	7492	41107	40954	41171	41035	40504	40727	43309	43090	43363	43149	43417	43205	43673	43256	43471	43525	43573	43623	40363	40651	40428	40802	40570	40881	41536	41688	41612	41762	41841	41911	41241	41317	41393	41460	0
Move!2	5093	5193	5293	5393	5493	5593	5693	5793	5893	5993	6093	6193	6293	6393	6493	6593	6693	6793	6893	6993	7093	7193	7293	7393	7493	7593	7693	7793	7893	7993	7493	41107	40955	41172	41035	40504	40727	43309	43091	43363	43150	43418	43206	43674	43257	43471	43525	43574	43624	0	0	0	40803	0	0	41537	0	0	0	0	41911	41242	41318	0	0	0
n/u	5094	5194	5294	5394	5494	5594	5694	5794	5894	5994	6094	6194	6294	6394	6494	6594	6694	6794	6894	6994	7094	7194	7294	7394	7494	7594	7694	7794	7894	7994	7494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n/u	5095	5195	5295	5395	5495	5595	5695	5795	5895	5995	6095	6195	6295	6395	6495	6595	6695	6795	6895	6995	7095	7195	7295	7395	7495	7595	7695	7795	7895	7995	7495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n/u	5096	5196	5296	5396	5496	5596	5696	5796	5896	5996	6096	6196	6296	6396	6496	6596	6696	6796	6896	6996	7096	7196	7296	7396	7496	7596	7696	7796	7896	7996	7496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n/u	5097	5197	5297	5397	5497	5597	5697	5797	5897	5997	6097	6197	6297	6397	6497	6597	6697	6797	6897	6997	7097	7197	7297	7397	7497	7597	7697	7797	7897	7997	7497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n/u	5098	5198	5298	5398	5498	5598	5698	5798	5898	5998	6098	6198	6298	6398	6498	6598	6698	6798	6898	6998	7098	7198	7298	7398	7498	7598	7698	7798	7898	7998	7498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n/u	5099	5199	5299	5399	5499	5599	5699	5799	5899	5999	6099	6199	6299	6399	6499	6599	6699	6799	6899	6999	7099	7199	7299	7399	7499	7599	7699	7799	7899	7999	7499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																																																		
Man	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	x	x	x	-	-	-	-	-	-	x	-	x	-	x	x	-	x	-	x	-	x	-	x	-	x	x	x	x	x	-	x	-	x	-	x	-	x	-	x	-	x	x	-	-	-
Woman	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	x	-	x	-	-	x	-	x	-	x	-	x	-	x	-	-	-	-	-	x	-	x	-	x	-	x	-	x	-	x	-	-	x	x	-
Dragon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-

Notes																																Elf F1	Elf M1	Elf F2	Elf M2			male a	girl a	male b	girl b	male c	girl c	male h	girl d					mm7 man 1	mm7 girl 1	mm7 man 2	mm7 girl 3	mm7 man 4	mm7 girl 4	Gob M 1	Gob F 1	Gob M 2	Gob F 2	Zombie M	Zombie F	Dwarf M 1	Dwarf M 2	Dwarf F 1	Dwarf F 2	
